exp,mode,GrossSh,NetSh,Ret%,DD%,WR%,N
BASELINE,4L/2S continuous,4.297,3.777,179.3,-13.9,59.7,688
BASELINE,4L/2S original,3.443,2.984,77.4,-14.1,60.4,450
BASELINE,6L/3S continuous,3.102,2.509,81.9,-15.0,55.8,688
BASELINE,6L/3S original,2.317,1.779,33.9,-15.0,57.3,450
A_seasonal_x_symbol,4L/2S continuous,2.577,2.102,78.9,-14.8,57.1,688
A_seasonal_x_symbol,4L/2S original,2.263,1.827,42.2,-14.8,58.4,450
A_seasonal_x_symbol,6L/3S continuous,2.946,2.378,75.1,-12.7,58.0,688
A_seasonal_x_symbol,6L/3S original,2.24,1.713,31.9,-12.7,58.0,450
B_hod_vol_rank,4L/2S continuous,3.402,2.898,115.1,-15.4,57.1,688
B_hod_vol_rank,4L/2S original,3.02,2.561,62.1,-15.4,57.8,450
B_hod_vol_rank,6L/3S continuous,3.223,2.63,81.2,-10.6,58.0,688
B_hod_vol_rank,6L/3S original,2.722,2.175,41.3,-10.6,58.2,450
C_relative_breadth,4L/2S continuous,2.339,1.889,74.4,-18.6,58.7,688
C_relative_breadth,4L/2S original,1.675,1.276,29.0,-19.1,60.4,450
C_relative_breadth,6L/3S continuous,2.338,1.811,57.0,-19.3,57.7,688
C_relative_breadth,6L/3S original,1.379,0.899,15.4,-19.3,57.1,450
D_session_regime,4L/2S continuous,2.611,2.108,80.3,-16.7,58.9,688
D_session_regime,4L/2S original,2.016,1.554,35.1,-16.7,59.6,450
D_session_regime,6L/3S continuous,2.693,2.097,63.8,-14.3,55.7,688
D_session_regime,6L/3S original,2.045,1.504,28.0,-14.3,56.7,450
E_regime_x_beta,4L/2S continuous,2.729,2.282,94.7,-15.7,58.3,688
E_regime_x_beta,4L/2S original,2.438,2.028,51.0,-15.7,59.3,450
E_regime_x_beta,6L/3S continuous,3.496,2.951,105.5,-12.7,59.2,688
E_regime_x_beta,6L/3S original,2.735,2.213,43.0,-15.5,58.7,450
F_drop_only,4L/2S continuous,3.402,2.898,115.1,-15.4,57.1,688
F_drop_only,4L/2S original,3.02,2.561,62.1,-15.4,57.8,450
F_drop_only,6L/3S continuous,3.223,2.63,81.2,-10.6,58.0,688
F_drop_only,6L/3S original,2.722,2.175,41.3,-10.6,58.2,450
