iter	Passed	Remaining
0	33	20261
1	57	17148
2	80	15996
3	101	15086
4	120	14368
5	141	13975
6	161	13664
7	182	13527
8	203	13367
9	223	13204
10	244	13089
11	267	13120
12	289	13053
13	310	13001
14	332	12982
15	353	12900
16	373	12809
17	394	12742
18	413	12637
19	431	12525
20	452	12485
21	471	12397
22	491	12322
23	511	12268
24	533	12280
25	553	12219
26	574	12182
27	595	12169
28	617	12154
29	636	12101
30	658	12080
31	678	12051
32	702	12069
33	721	12018
34	743	11999
35	762	11941
36	782	11900
37	802	11863
38	821	11819
39	848	11885
40	914	12470
41	969	12885
42	1010	13085
43	1028	13001
44	1048	12937
45	1066	12839
46	1091	12844
47	1112	12793
48	1134	12762
49	1155	12709
50	1176	12666
51	1196	12614
52	1215	12544
53	1235	12494
54	1254	12430
55	1274	12376
56	1291	12307
57	1310	12243
58	1327	12176
59	1347	12125
60	1363	12048
61	1383	12001
62	1403	11959
63	1421	11909
64	1440	11857
65	1460	11816
66	1480	11775
67	1498	11720
68	1516	11674
69	1534	11614
70	1553	11571
71	1572	11530
72	1592	11499
73	1613	11465
74	1633	11437
75	1653	11397
76	1673	11365
77	1696	11350
78	1715	11313
79	1733	11270
80	1753	11234
81	1772	11197
82	1794	11178
83	1812	11132
84	1831	11094
85	1853	11078
86	1875	11056
87	1896	11034
88	1923	11045
89	1945	11025
90	1964	10987
91	1985	10962
92	2011	10963
93	2028	10921
94	2047	10883
95	2066	10850
96	2087	10824
97	2104	10777
98	2122	10743
99	2142	10711
100	2159	10669
101	2176	10625
102	2196	10596
103	2211	10549
104	2231	10520
105	2250	10488
106	2270	10462
107	2291	10437
108	2311	10413
109	2331	10384
110	2351	10360
111	2371	10331
112	2388	10294
113	2404	10248
114	2424	10223
115	2446	10208
116	2464	10175
117	2484	10148
118	2503	10120
119	2519	10077
120	2538	10049
121	2554	10010
122	2572	9977
123	2592	9952
124	2612	9925
125	2629	9892
126	2649	9866
127	2667	9836
128	2687	9812
129	2704	9778
130	2720	9739
131	2737	9705
132	2755	9676
133	2772	9642
134	2788	9604
135	2804	9568
136	2824	9544
137	2841	9511
138	2857	9478
139	2874	9444
140	2896	9428
141	2916	9407
142	2933	9374
143	2951	9346
144	2970	9321
145	2988	9292
146	3008	9269
147	3034	9266
148	3054	9246
149	3069	9209
150	3088	9183
151	3108	9161
152	3128	9139
153	3147	9115
154	3171	9104
155	3191	9083
156	3209	9054
157	3228	9030
158	3243	8997
159	3262	8972
160	3279	8942
161	3297	8914
162	3313	8884
163	3335	8868
164	3352	8839
165	3371	8813
166	3386	8779
167	3403	8750
168	3420	8724
169	3440	8702
170	3457	8674
171	3476	8651
172	3496	8629
173	3517	8611
174	3536	8587
175	3553	8559
176	3570	8531
177	3590	8513
178	3608	8486
179	3625	8460
