feature,horizon_h,IC,RankIC,ICIR,n_obs,n_days
depth_total_top10_chg24h,1,-0.014516811780389762,-0.00798220271191898,0.07789241439025865,18706,18
bid_depth_top10,1,-0.012482468701011235,-0.0019851332206337062,0.051526815914098044,19834,19
depth_total_top10,1,-0.011743207301717915,-0.002159350937062591,0.05466432377307478,19834,19
ask_depth_top10,1,-0.010241101614979192,-0.002726035518547435,0.06152217529976456,19834,19
bid_ask_depth_ratio,1,-0.010106041129698052,0.004303820811823557,-0.013275848352642361,19834,19
bid_depth_top10_chg24h,1,-0.00861449923093111,-0.002926444714805724,0.08805834777839451,18706,18
ask_depth_top10_z24,1,-0.00657733805636852,-0.003754487164359882,0.005580692900578315,19599,18
depth_total_top10_z24,1,-0.006545930462605953,-0.004199727886971241,0.007805226981541472,19599,18
spread_bps,1,0.0023934626106208888,0.00221767191717706,-0.17333665162965387,19834,19
bid_depth_top10_z24,1,-0.0023309833702372367,-0.005043062062680132,0.033804894989419784,19599,18
imbalance_ratio,1,-0.0011335575497021693,0.004303820811823557,0.061063071618061106,19834,19
imbalance_ratio_z24,1,0.001029250145308396,-0.0019007175275317202,-0.03898891242556053,19599,18
ask_depth_top10_chg24h,1,0.000755445804471543,-0.009036480662391305,-0.011995021760370471,18706,18
bid_depth_top10,4,-0.023295150570933645,-0.015191602973285596,-0.02741458925904911,19693,19
depth_total_top10,4,-0.021947463640361212,-0.01460345116254237,-0.02200604371695376,19693,19
ask_depth_top10,4,-0.019170047491465846,-0.015019459767166128,-0.012892221018166807,19693,19
depth_total_top10_chg24h,4,-0.01742234381202844,-0.021730763745140262,-0.24006842535988424,18565,18
depth_total_top10_z24,4,-0.010783228468709927,-0.006717762105224692,0.10814158444445159,19458,18
bid_depth_top10_z24,4,-0.01000420859499825,-0.01243151447588039,-0.014520835286823757,19458,18
spread_bps,4,0.0061711776526376895,0.005383886627280442,0.010713771786158548,19693,19
bid_ask_depth_ratio,4,-0.00592150285143833,-0.0014299081186633774,-0.12849619861044795,19693,19
imbalance_ratio_z24,4,-0.005635413946251432,-0.009614938704755407,-0.23092177396919156,19458,18
bid_depth_top10_chg24h,4,-0.005219116391454498,-0.01699875583933003,0.038891914535865706,18565,18
ask_depth_top10_z24,4,-0.0035230958166563085,0.002168484640814711,0.1939597494500194,19458,18
ask_depth_top10_chg24h,4,-0.0011805443769836975,-0.014438691550696452,0.21614096778012448,18565,18
imbalance_ratio,4,-0.0005038684766375521,-0.0014299081186633774,0.004929126275505769,19693,19
bid_depth_top10,12,-0.03790959741175784,-0.02271003365320654,-0.19600810124096227,19317,19
depth_total_top10,12,-0.03663785047424753,-0.022942693933286316,-0.2287118171731599,19317,19
ask_depth_top10,12,-0.03302749830660375,-0.02179958761939955,-0.2616862622572418,19317,19
bid_depth_top10_z24,12,-0.019776614789803918,-0.025245958658031406,0.09470040719309458,19082,18
depth_total_top10_z24,12,-0.016605704905406794,-0.01897702497975577,0.20387466873714055,19082,18
spread_bps,12,0.014781110716545061,0.009210920272785507,0.07339095535226826,19317,19
imbalance_ratio_z24,12,-0.009758666640793503,-0.01203867779269798,-0.07930671424533385,19082,18
depth_total_top10_chg24h,12,-0.008607101001842305,-0.03489888169917158,-0.034337944614401913,18189,18
ask_depth_top10_z24,12,-0.005801623639127772,-0.004325833822984251,0.09522944107290944,19082,18
bid_depth_top10_chg24h,12,-0.003911219401433978,-0.020379550130298556,0.16164550537546643,18189,18
bid_ask_depth_ratio,12,-0.003240875240381066,0.0007904557782671283,-0.03924512180624995,19317,19
imbalance_ratio,12,-0.002764307673446827,0.0007904557782671283,0.14427330157496024,19317,19
ask_depth_top10_chg24h,12,0.0002860184359390004,-0.02886766125886138,0.5521110077186402,18189,18
depth_total_top10,24,-0.04898668735970266,-0.03934325086245037,-0.4326896430999858,18753,18
bid_depth_top10,24,-0.047752524347895765,-0.03594206046076869,-0.4208547237642222,18753,18
ask_depth_top10,24,-0.047223924367259563,-0.0401642106352331,-0.4329149307310481,18753,18
depth_total_top10_z24,24,-0.026843378438212377,-0.04053013130775805,-0.049072883316074574,18518,17
bid_depth_top10_z24,24,-0.023783004522687657,-0.03165516730495973,-0.054607011667657614,18518,17
ask_depth_top10_z24,24,-0.016745879461727026,-0.02710655343910187,-0.05682861751049171,18518,17
spread_bps,24,0.016578319625695583,0.01184522207106674,0.02819488225999322,18753,18
depth_total_top10_chg24h,24,-0.007989010454468096,-0.009212771789536865,0.1330269077647619,17625,17
imbalance_ratio,24,0.007211588868172195,0.012823581190368392,0.12694611035740058,18753,18
bid_depth_top10_chg24h,24,-0.003796077477512082,-0.0004930111386434649,0.187407772625379,17625,17
imbalance_ratio_z24,24,0.003151724200230719,0.003466017569680488,0.0036018626251961127,18518,17
ask_depth_top10_chg24h,24,-0.001224921643506616,-0.010000591074207157,0.21493510686482925,17625,17
bid_ask_depth_ratio,24,-0.0004679615865514144,0.012823581190368392,0.16127387866024823,18753,18
