feature,importance_rank_model,importance_excess_model,importance_raw_model,importance_avg
close_ma24_ratio,311,0,0,103.66666666666667
close_ma720_ratio,290,0,0,96.66666666666667
low_close_ratio,285,0,0,95.0
close_ma336_ratio,249,0,0,83.0
ret_sharpe_24h,230,0,0,76.66666666666667
ret_sharpe_168h,219,0,0,73.0
gk_vol_168h,214,0,0,71.33333333333333
close_ma6_ratio,199,3,2,68.0
ret_2h,201,0,0,67.0
gk_vol_24h,200,0,0,66.66666666666667
close_ma12_ratio,195,0,0,65.0
cci_48,184,2,1,62.333333333333336
gk_vol_48h,173,0,3,58.666666666666664
vol_price_corr_168h,174,0,0,58.0
macd,164,0,0,54.666666666666664
gk_vol_12h,157,0,0,52.333333333333336
atr_48,156,0,0,52.0
vol_price_corr_48h,156,0,0,52.0
bb_width_20,136,0,0,45.333333333333336
high_close_ratio,131,0,0,43.666666666666664
close_open_ratio,130,0,0,43.333333333333336
ret_kurt_168h,129,0,0,43.0
ret_std_168h,128,0,0,42.666666666666664
adx,125,0,0,41.666666666666664
buy_pressure,121,0,2,41.0
macd_signal,123,0,0,41.0
close_ma168_ratio,117,0,0,39.0
ret_24h,116,0,0,38.666666666666664
ret_std_48h,115,0,0,38.333333333333336
bb_high_48,113,0,0,37.666666666666664
macd_diff,108,0,0,36.0
close_ma48_ratio,108,0,0,36.0
bb_pband_48,104,0,0,34.666666666666664
ret_4h,97,1,1,33.0
ret_skew_168h,98,0,0,32.666666666666664
vol_price_corr_24h,97,0,0,32.333333333333336
bb_high_20,93,0,2,31.666666666666668
ret_mean_24h,94,0,0,31.333333333333332
vol_mom_24h,92,1,1,31.333333333333332
vwap_dev_24h,91,1,2,31.333333333333332
ret_12h,89,0,0,29.666666666666668
atr_24,87,0,0,29.0
bb_width_48,74,1,1,25.333333333333332
adx_neg,71,2,1,24.666666666666668
rsi_6,73,0,0,24.333333333333332
vwap_dev_48h,71,0,0,23.666666666666668
rsi_24,70,0,0,23.333333333333332
close_ma72_ratio,69,0,0,23.0
ret_mean_168h,68,0,0,22.666666666666668
bb_low_20,66,0,0,22.0
bb_pband_20,65,0,0,21.666666666666668
ret_1h,63,0,0,21.0
lower_shadow,63,0,0,21.0
ret_168h,63,0,0,21.0
rsi_12,62,0,0,20.666666666666668
atr_14,60,0,0,20.0
ret_kurt_48h,58,0,0,19.333333333333332
ret_skew_48h,55,0,1,18.666666666666668
ret_kurt_24h,56,0,0,18.666666666666668
rsi_14,53,0,0,17.666666666666668
bb_low_48,50,0,1,17.0
ret_6h,51,0,0,17.0
mfi_14,50,0,0,16.666666666666668
ret_std_24h,50,0,0,16.666666666666668
obv_ma_ratio_24,50,0,0,16.666666666666668
ret_72h,49,0,0,16.333333333333332
vwap_dev_12h,49,0,0,16.333333333333332
ret_sharpe_48h,48,0,0,16.0
high_low_ratio,48,0,0,16.0
vol_ma720_ratio,45,0,0,15.0
adx_pos,44,0,0,14.666666666666666
ret_mean_48h,43,0,0,14.333333333333334
cci_14,42,0,0,14.0
vol_mom_48h,38,0,0,12.666666666666666
stoch_d,36,0,0,12.0
stoch_k,36,0,0,12.0
ret_48h,34,0,0,11.333333333333334
vol_ma24_ratio,33,0,0,11.0
obv_ma_ratio_12,30,0,0,10.0
willr_14,26,0,0,8.666666666666666
vol_ma12_ratio,23,0,0,7.666666666666667
ret_skew_24h,22,0,0,7.333333333333333
vol_ma168_ratio,21,0,0,7.0
vol_ma336_ratio,21,0,0,7.0
obv_ma_ratio_48,16,0,1,5.666666666666667
vol_ma72_ratio,16,0,0,5.333333333333333
vol_ma48_ratio,13,0,0,4.333333333333333
body,10,0,0,3.3333333333333335
vol_ma6_ratio,9,0,0,3.0
upper_shadow,9,0,0,3.0
vol_mom_12h,6,0,0,2.0
vol_mom_6h,3,0,0,1.0
