feature,importance
fng_ma30,874
fng_ma7,792
fng_momentum,788
vol_12h_cs_rank,674
close_ma336_ratio,672
close_ma720_ratio,657
btc_beta_168h,656
btc_vol_24h,541
fng_value,538
gk_vol_168h,538
vol_price_corr_168h,518
ret_sharpe_168h,507
macd_signal,465
ret_kurt_168h,446
ret_std_168h,446
breadth_pct_positive,412
regime_btc_dd_720,400
atr_48,387
btc_beta_48h,381
ret_skew_168h,370
gk_vol_48h,326
ret_sharpe_24h,317
gk_vol_24h,303
bb_width_48,291
ret_kurt_48h,277
close_ma168_ratio,273
vol_price_corr_48h,266
vol_price_corr_24h,260
adx,258
cci_48,246
ret_std_48h,245
ret_168h,234
macd,223
atr_24,215
ret_mean_168h,213
mom_7d,211
close_ma12_ratio,200
ret_skew_168h_cs,193
bb_high_48,193
ret_skew_48h,183
btc_ret_168h,181
bb_width_20,179
reversal_24v168,178
regime_composite,161
atr_14,161
ret_kurt_24h,161
close_ma72_ratio,156
bb_high_20,154
ret_std_24h,154
close_ma6_ratio,153
ret_72h,150
ret_skew_24h,149
vwpc_12h,144
vol_trend_12_48,136
ret_sharpe_48h,132
mom_3d,132
reversal_12v48,130
close_ma24_ratio,126
bb_low_48,123
vol_ma720_ratio,123
vol_crush_ratio,123
mom_accel_12h,121
obv_ma_ratio_48,119
adx_neg,115
macd_diff,112
gk_vol_12h,111
close_ma48_ratio,111
range_expansion_12h,110
bb_pband_48,106
ret_mean_48h,104
low_close_ratio,102
btc_ret_48h,100
ret_48h,100
direction_quality_12h,95
adx_pos,90
obv_ma_ratio_24,87
reversal_4v24,87
vwap_dev_48h,84
ret_24h,78
ret_2h,73
ret_skew_48h_cs,73
rsi_24,69
market_dispersion,68
mom_12h_zscore,66
ret_vs_btc_24h,66
bb_low_20,63
btc_ret_1h,60
close_open_ratio,60
eth_btc_ret_24h,57
ret_mean_24h,56
btc_ret_12h,56
obv_ma_ratio_12,55
eth_ret_24h,52
btc_ret_24h,52
regime_breadth_bullish,52
ret_6h,47
mfi_14,45
vol_surge_24h,44
vol_ma336_ratio,43
vol_ma24_ratio,41
ret_1h,40
btc_regime_24,39
regime_btc_ma720_slope,38
cross_coin_disp_ma24,38
vwap_dev_24h,37
eth_ret_1h,37
funding_rate,37
eth_ret_12h,36
rsi_12,33
ll_count_12h,32
rsi_14,31
ret_4h,31
ret_12h,31
btc_ret_4h,29
stoch_d,28
vol_mom_24h,28
cci_14,27
eth_ret_4h,27
vol_mom_48h,26
regime_btc_above_ma336,25
high_close_ratio,24
hh_count_12h,22
bb_pband_20,22
dispersion_regime,21
btc_regime_168,19
regime_low_vol,19
vol_ma72_ratio,17
