feature,importance
btc_vol_24h,754
fng_momentum,534
close_ma336_ratio,517
close_ma720_ratio,513
fng_ma7,513
fng_ma30,506
ret_sharpe_168h,458
vol_12h_cs_rank,450
btc_beta_168h,436
breadth_pct_positive,432
gk_vol_168h,382
macd_signal,350
fng_value,321
market_dispersion,317
ret_sharpe_24h,306
cci_48,300
regime_btc_dd_720,299
btc_beta_48h,281
btc_ret_168h,278
vol_price_corr_168h,277
atr_48,266
ret_std_168h,264
ret_kurt_168h,260
gk_vol_48h,255
close_ma6_ratio,255
vol_price_corr_48h,253
close_ma12_ratio,242
ret_skew_168h,236
gk_vol_24h,236
vol_price_corr_24h,228
vol_trend_12_48,205
close_ma168_ratio,203
bb_width_48,195
macd,177
ret_std_48h,173
ret_kurt_48h,170
reversal_24v168,169
adx,156
funding_rate,156
bb_high_48,144
ret_168h,142
bb_high_20,139
btc_ret_12h,133
ret_skew_168h_cs,132
btc_ret_1h,130
ret_mean_168h,129
btc_ret_48h,128
ret_std_24h,124
reversal_12v48,120
ret_skew_48h,119
mom_accel_12h,117
ret_vs_btc_24h,116
eth_ret_12h,116
close_ma24_ratio,116
range_expansion_12h,113
bb_width_20,113
close_open_ratio,110
vol_crush_ratio,110
ret_2h,107
mom_3d,106
rsi_24,103
btc_ret_24h,102
adx_neg,101
close_ma72_ratio,100
atr_24,97
ret_sharpe_48h,96
regime_composite,94
ret_kurt_24h,92
low_close_ratio,91
mom_7d,91
eth_ret_1h,90
btc_ret_4h,85
eth_ret_24h,84
bb_pband_48,84
macd_diff,83
ret_72h,83
eth_btc_ret_24h,83
gk_vol_12h,82
market_funding_std,80
eth_ret_4h,79
vwap_dev_48h,78
ret_48h,78
close_ma48_ratio,76
bb_low_48,75
direction_quality_12h,73
vwpc_12h,71
vol_ma720_ratio,71
ret_24h,70
atr_14,69
ret_6h,67
ret_mean_24h,67
reversal_4v24,67
regime_low_vol,56
obv_ma_ratio_48,56
ret_skew_48h_cs,55
regime_breadth_bullish,53
ret_skew_24h,53
funding_vs_market,53
high_close_ratio,52
ret_mean_48h,51
stoch_d,48
bb_low_20,47
btc_regime_24,46
ret_4h,46
vol_ma24_ratio,46
vol_mom_24h,45
vwap_12h_dist,42
ret_1h,41
mom_12h_zscore,41
rsi_12,39
rsi_14,38
vwap_dev_12h,34
obv_ma_ratio_24,33
dispersion_regime,29
cross_coin_disp_ma24,27
vwap_dev_24h,27
adx_pos,26
ret_12h_cs_rank,25
bb_pband_20,25
vol_ma168_ratio,23
long_short_ratio,22
rsi_6,21
vol_ma72_ratio,20
vol_surge_24h,20
high_low_ratio,18
ll_count_12h,17
vol_ma48_ratio,16
