feature,importance
gk_vol_24h,0.033660058
btc_ret_1h,0.032409597
market_dispersion,0.032384664
funding_rate,0.023522247
close_ma6_ratio,0.020796154
close_ma12_ratio,0.019003442
eth_ret_1h,0.018614898
btc_ret_12h,0.018174285
eth_ret_12h,0.017354162
nx_high_vol_positive,0.016992643
ret_std_48h,0.014315498
nx_high_volume,0.01413946
ret_2h,0.013953353
news_count_1h,0.013515214
nx_burst_ratio,0.0128186885
low_close_ratio,0.011989289
btc_ret_24h,0.011763465
regime_breadth_bullish,0.011749003
gk_vol_48h,0.011559484
btc_ret_4h,0.011504243
eth_ret_4h,0.0113516515
close_open_ratio,0.010662561
vol_ma24_ratio,0.010234093
nx_high_vol_negative,0.009918387
atr_24,0.009525149
breadth_pct_positive,0.009119591
eth_ret_24h,0.008901642
vol_price_corr_48h,0.008693334
gk_vol_168h,0.008131225
ret_1h,0.0077544483
market_funding_std,0.007487711
ret_std_168h,0.007462434
close_ma336_ratio,0.0074462127
ret_vs_btc_24h,0.0072818655
btc_vol_24h,0.006961702
eth_btc_ret_24h,0.006891358
atr_48,0.0064646965
ret_4h,0.006459364
ret_24h,0.006414348
nx_is_burst,0.0063238214
mom_accel_12h,0.0062662084
close_ma24_ratio,0.006242057
vol_trend_12_48,0.0061978674
btc_ret_48h,0.0061481115
close_ma48_ratio,0.0059288302
close_ma72_ratio,0.005892396
vol_surge_24h,0.0058743074
reversal_4v24,0.0056542293
reversal_24v168,0.005579387
news_sentiment_1h,0.005569746
vol_price_corr_24h,0.005455458
btc_ret_168h,0.0054364945
btc_regime_24,0.0054319235
nx_sent_price_div,0.0054291347
range_expansion_12h,0.0053191977
macd,0.0052633616
bb_high_20,0.0052447096
vol_mom_24h,0.005229436
nx_sent_vs_market,0.005099393
reversal_12v48,0.005074343
ret_mean_24h,0.0050658155
ret_sharpe_24h,0.0050107297
regime_composite,0.0050080325
macd_signal,0.0049959626
rsi_6,0.004959992
news_count_7d,0.004921887
close_ma720_ratio,0.0049041146
bb_low_20,0.004886037
regime_low_vol,0.004885758
ret_sharpe_168h,0.0048274947
rsi_24,0.00481685
bb_high_48,0.0048078033
fng_ma30,0.0047875824
vwap_12h_dist,0.0047485116
cci_48,0.00470426
nx_count_vs_market,0.004658064
vol_ma72_ratio,0.004649758
news_count_24h,0.0045917183
adx_neg,0.0045690746
nx_sent_accel_7d,0.0045379135
nx_sent_x_vol,0.004513515
ret_6h,0.0045070527
fng_ma7,0.004496273
news_sentiment_momentum,0.004495624
vol_price_corr_168h,0.004495059
fng_momentum,0.0044672503
vol_12h_cs_rank,0.0044111013
nx_sent_x_fear,0.004377003
nx_sent_price_div_24h,0.0043252627
is_asian_session,0.004319822
fng_extreme_greed,0.0043146745
close_ma168_ratio,0.004297151
nx_sent_x_count_7d,0.004272901
fng_value,0.0042658523
nx_sent_mom_3d,0.004262845
btc_beta_168h,0.004188254
regime_btc_dd_720,0.004176826
news_sentiment_7d,0.0041582296
bb_pband_48,0.0041582016
bb_width_48,0.0041508726
nx_sent_x_count_24h,0.0041477005
nx_sent_mom_align,0.004138271
ret_std_24h,0.004132172
vwap_dev_48h,0.004106957
nx_news_in_dispersion,0.0040933965
mom_3d,0.004085396
bb_width_20,0.004079234
regime_btc_above_ma336,0.0040537626
ret_skew_168h_cs,0.0040373006
atr_14,0.004030192
mom_7d,0.0040166904
nx_sent_ret_product,0.0039898027
market_news_count_24h,0.003984506
vol_ma48_ratio,0.003976371
btc_beta_48h,0.0039757523
high_close_ratio,0.003970937
vol_ma720_ratio,0.0039547835
market_news_sentiment_24h,0.0039544376
ret_mean_168h,0.003949895
news_sentiment_24h,0.0039369925
rsi_14,0.0039263484
ret_skew_168h,0.003910091
news_volume_zscore,0.0039041445
dispersion_regime,0.0038927505
nx_burst_x_sent,0.003889463
nx_sent_accel,0.0038827925
ret_12h,0.0038705403
rsi_12,0.003859896
ret_sharpe_48h,0.0038295942
ret_kurt_168h,0.0038155555
ret_kurt_48h,0.0037947332
regime_btc_ma720_slope,0.003793909
vol_ma336_ratio,0.0037815657
ret_72h,0.0037421205
vwap_dev_12h,0.0036854725
vwap_dev_24h,0.0036168827
ret_168h,0.0035659065
gk_vol_12h,0.0035619638
bb_low_48,0.0035378693
high_low_ratio,0.00352321
macd_diff,0.003488336
ret_48h,0.0034484102
cross_coin_disp_ma24,0.0034380453
mom_12h_zscore,0.0034119524
ret_kurt_24h,0.00331299
vol_ma168_ratio,0.003189044
vol_surge_48h,0.0030796605
nx_sent_x_count_1h,0.0015991026
