feature,importance
btc_vol_24h,3.7868875442340775
gk_vol_168h,2.8452525578098413
breadth_pct_positive,2.806830693135411
close_ma720_ratio,2.7567942883120145
close_ma6_ratio,2.724169435177587
close_ma336_ratio,2.6125368064095857
funding_rate_binance,2.186305739736817
close_ma12_ratio,2.179597970327564
gk_vol_24h,2.141119317564524
ret_sharpe_168h,1.9105191264344281
oi_value_usd,1.8108002760668227
gk_vol_48h,1.8079151426668518
fng_ma30,1.7237190544103633
fng_momentum,1.6764491274355517
ret_std_168h,1.6047473654261604
vol_trend_12_48,1.5981743980558678
market_funding_std,1.5075538977822647
vol_price_corr_48h,1.4748230544731677
btc_beta_168h,1.436891901319958
regime_breadth_bullish,1.3406367211243884
mom_accel_12h,1.3397093281357
funding_vs_market,1.3256570084745403
ls_divergence,1.319709543180568
macd_signal,1.2801960568370516
ret_std_48h,1.2797167548480608
funding_surprise,1.2709446758256158
cross_coin_dispersion,1.2259660932601888
vol_12h_cs_rank,1.19755608965807
fng_ma7,1.1830408637348662
btc_beta_48h,1.1692309880817475
vol_price_corr_24h,1.090636248432961
oi_zscore_7d,1.0563399400285125
atr_48,1.0499062867704052
ret_sharpe_24h,0.9772078535910849
top_long_pct,0.9419591039579757
bb_high_20,0.9383175365886532
oi_change_24h,0.9099911418890668
btc_ret_4h,0.8802643001987602
btc_ret_12h,0.8609132153152436
btc_ret_1h,0.8501396319218621
news_count_7d,0.8461949012772871
atr_24,0.8312945990935745
reversal_24v168,0.8295813697012222
close_ma24_ratio,0.825026741463795
long_short_ratio,0.8084274077518724
funding_rate,0.7758804174695925
global_long_pct,0.7571444139080055
cci_48,0.755974622464523
bb_width_48,0.7375567056991221
global_ls_ratio,0.733030363335574
top_ls_zscore,0.68131285982075
ret_2h,0.6784786985380452
regime_btc_dd_720,0.6596709988677217
close_open_ratio,0.6457581613467447
news_count_24h,0.6246191144906875
top_ls_ratio,0.6210563317511797
fng_value,0.6204549225172975
regime_composite,0.6152795320607665
vol_price_corr_168h,0.6015476271978527
bb_high_48,0.580845840790426
market_dispersion,0.5745552963182273
low_close_ratio,0.5666290640234033
ret_skew_168h_cs,0.5497492847393977
ret_kurt_48h,0.5397004030477814
reversal_12v48,0.5273348167218399
news_count_1h,0.5251399993382954
ret_skew_168h,0.5204252495546974
close_ma168_ratio,0.5163663475730609
btc_ret_168h,0.49683081577767974
taker_cvd_24h,0.4824173351558671
ret_kurt_168h,0.4818184081776443
regime_low_vol,0.4741788271807114
eth_ret_4h,0.4717549384212367
adx,0.45591785601528945
ret_std_24h,0.4543198306100065
is_asian_session,0.44473906443864836
bb_width_20,0.43156528446683085
btc_regime_24,0.40151865298671074
macd,0.3836219639868752
rsi_24,0.3730199380868401
ret_mean_168h,0.36130197879044057
adx_neg,0.3584999227712025
eth_ret_12h,0.3560664706669434
vol_ma720_ratio,0.3431211739518007
range_expansion_12h,0.3246746145604255
mom_12h_zscore,0.3007304398157578
eth_ret_1h,0.30018945312357764
oi_change_12h,0.27942313893439824
atr_14,0.2784374444156604
ret_24h,0.2782610855339925
reversal_4v24,0.2774604207303958
btc_ret_48h,0.27602589347259215
ret_vs_btc_24h,0.2744071540772374
market_news_count_24h,0.2708926340461599
vol_mom_24h,0.27081545260254414
gk_vol_12h,0.25380538618381004
taker_cvd_12h,0.2477781510506774
bb_pband_48,0.2449980897844482
vol_ma24_ratio,0.2433174490422402
ret_168h,0.23786013061522965
ret_6h,0.22378594830655738
oi_change_4h,0.2165234528982274
bb_low_20,0.21379091326007588
top_ls_change_24h,0.20440041474275777
regime_btc_not_crashed,0.19986174618014957
close_ma72_ratio,0.19628119747824538
vwap_dev_48h,0.18367480505155917
rsi_14,0.17491192269513336
regime_btc_above_ma336,0.1739389350363844
macd_diff,0.17168366741243307
regime_btc_ma720_slope,0.17104015285834198
news_sentiment_momentum,0.16758322462259426
ret_skew_48h,0.16336888478959088
ret_48h,0.1628928914549697
news_volume_zscore,0.16091890981482063
bb_low_48,0.15922736173521648
mom_7d,0.15373731321053538
ret_1h,0.15045973016263378
news_sentiment_7d,0.1473842420811464
btc_ret_24h,0.1433293154442367
vol_surge_24h,0.14224405075672944
eth_btc_ret_24h,0.13911687019257532
ret_12h,0.13181141380393285
oi_change_12h_cs,0.13061491987561724
ret_12h_cs_rank,0.12951907570580773
eth_ret_24h,0.12722413285526954
high_close_ratio,0.12420270599040567
btc_regime_168,0.1230015056850475
close_ma48_ratio,0.12145718055395294
ret_72h,0.11926688661309945
fng_extreme_greed,0.11650181572910319
ret_skew_48h_cs,0.11262115162005369
ret_mean_24h,0.10403609494620884
btc_regime_72,0.09681242562994924
regime_btc_above_ma720,0.09223440158808507
vwap_12h_dist,0.08936542937242982
rsi_6,0.08708970915666384
fng_extreme_fear,0.07928772195463123
ret_kurt_24h,0.07292137647531657
ret_sharpe_48h,0.07147254916288442
mom_3d,0.06786445875960358
rsi_12,0.06389079523322656
ret_4h,0.06202354027885979
bb_pband_20,0.059558422410454954
obv_ma_ratio_48,0.05672237716770541
ret_mean_48h,0.04934417284615489
vwap_dev_12h,0.04446597417294887
lower_shadow,0.03297395459516609
vol_mom_48h,0.030569817550468406
market_news_sentiment_24h,0.025057471111210417
