feature,importance
btc_vol_24h,3.8674054367680157
close_ma6_ratio,3.0777649263835714
gk_vol_168h,2.9330989643227428
close_ma12_ratio,2.835136396281021
close_ma336_ratio,2.747837095986878
cross_coin_dispersion,2.6115131495944524
close_ma720_ratio,2.595523403819452
gk_vol_48h,2.4763194147301295
gk_vol_24h,2.4739408697847463
ret_std_168h,2.2445119481820286
oi_value_usd,2.1120346317066674
ret_sharpe_168h,2.0186368991351546
breadth_pct_positive,1.7970712892842087
vol_price_corr_48h,1.7876574745655236
market_funding_std,1.7491072346624337
long_short_ratio,1.7045370875932304
fng_ma30,1.6683591136520568
news_count_7d,1.6518738252462375
market_dispersion,1.5963077306079356
funding_rate_binance,1.522696437275582
btc_beta_168h,1.4705752291805956
macd_signal,1.4694157571060797
oi_change_12h_cs,1.4693805926328034
mom_accel_12h,1.3561992187658833
vol_12h_cs_rank,1.2752538986546915
btc_ret_1h,1.208507540264509
ret_std_48h,1.202179608118709
global_long_pct,1.1988661840201231
bb_high_20,1.1678257429889403
fng_ma7,1.1418145825372714
fng_momentum,1.1119048638119602
regime_btc_dd_720,1.0903648985576009
global_ls_ratio,1.07884254504907
atr_48,1.0737702421374236
cci_48,1.0287013950231343
regime_breadth_bullish,0.9944702348968374
vol_price_corr_24h,0.9867325691666157
regime_composite,0.964522643121437
top_long_pct,0.8998152610691175
ret_sharpe_24h,0.8857517016084712
eth_ret_1h,0.8569218434440745
btc_ret_4h,0.8523478052182866
reversal_12v48,0.837464456032213
vol_price_corr_168h,0.800227517277336
btc_beta_48h,0.7946519812430864
eth_ret_4h,0.7944212527778841
btc_ret_12h,0.7645058952091893
vol_trend_12_48,0.7593692339239713
reversal_24v168,0.7058630723527928
ret_2h,0.6910453491531384
low_close_ratio,0.6634994197729175
fng_value,0.6225425883872474
top_ls_ratio,0.6201643208880354
close_ma24_ratio,0.6088061795923244
ret_kurt_48h,0.5667028191631841
close_ma168_ratio,0.5451345571770396
rsi_24,0.5299346984963895
close_open_ratio,0.5288460291465046
bb_width_48,0.5256875519120452
adx,0.5193130350347946
bb_high_48,0.5066696686749433
bb_width_20,0.48640970709551495
top_ls_zscore,0.4752149542199909
eth_ret_12h,0.45632180571213815
ret_std_24h,0.4363050576064486
btc_ret_24h,0.4350801633909256
btc_ret_168h,0.43496805706718766
adx_neg,0.4250803943534212
vol_ma720_ratio,0.41478150108955825
is_asian_session,0.4045358599670562
atr_24,0.3982837888371222
vol_mom_24h,0.39540738757023436
atr_14,0.394095681483869
ret_skew_168h,0.39092491029482446
btc_regime_24,0.38620179993989584
btc_ret_48h,0.3846493817483905
ret_skew_168h_cs,0.37295381642900105
reversal_4v24,0.3672898279886259
eth_ret_24h,0.35991878389232007
macd,0.3566324838046313
mom_12h_zscore,0.32033880167160755
ret_1h,0.3157860537058942
macd_diff,0.31376056405697006
bb_pband_48,0.31089113150546266
ret_72h,0.2862990549584378
ret_kurt_168h,0.2756476295648686
regime_btc_ma720_slope,0.2708513539122638
vol_ma48_ratio,0.2589843224911086
ret_mean_24h,0.2515441647971675
bb_low_48,0.25007664448687594
ret_sharpe_48h,0.24373932841514678
regime_low_vol,0.24094181953913438
ret_vs_btc_24h,0.2326968898712284
market_news_count_24h,0.22390239696110645
ret_6h,0.22381283942590838
close_ma48_ratio,0.21765254020211897
ret_mean_168h,0.2104324449355721
oi_zscore_7d,0.20388519362312058
mom_7d,0.19557863838776568
vol_ma24_ratio,0.19213535353054081
rsi_14,0.18108433819281142
rsi_12,0.17319360683268079
ret_168h,0.16891472053874568
eth_btc_ret_24h,0.16680185858905047
regime_btc_above_ma336,0.16669835103363784
range_expansion_12h,0.1489606492207754
ret_kurt_24h,0.14751938888493532
taker_cvd_12h,0.1460557981902442
news_count_24h,0.1401007935957518
ret_skew_48h_cs,0.13621837969176287
mom_3d,0.13400993314747406
ret_skew_48h,0.12929361333577172
vwap_12h_dist,0.12556213792030577
news_sentiment_1h,0.12207145226325165
vol_ma72_ratio,0.12096042746794786
ret_12h_cs_rank,0.11846810219423001
ret_48h,0.11477361863017503
btc_regime_72,0.1127455119119376
vwap_dev_12h,0.11168433612957536
oi_change_24h,0.11128598086609115
news_sentiment_7d,0.10611783480689159
taker_cvd_24h,0.10227899372495405
close_ma72_ratio,0.10012321547743366
btc_regime_168,0.095977251310207
ret_mean_48h,0.0898516089845717
vwap_dev_48h,0.08925370840372272
regime_btc_above_ma720,0.08784572371538665
fng_extreme_greed,0.08268693048574684
fng_extreme_fear,0.0803517002286274
oi_change_12h,0.07924443949622677
ret_24h,0.07909392896572609
news_volume_zscore,0.0761701145047072
ls_divergence,0.07498339854384894
buy_pressure,0.0675520690170817
rsi_6,0.060183275602169566
vol_mom_48h,0.0568628780469173
gk_vol_12h,0.04278704559530993
ret_skew_24h,0.04262422975174189
ret_4h,0.04246640194223148
top_ls_change_12h,0.0406991071384338
adx_pos,0.03983888293708584
news_sentiment_momentum,0.03967747448228976
vwap_dev_24h,0.039373218545950675
market_news_sentiment_24h,0.03742167148830804
regime_btc_not_crashed,0.03303832612725666
obv_ma_ratio_48,0.026300293619831702
oi_ret_interaction,0.023479642688526006
top_ls_change_24h,0.02015563490710718
dispersion_regime,0.012798159120397638
bb_low_20,0.0
