feature,importance
btc_vol_24h,752
close_ma720_ratio,605
fng_ma30,590
oi_value_usd,584
close_ma336_ratio,578
funding_rate_binance,559
fng_momentum,553
fng_ma7,536
breadth_pct_positive,527
ret_sharpe_168h,502
btc_beta_168h,480
gk_vol_168h,451
vol_12h_cs_rank,444
ret_std_168h,394
global_ls_ratio,380
ret_sharpe_24h,368
btc_beta_48h,367
vol_trend_12_48,365
macd_signal,350
ret_skew_168h,334
ret_kurt_168h,328
regime_btc_dd_720,327
news_count_7d,310
fng_value,295
vol_price_corr_48h,293
vol_price_corr_168h,292
ls_divergence,291
gk_vol_48h,280
top_long_pct,278
oi_zscore_7d,275
vol_price_corr_24h,269
mom_accel_12h,269
top_ls_ratio,268
atr_48,268
gk_vol_24h,268
cci_48,268
news_count_24h,265
close_ma6_ratio,259
bb_width_48,249
btc_ret_168h,241
market_dispersion,236
bb_high_20,235
reversal_24v168,235
macd,231
close_ma12_ratio,230
close_ma168_ratio,223
ret_kurt_48h,222
top_ls_zscore,221
close_ma24_ratio,219
adx,218
oi_change_24h,208
bb_width_20,207
taker_cvd_24h,205
ret_std_48h,203
reversal_12v48,196
news_volume_zscore,178
ret_skew_168h_cs,178
mom_7d,173
ret_std_24h,162
global_long_pct,162
atr_24,161
ret_168h,157
bb_high_48,157
range_expansion_12h,155
ret_mean_168h,154
macd_diff,151
market_news_count_24h,150
close_ma72_ratio,149
ret_skew_48h,146
funding_rate,143
ret_sharpe_48h,143
news_sentiment_7d,142
btc_ret_1h,141
news_sentiment_momentum,141
ret_vs_btc_24h,137
btc_ret_24h,137
btc_ret_12h,133
ret_kurt_24h,132
gk_vol_12h,131
adx_neg,131
close_open_ratio,128
bb_pband_48,127
mom_3d,124
news_count_1h,122
ret_2h,121
atr_14,121
rsi_24,119
regime_composite,119
low_close_ratio,118
top_ls_change_24h,115
eth_ret_24h,112
eth_ret_1h,112
bb_low_48,107
oi_change_12h,105
vol_ma720_ratio,102
obv_ma_ratio_48,100
ret_48h,99
ret_mean_24h,99
vwap_dev_48h,99
btc_ret_48h,96
ret_24h,95
ret_6h,94
btc_ret_4h,93
mom_12h_zscore,93
ret_72h,91
taker_cvd_12h,91
reversal_4v24,89
ret_skew_24h,88
ret_mean_48h,87
eth_ret_12h,85
oi_change_4h,80
vol_mom_24h,79
close_ma48_ratio,79
market_news_sentiment_24h,78
adx_pos,75
ret_1h,72
ret_skew_48h_cs,72
eth_btc_ret_24h,72
top_ls_change_12h,71
vwap_12h_dist,70
high_close_ratio,70
oi_change_12h_cs,64
market_funding_std,62
regime_breadth_bullish,58
bb_low_20,54
ret_12h,53
eth_ret_4h,53
vol_ma24_ratio,53
vwap_dev_12h,52
rsi_14,52
bb_pband_20,49
ret_12h_cs_rank,48
obv_ma_ratio_24,48
ret_4h,47
rsi_12,47
news_sentiment_1h,46
news_sentiment_24h,45
vwap_dev_24h,42
is_asian_session,36
btc_regime_24,35
lower_shadow,33
regime_low_vol,33
oi_ret_interaction_12h,32
rsi_6,29
vol_surge_24h,27
vol_ma336_ratio,25
stoch_d,24
high_low_ratio,22
funding_vs_market,22
