feature,importance
btc_vol_24h,690
oi_value_usd,560
close_ma720_ratio,529
close_ma336_ratio,528
breadth_pct_positive,528
fng_ma30,518
fng_momentum,518
ret_sharpe_168h,460
btc_beta_168h,446
fng_ma7,441
gk_vol_168h,439
global_ls_ratio,408
funding_rate_binance,403
news_count_7d,394
vol_12h_cs_rank,391
fng_value,361
ret_std_168h,357
ret_sharpe_24h,342
macd_signal,329
btc_beta_48h,320
vol_trend_12_48,309
regime_btc_dd_720,306
top_ls_ratio,285
vol_price_corr_48h,280
ret_kurt_168h,274
gk_vol_48h,273
ret_skew_168h,272
top_long_pct,272
bb_high_20,267
close_ma12_ratio,264
atr_48,261
cci_48,258
close_ma6_ratio,257
market_dispersion,248
gk_vol_24h,239
vol_price_corr_168h,235
adx,231
reversal_24v168,231
vol_price_corr_24h,229
bb_width_48,226
btc_ret_168h,219
mom_accel_12h,218
oi_change_12h_cs,217
ls_divergence,207
ret_kurt_48h,207
macd,203
ret_std_48h,199
global_long_pct,194
news_count_24h,188
mom_12h_zscore,181
bb_width_20,173
reversal_12v48,164
close_ma168_ratio,161
top_ls_zscore,158
btc_ret_1h,156
close_ma24_ratio,155
mom_7d,151
oi_zscore_7d,146
news_volume_zscore,141
ret_skew_48h,141
close_ma72_ratio,138
btc_ret_24h,138
bb_high_48,137
ret_skew_168h_cs,136
ret_vs_btc_24h,133
macd_diff,132
eth_ret_24h,131
ret_2h,129
ret_168h,129
range_expansion_12h,129
adx_neg,127
atr_24,127
ret_mean_168h,126
low_close_ratio,126
mom_3d,122
btc_ret_12h,121
market_funding_std,119
taker_cvd_24h,116
close_open_ratio,116
ret_std_24h,115
news_sentiment_momentum,115
rsi_24,115
bb_pband_48,113
eth_ret_1h,112
market_news_count_24h,111
ret_sharpe_48h,110
close_ma48_ratio,102
vol_mom_24h,102
top_ls_change_24h,100
oi_change_24h,98
vol_ma720_ratio,97
ret_kurt_24h,97
gk_vol_12h,96
ret_mean_48h,96
news_sentiment_7d,95
bb_low_48,94
ret_72h,94
obv_ma_ratio_48,93
eth_ret_12h,92
btc_ret_48h,90
atr_14,90
taker_cvd_12h,90
btc_ret_4h,89
vwap_dev_48h,88
ret_48h,87
regime_composite,86
ret_24h,84
ret_6h,84
ret_mean_24h,82
reversal_4v24,80
high_close_ratio,77
ret_skew_24h,76
news_sentiment_1h,74
oi_change_12h,73
eth_btc_ret_24h,71
market_news_sentiment_24h,69
eth_ret_4h,68
top_ls_change_12h,67
adx_pos,65
regime_breadth_bullish,65
ret_skew_48h_cs,64
news_count_1h,62
rsi_14,61
ret_1h,58
vwap_dev_12h,58
long_short_ratio,57
bb_low_20,57
vwap_12h_dist,54
is_asian_session,51
obv_ma_ratio_24,51
vol_ma24_ratio,49
bb_pband_20,48
ret_4h,45
ret_12h_cs_rank,44
news_sentiment_24h,44
rsi_12,43
vol_ma72_ratio,42
cross_coin_dispersion,41
btc_regime_24,39
ret_12h,39
rsi_6,38
vwap_dev_24h,37
stoch_d,37
vol_ma48_ratio,34
oi_ret_interaction_12h,33
mfi_14,29
high_low_ratio,25
regime_low_vol,22
oi_change_4h,16
