feature,importance
btc_vol_24h,604
oi_value_usd,541
close_ma720_ratio,527
close_ma336_ratio,512
fng_ma30,456
ret_sharpe_168h,403
fng_momentum,396
funding_rate_binance,394
btc_beta_168h,391
vol_12h_cs_rank,390
breadth_pct_positive,388
fng_ma7,381
news_count_7d,381
gk_vol_168h,374
ret_std_168h,328
global_ls_ratio,326
macd_signal,314
ret_sharpe_24h,287
close_ma12_ratio,281
vol_trend_12_48,277
gk_vol_48h,270
fng_value,270
vol_price_corr_168h,269
cci_48,269
top_long_pct,268
vol_price_corr_48h,267
top_ls_ratio,264
btc_beta_48h,251
close_ma6_ratio,248
atr_48,245
regime_btc_dd_720,244
gk_vol_24h,237
ret_kurt_168h,237
ret_skew_168h,227
market_dispersion,225
bb_high_20,223
oi_change_12h_cs,223
mom_accel_12h,209
ret_kurt_48h,206
bb_width_48,205
close_ma168_ratio,202
vol_price_corr_24h,201
ret_std_48h,195
macd,195
adx,192
bb_width_20,171
reversal_24v168,166
global_long_pct,166
reversal_12v48,158
btc_ret_1h,155
range_expansion_12h,153
btc_ret_168h,151
close_ma24_ratio,150
bb_high_48,144
news_count_24h,139
mom_12h_zscore,137
top_ls_zscore,134
macd_diff,132
regime_composite,132
ret_sharpe_48h,132
btc_ret_12h,132
ret_2h,130
ret_168h,130
oi_zscore_7d,129
low_close_ratio,128
news_sentiment_7d,128
market_funding_std,124
ret_mean_168h,123
ret_skew_48h,122
eth_ret_1h,121
ls_divergence,120
mom_7d,120
bb_pband_48,115
ret_vs_btc_24h,114
ret_skew_168h_cs,112
btc_ret_24h,111
news_volume_zscore,110
vol_ma720_ratio,109
btc_ret_48h,108
eth_ret_24h,108
close_ma72_ratio,108
ret_std_24h,108
close_open_ratio,107
atr_24,106
news_sentiment_momentum,105
rsi_24,104
mom_3d,103
ret_72h,103
adx_neg,100
vol_mom_24h,98
ret_mean_24h,96
market_news_count_24h,94
ret_kurt_24h,93
eth_ret_12h,93
reversal_4v24,90
taker_cvd_24h,88
close_ma48_ratio,86
obv_ma_ratio_48,86
eth_btc_ret_24h,78
vwap_dev_48h,78
btc_ret_4h,75
ret_1h,75
news_sentiment_1h,74
top_ls_change_24h,73
long_short_ratio,72
ret_6h,68
bb_low_48,68
ret_mean_48h,68
ret_48h,67
taker_cvd_12h,66
ret_24h,65
ret_skew_48h_cs,65
oi_change_24h,63
news_count_1h,63
gk_vol_12h,62
news_sentiment_24h,60
oi_ret_interaction_12h,60
rsi_14,59
oi_change_12h,58
vwap_12h_dist,55
vwap_dev_12h,55
atr_14,53
market_news_sentiment_24h,52
vol_ma24_ratio,49
vwap_dev_24h,49
bb_low_20,47
stoch_d,46
high_close_ratio,46
rsi_12,46
top_ls_change_12h,45
adx_pos,45
eth_ret_4h,43
ret_12h,43
regime_breadth_bullish,40
obv_ma_ratio_24,39
ret_skew_24h,39
ret_12h_cs_rank,38
ret_4h,35
vol_ma72_ratio,32
bb_pband_20,31
oi_change_4h,28
is_asian_session,28
vol_ma168_ratio,28
vol_ma48_ratio,27
cross_coin_dispersion,27
rsi_6,26
mfi_14,25
dispersion_regime,22
btc_regime_24,20
regime_low_vol,16
regime_btc_ma720_slope,15
stoch_k,15
btc_regime_72,9
btc_regime_168,7
regime_btc_above_ma336,6
regime_btc_not_crashed,5
fng_extreme_fear,5
vol_ma12_ratio,4
fng_extreme_greed,4
regime_btc_above_ma720,3
