feature,importance
btc_vol_24h,747
close_ma720_ratio,602
oi_value_usd,593
fng_ma30,574
funding_rate_binance,545
close_ma336_ratio,527
vol_12h_cs_rank,465
btc_beta_168h,457
ret_sharpe_168h,456
fng_ma7,446
breadth_pct_positive,446
gk_vol_168h,442
fng_momentum,435
news_count_7d,378
vol_trend_12_48,356
ret_std_168h,352
regime_btc_dd_720,350
vol_price_corr_168h,349
macd_signal,345
fng_value,327
global_ls_ratio,324
gk_vol_48h,323
cci_48,317
btc_beta_48h,313
top_long_pct,312
mom_accel_12h,305
ls_divergence,301
gk_vol_24h,285
ret_kurt_168h,281
close_ma6_ratio,272
close_ma12_ratio,272
atr_48,271
ret_skew_168h,270
vol_price_corr_48h,270
adx,265
ret_sharpe_24h,256
news_count_24h,248
top_ls_ratio,243
oi_zscore_7d,242
macd,238
bb_width_48,236
bb_high_20,232
market_dispersion,225
vol_price_corr_24h,224
top_ls_zscore,220
btc_ret_168h,214
close_ma24_ratio,213
taker_cvd_24h,209
close_ma168_ratio,202
ret_std_48h,194
ret_kurt_48h,186
bb_width_20,186
mom_7d,182
bb_high_48,179
reversal_24v168,177
news_sentiment_7d,176
oi_change_24h,176
reversal_12v48,171
macd_diff,168
ret_skew_168h_cs,167
regime_composite,164
news_volume_zscore,160
market_news_count_24h,159
atr_24,159
btc_ret_1h,155
global_long_pct,152
ret_skew_48h,152
ret_sharpe_48h,148
ret_mean_168h,144
ret_std_24h,137
range_expansion_12h,132
mom_3d,132
ret_kurt_24h,132
news_sentiment_momentum,132
ret_2h,130
btc_ret_12h,128
btc_ret_48h,125
ret_168h,125
close_open_ratio,122
low_close_ratio,121
rsi_24,120
oi_change_12h,120
funding_rate,118
ret_72h,116
close_ma72_ratio,114
ret_mean_48h,112
close_ma48_ratio,112
bb_pband_48,109
atr_14,109
eth_ret_24h,108
ret_vs_btc_24h,108
ret_mean_24h,107
vol_ma720_ratio,107
obv_ma_ratio_48,105
adx_neg,105
news_count_1h,105
btc_ret_24h,103
reversal_4v24,99
eth_ret_1h,99
gk_vol_12h,98
bb_low_48,95
vwap_dev_48h,93
taker_cvd_12h,92
ret_24h,90
ret_48h,87
top_ls_change_24h,87
oi_change_4h,85
ret_6h,85
vol_mom_24h,78
ret_skew_24h,78
mom_12h_zscore,75
market_funding_std,75
vwap_12h_dist,75
eth_ret_12h,72
ret_1h,66
adx_pos,66
ret_skew_48h_cs,66
market_news_sentiment_24h,65
btc_ret_4h,64
oi_change_12h_cs,62
rsi_14,62
ret_12h,60
vwap_dev_24h,60
vol_ma24_ratio,58
bb_low_20,57
vwap_dev_12h,56
regime_breadth_bullish,54
eth_btc_ret_24h,51
rsi_12,50
ret_12h_cs_rank,49
high_close_ratio,48
news_sentiment_24h,47
eth_ret_4h,46
obv_ma_ratio_24,44
top_ls_change_12h,43
oi_ret_interaction_12h,43
funding_vs_market,43
bb_pband_20,39
stoch_d,39
is_asian_session,37
vol_ma336_ratio,36
rsi_6,36
news_sentiment_1h,32
mfi_14,32
vol_ma72_ratio,29
ret_4h,27
buy_pressure,26
lower_shadow,24
