feature,importance
btc_vol_24h,768
close_ma336_ratio,605
fng_ma30,603
close_ma720_ratio,598
oi_value_usd,499
vol_12h_cs_rank,491
fng_ma7,466
btc_beta_168h,461
gk_vol_168h,441
fng_momentum,441
ret_sharpe_168h,434
funding_rate_binance,408
breadth_pct_positive,383
regime_btc_dd_720,371
ret_std_168h,369
global_ls_ratio,349
top_long_pct,340
macd_signal,335
vol_price_corr_168h,330
fng_value,326
cci_48,296
gk_vol_48h,286
btc_beta_48h,285
ret_skew_168h,278
close_ma12_ratio,273
market_dispersion,270
top_ls_ratio,270
close_ma6_ratio,266
atr_48,261
ret_kurt_168h,242
btc_ret_168h,241
ret_sharpe_24h,236
global_long_pct,226
gk_vol_24h,222
macd,214
vol_price_corr_48h,212
oi_change_12h_cs,209
adx,195
bb_high_48,194
vol_price_corr_24h,188
bb_width_48,185
ret_kurt_48h,180
close_ma168_ratio,180
ret_std_48h,169
vol_trend_12_48,169
bb_high_20,161
oi_zscore_7d,155
reversal_24v168,150
vol_crush_ratio,147
mom_accel_12h,145
ret_std_24h,144
ls_divergence,141
ret_skew_168h_cs,139
mom_7d,138
top_ls_zscore,137
range_expansion_12h,136
mom_12h_zscore,136
btc_ret_48h,135
btc_ret_1h,133
mom_3d,131
ret_mean_168h,130
btc_ret_24h,129
macd_diff,128
btc_ret_12h,128
ret_skew_48h,126
ret_72h,119
bb_width_20,118
close_ma24_ratio,115
ret_kurt_24h,114
reversal_12v48,113
ret_168h,112
adx_neg,110
atr_24,110
vol_ma720_ratio,108
close_open_ratio,106
close_ma72_ratio,105
taker_cvd_24h,105
bb_pband_48,104
market_funding_std,103
eth_ret_24h,101
eth_ret_1h,99
low_close_ratio,95
close_ma48_ratio,95
regime_composite,95
ret_2h,95
eth_ret_12h,94
ret_sharpe_48h,94
atr_14,92
ret_mean_48h,88
obv_ma_ratio_48,84
rsi_24,82
vwap_dev_48h,79
ret_mean_24h,78
oi_change_24h,77
ret_24h,75
ret_vs_btc_24h,75
reversal_4v24,74
top_ls_change_24h,74
bb_low_48,74
vwpc_12h,73
eth_btc_ret_24h,72
ret_48h,67
long_short_ratio,66
eth_ret_4h,65
gk_vol_12h,65
ret_6h,64
direction_quality_12h,61
vol_mom_24h,60
ret_skew_48h_cs,57
ret_skew_24h,55
stoch_d,55
btc_ret_4h,53
cross_coin_dispersion,52
vol_ma24_ratio,49
ret_1h,48
oi_ret_interaction_12h,48
regime_breadth_bullish,43
btc_regime_24,43
taker_cvd_12h,43
bb_low_20,41
adx_pos,39
rsi_14,38
ret_4h,37
vwap_12h_dist,37
high_close_ratio,34
oi_change_12h,33
regime_low_vol,32
rsi_12,32
vwap_dev_24h,30
regime_btc_ma720_slope,30
obv_ma_ratio_24,29
top_ls_change_12h,28
vwap_dev_12h,27
bb_pband_20,25
vol_ma72_ratio,25
vol_ma48_ratio,23
oi_ret_interaction,20
ret_12h_cs_rank,19
vol_ma168_ratio,17
vol_ma336_ratio,16
buy_pressure,16
ll_count_12h,15
is_asian_session,13
rsi_6,10
dispersion_regime,10
mfi_14,5
obv_ma_ratio_12,4
