feature,importance
market_funding_std,0.051008448
market_dispersion,0.034648977
gk_vol_24h,0.029595202
btc_ret_1h,0.024042292
long_short_ratio,0.022780498
close_ma6_ratio,0.018161116
close_ma12_ratio,0.017364461
btc_ret_12h,0.017341545
eth_ret_1h,0.016768752
nx_high_vol_positive,0.015142946
ret_std_48h,0.013844442
eth_ret_12h,0.013427129
nx_burst_ratio,0.012464799
gk_vol_48h,0.012145765
low_close_ratio,0.011533159
eth_ret_4h,0.011300981
eth_ret_24h,0.010917174
btc_ret_4h,0.010781365
ret_2h,0.010453162
btc_ret_24h,0.009904925
vol_ma24_ratio,0.008924084
nx_high_vol_negative,0.008617244
vol_price_corr_48h,0.008359684
regime_breadth_bullish,0.007937882
close_open_ratio,0.0074913427
nx_is_burst,0.007312266
news_sentiment_1h,0.0072749155
btc_ret_48h,0.0071797655
nx_high_volume,0.0071758614
breadth_pct_positive,0.0070680007
ret_1h,0.0068833483
bb_low_20,0.006876423
vol_ma48_ratio,0.006823025
ret_std_168h,0.006707998
gk_vol_168h,0.0065628127
btc_vol_24h,0.0062835854
close_ma336_ratio,0.0062160296
nx_sent_price_div,0.0059542553
regime_composite,0.005811971
reversal_4v24,0.005731498
eth_btc_ret_24h,0.005445034
close_ma48_ratio,0.005411354
vol_ma72_ratio,0.0053096986
mom_accel_12h,0.0052977693
atr_48,0.005207364
vol_mom_24h,0.005152623
oi_change_12h_cs,0.005124443
vol_price_corr_24h,0.005083296
btc_ret_168h,0.0049248207
vwap_dev_12h,0.004823457
close_ma24_ratio,0.0047517936
reversal_12v48,0.004740147
close_ma72_ratio,0.004597774
funding_rate_binance,0.0045857485
bb_high_20,0.0045772507
news_count_7d,0.0045462213
news_sentiment_24h,0.0044977204
reversal_24v168,0.004495806
ret_sharpe_168h,0.004489457
nx_sent_mom_3d,0.004480999
close_ma720_ratio,0.0044727405
bb_high_48,0.0044569406
macd_signal,0.004449681
atr_24,0.004331131
cci_48,0.0043062833
nx_sent_x_count_24h,0.0042997254
fng_ma30,0.0042963843
vol_trend_12_48,0.0042522815
rsi_24,0.0042388737
close_ma168_ratio,0.0042134044
mom_12h_zscore,0.004184408
oi_ret_interaction_12h,0.0041700844
nx_sent_x_count_7d,0.004153205
nx_news_in_dispersion,0.0041513112
nx_count_vs_market,0.0041452316
macd,0.004144106
ret_4h,0.0041209916
vol_ma168_ratio,0.00410479
vwap_12h_dist,0.004104667
fng_ma7,0.004097003
ret_mean_24h,0.004096766
ret_sharpe_24h,0.004089456
adx_neg,0.004086484
oi_value_usd,0.0040858597
rsi_6,0.004084895
news_count_24h,0.0040659867
top_long_pct,0.004022195
ret_24h,0.003992841
global_ls_ratio,0.0039845523
vol_price_corr_168h,0.0039680926
vol_12h_cs_rank,0.0039461497
top_ls_zscore,0.00393017
nx_sent_x_count_1h,0.0039109653
vol_ma720_ratio,0.00389365
ret_vs_btc_24h,0.0038725408
rsi_12,0.00387248
nx_sent_accel_7d,0.0038484796
bb_pband_48,0.0038465008
taker_imbalance_cs,0.0038373477
is_asian_session,0.003832123
high_close_ratio,0.003811505
nx_sent_accel,0.0038022574
news_sentiment_momentum,0.0037803873
ret_6h,0.0037779459
top_ls_ratio,0.003771471
nx_sent_ret_product,0.0037692667
ret_mean_48h,0.0037641153
nx_burst_x_sent,0.0037595795
fng_value,0.003735645
bb_low_48,0.0037213834
nx_sent_price_div_24h,0.0036975502
bb_width_20,0.0036896546
regime_low_vol,0.0036891617
news_volume_zscore,0.0036885324
ret_std_24h,0.0036873766
btc_beta_48h,0.0036568178
oi_change_12h,0.003652419
vwap_dev_48h,0.0036383544
btc_beta_168h,0.0036360035
fng_momentum,0.0036318763
ret_kurt_48h,0.0036119225
ret_skew_168h,0.0036056393
regime_btc_ma720_slope,0.0036032873
news_count_1h,0.0035889295
ret_72h,0.0035739043
global_long_pct,0.003573734
range_expansion_12h,0.0035705855
oi_zscore_7d,0.0035581791
ret_mean_168h,0.003544929
regime_btc_dd_720,0.0035390288
bb_width_48,0.0035234317
regime_btc_above_ma336,0.0035193008
news_sentiment_7d,0.0035115005
nx_sent_x_fear,0.0035041694
market_news_count_24h,0.00349807
ret_12h_cs_rank,0.0034900946
ret_sharpe_48h,0.0034875034
rsi_14,0.00346922
ls_divergence,0.0034340655
bb_pband_20,0.003417107
nx_sent_x_vol,0.0034134644
taker_cvd_12h,0.0034044299
fng_extreme_greed,0.0033789992
nx_sent_vs_market,0.0033674766
nx_sent_mom_align,0.0033634696
ret_168h,0.0033588007
mom_7d,0.0033420261
market_news_sentiment_24h,0.0033418408
taker_cvd_24h,0.0032734978
atr_14,0.0032601752
ret_48h,0.0032537216
gk_vol_12h,0.0032488983
ret_kurt_168h,0.003229397
macd_diff,0.003204493
oi_change_24h,0.0031934478
btc_regime_24,0.0031760712
oi_ret_interaction,0.0031550964
btc_regime_168,0.0031521306
ret_skew_168h_cs,0.0031395925
adx,0.0031129182
top_ls_change_24h,0.0031014096
ret_skew_48h,0.0030861537
mom_3d,0.0030012596
ret_skew_48h_cs,0.002969379
ret_12h,0.0029539298
obv_ma_ratio_48,0.0028243838
vol_surge_24h,0.002808111
fng_extreme_fear,0.0025767765
