feature,importance
btc_vol_24h,3.2835064256050814
breadth_pct_positive,2.820158771713008
gk_vol_168h,2.796064159769661
close_ma720_ratio,2.7848172111680674
close_ma6_ratio,2.686679322252372
close_ma336_ratio,2.5899550758441503
gk_vol_24h,2.4228333816406837
funding_rate_binance,2.1311944942963867
close_ma12_ratio,2.1116970510770563
ret_sharpe_168h,1.8109254062230877
fng_momentum,1.7270663434257785
fng_ma30,1.6689283483425508
ret_std_168h,1.6395454989920737
gk_vol_48h,1.6190386101475585
vol_trend_12_48,1.6170414160070734
news_count_7d,1.6062086809985312
funding_vs_market,1.6025992464635752
vol_price_corr_48h,1.4700135409851693
fng_ma7,1.4541775756162498
oi_value_usd,1.4312944538487375
funding_rate,1.3750163812211682
ret_std_48h,1.3436102026413907
btc_beta_168h,1.3309503312369366
vol_12h_cs_rank,1.3199770061107872
oi_zscore_7d,1.2213807582258702
mom_accel_12h,1.211940714706436
regime_breadth_bullish,1.2021011924710805
macd_signal,1.1873975582968885
btc_ret_4h,1.1795231118169422
atr_48,1.087031437439405
ls_divergence,1.0747951470769692
ret_sharpe_24h,1.061121018631424
vol_price_corr_24h,1.0610763215091406
top_long_pct,1.0581701807652442
cross_coin_dispersion,1.0213881874260526
btc_beta_48h,0.9664941850188995
bb_high_20,0.9452131541010156
oi_change_24h,0.9015046715216837
market_funding_std,0.8475193270999936
close_ma24_ratio,0.7967749265005462
global_long_pct,0.7919683070182567
cci_48,0.7739029276121647
funding_surprise,0.7719799521389787
news_count_24h,0.7583811815185253
global_ls_ratio,0.7396333324619995
reversal_24v168,0.7377305780723996
atr_24,0.7329686163640118
fng_value,0.7279617295179049
market_dispersion,0.7023246690556437
long_short_ratio,0.6932529397700881
top_ls_ratio,0.6780916999734538
news_coverage_ok,0.6712277846226695
regime_btc_dd_720,0.6551227861413247
ret_2h,0.642907305032569
bb_width_48,0.6424728080223436
btc_ret_1h,0.624435968463101
close_open_ratio,0.6205194421497727
vol_price_corr_168h,0.6126592054172167
market_news_count_24h,0.6087879514133836
regime_composite,0.6034964546145014
top_ls_zscore,0.5923378234940572
eth_ret_1h,0.5849366202027347
ret_skew_168h,0.5741936989008618
btc_ret_168h,0.5701041734018616
close_ma168_ratio,0.5626006504986394
low_close_ratio,0.5550545603733137
reversal_12v48,0.5507065580849916
ret_kurt_48h,0.5361627876816552
btc_ret_12h,0.5342827541509666
ret_std_24h,0.5218169572126726
market_news_sentiment_24h,0.5140041685324146
ret_skew_168h_cs,0.5093488067091823
ret_kurt_168h,0.509054232223868
bb_high_48,0.49253061594702185
taker_cvd_24h,0.4713650129720822
bb_width_20,0.4488901933658195
adx,0.42406761762264356
news_count_1h,0.42228218027631714
rsi_24,0.41801333813687436
mom_12h_zscore,0.40600019062972886
is_asian_session,0.4055802663989269
btc_regime_24,0.400461214219624
adx_neg,0.38783368136868684
macd,0.3871785730089172
ret_vs_btc_24h,0.3530920311400539
eth_ret_12h,0.34923259002280554
regime_low_vol,0.34871095598828294
news_volume_zscore,0.3362130328094746
oi_change_12h,0.3092408994423317
range_expansion_12h,0.3043322915249061
vol_ma720_ratio,0.30177399129832366
ret_mean_168h,0.29670658431718694
vol_mom_24h,0.2723312812370546
btc_ret_24h,0.25590572410133977
atr_14,0.25236791735274794
ret_168h,0.25183263498027436
mom_7d,0.24052769130465745
ret_6h,0.2376431285778348
ret_24h,0.23571352530249623
close_ma72_ratio,0.22760308759460812
reversal_4v24,0.2244771681768775
taker_cvd_12h,0.21618921687838863
vol_ma24_ratio,0.21485111950658903
oi_change_4h,0.2124163803618366
news_sentiment_7d,0.2107191015360403
regime_btc_not_crashed,0.19727082533787804
eth_ret_4h,0.19712572675229417
ret_mean_24h,0.18694376241560004
ret_1h,0.18262700741770632
ret_sharpe_48h,0.17124914032665556
btc_ret_48h,0.16431991904991058
vwap_dev_48h,0.16397011201398587
top_ls_change_24h,0.1622513440153011
macd_diff,0.15855458620040383
ret_skew_48h,0.15669245155442657
btc_regime_168,0.15269734736513582
vol_surge_24h,0.15174045959441174
regime_btc_above_ma336,0.1512816085793225
eth_ret_24h,0.1468564658477696
bb_low_20,0.14683267967675498
rsi_6,0.14453274180864112
close_ma48_ratio,0.1429319164227503
rsi_14,0.13308633219970728
regime_btc_ma720_slope,0.13233019099495405
ret_48h,0.12031044087029752
bb_pband_48,0.11817036024631987
high_close_ratio,0.11809572315135071
news_event,0.11352461202228707
gk_vol_12h,0.11290401073198147
fng_extreme_greed,0.11279192949038215
vwap_12h_dist,0.11101097660030002
ret_12h_cs_rank,0.10088051492469406
news_sentiment_momentum,0.09538617382210227
ret_skew_48h_cs,0.09510817979590173
regime_btc_above_ma720,0.09115102180630887
mom_3d,0.09055700016148727
ret_kurt_24h,0.08762726147676023
fng_extreme_fear,0.0849510766689999
news_sentiment_24h,0.082415704966679
ret_12h,0.08022896769610753
eth_btc_ret_24h,0.07830967563566976
ret_72h,0.07255713789833142
bb_low_48,0.07210968817958503
ret_4h,0.07119150703789055
rsi_12,0.06667766323576205
vwap_dev_12h,0.06256844344368273
bb_pband_20,0.0577266482886081
vol_mom_48h,0.04854748342460135
ret_mean_48h,0.040706936704482
oi_change_12h_cs,0.03694229943633817
lower_shadow,0.03226465850532149
btc_regime_72,0.014745789721171926
