feature,importance
btc_vol_24h,3.6860864668754525
gk_vol_168h,3.0498508660239696
close_ma336_ratio,2.6352482584732435
close_ma720_ratio,2.6080189888082956
close_ma6_ratio,2.5593608378173713
gk_vol_48h,2.418179973483243
close_ma12_ratio,2.337287381807986
gk_vol_24h,2.291451165665532
news_count_7d,2.0003230693767415
ret_sharpe_168h,1.9965153303646832
oi_value_usd,1.8499530354143234
cross_coin_dispersion,1.8059652167953457
ret_std_168h,1.7922763620613806
fng_ma30,1.7294892728461313
btc_beta_168h,1.6773461842362
vol_price_corr_48h,1.655521020714311
market_funding_std,1.6445609534499883
breadth_pct_positive,1.5453029318186875
macd_signal,1.5358479079788756
funding_rate_binance,1.4754104940032111
oi_change_12h_cs,1.4038959310296222
long_short_ratio,1.3801697278638667
vol_12h_cs_rank,1.3127411132780888
mom_accel_12h,1.2614454535645472
fng_ma7,1.2606262638928338
bb_high_20,1.1776015455931896
fng_momentum,1.1696619800324863
ret_std_48h,1.1493378125709577
global_long_pct,1.135999486895382
global_ls_ratio,1.1246669617918712
btc_ret_4h,1.1073536214080368
regime_btc_dd_720,1.0479401799766062
eth_ret_1h,1.0406321647446355
btc_ret_1h,1.0054812265003095
top_long_pct,1.0046718758180393
cci_48,1.0017797192985287
regime_composite,0.9896375682086159
atr_48,0.9715961806575097
vol_price_corr_24h,0.9459285548926305
news_coverage_ok,0.879716785078405
reversal_12v48,0.8656542880085547
ret_sharpe_24h,0.8560425500258989
vol_trend_12_48,0.8276243292109282
fng_value,0.8074121504375437
top_ls_ratio,0.8016261539848606
news_count_24h,0.780797977739356
vol_price_corr_168h,0.7641968648952445
bb_width_48,0.7635509860720027
eth_ret_4h,0.7561115199015384
regime_breadth_bullish,0.7511031637962616
ret_kurt_48h,0.7148674632817074
market_dispersion,0.7064173913769666
btc_beta_48h,0.6941449726937557
ret_2h,0.6539064748902571
market_news_count_24h,0.6379663304295394
close_ma168_ratio,0.6300023817137227
close_ma24_ratio,0.6272218840660346
low_close_ratio,0.6233897206892608
btc_ret_12h,0.595450419115694
reversal_24v168,0.5893982411620333
bb_high_48,0.5467169735298983
bb_width_20,0.5376812003570117
top_ls_zscore,0.5369953017359848
adx,0.49386207072853955
btc_ret_168h,0.4808996548305608
ret_skew_168h,0.464849298962705
atr_24,0.45452656640743094
ret_skew_168h_cs,0.4524597959390647
is_asian_session,0.4281040931065782
regime_btc_ma720_slope,0.4259277180898513
close_open_ratio,0.42571351252061884
rsi_24,0.4159247385462021
vol_ma720_ratio,0.39989848619691865
vol_mom_24h,0.3949170684985997
btc_ret_48h,0.3910750924511696
adx_neg,0.3798223611248571
atr_14,0.37165763066879043
macd_diff,0.3624966891754
btc_regime_24,0.36177160065577424
ret_mean_24h,0.35870534971651835
regime_low_vol,0.34601427045442135
ret_std_24h,0.34600399932585807
ret_kurt_168h,0.3411942646968771
macd,0.3389931003178186
bb_pband_48,0.3336718069998858
btc_ret_24h,0.3299973540670415
mom_12h_zscore,0.3297481336548365
reversal_4v24,0.3246223718250758
bb_low_48,0.29720380431662297
mom_7d,0.29591970118077665
news_sentiment_7d,0.2940582395194718
ret_6h,0.2861774702466214
eth_btc_ret_24h,0.2839901662754757
ret_168h,0.27268170448819057
regime_btc_above_ma336,0.270480731288696
eth_ret_12h,0.27037059503269906
eth_ret_24h,0.2688185063673375
ls_divergence,0.25993568684129054
ret_mean_168h,0.251720061207044
range_expansion_12h,0.25102397922707403
ret_1h,0.24831093708739738
market_news_sentiment_24h,0.22605732630334047
rsi_12,0.21678461380833206
ret_24h,0.1866067704413122
oi_zscore_7d,0.1861296576250735
ret_72h,0.1835854492954711
ret_vs_btc_24h,0.1831405515942009
mom_3d,0.18293621441495486
vwap_12h_dist,0.18187037652566876
vol_ma48_ratio,0.18145192035089744
close_ma48_ratio,0.178789553419033
ret_skew_48h_cs,0.17447440326943323
news_sentiment_momentum,0.17168116962694485
rsi_14,0.16574624739341068
ret_sharpe_48h,0.1547438842452808
btc_regime_72,0.14930959772424793
ret_kurt_24h,0.14830575236933816
news_event,0.14793311768395845
vol_ma24_ratio,0.14494369507763782
close_ma72_ratio,0.14411886028544285
ret_skew_48h,0.1389819968185654
oi_change_24h,0.1380423506736372
news_volume_zscore,0.13682888294919898
fng_extreme_fear,0.12275607701696607
fng_extreme_greed,0.12195815765798301
vwap_dev_48h,0.11993890538977278
ret_12h_cs_rank,0.1138022277200197
regime_btc_not_crashed,0.11314331377484049
btc_regime_168,0.11225241262153592
ret_mean_48h,0.11130201589913738
vol_ma72_ratio,0.11010642100405588
vwap_dev_12h,0.09802314148681675
taker_cvd_12h,0.09603852158212013
ret_48h,0.09324325493024553
regime_btc_above_ma720,0.08826386641444779
news_sentiment_24h,0.07445183224512043
vol_mom_48h,0.06902717617944935
oi_change_12h,0.06798271057224842
buy_pressure,0.06736289935638912
news_count_1h,0.06666668962619585
high_close_ratio,0.06660381709882368
top_ls_change_24h,0.0664335578272476
taker_cvd_24h,0.06365324357226877
gk_vol_12h,0.06030657691598831
ret_4h,0.04946005020125708
news_sentiment_1h,0.048392960932557856
top_ls_change_12h,0.04815446675676139
ret_12h,0.04813898190663366
ret_skew_24h,0.04746537498065097
bb_low_20,0.03331615706671345
adx_pos,0.03132233047596721
oi_ret_interaction_12h,0.031263244627143874
