feature,importance
btc_vol_24h,4.029259088384403
gk_vol_168h,3.1136748741854396
close_ma720_ratio,2.7088567915818413
close_ma6_ratio,2.7006122034163833
oi_value_usd,2.564362107457604
close_ma336_ratio,2.5265325642511995
gk_vol_48h,2.407013901868306
close_ma12_ratio,2.3774819587295184
gk_vol_24h,2.1467913013784905
ret_sharpe_168h,2.11817327990588
fng_ma30,1.9868021195010046
market_funding_std,1.986562441209968
ret_std_168h,1.9279796305681083
long_short_ratio,1.83755232557474
cross_coin_dispersion,1.8347481127277316
btc_beta_168h,1.7521998433911665
vol_price_corr_48h,1.6640016017839068
breadth_pct_positive,1.63655594660288
funding_rate_binance,1.5050581221018142
macd_signal,1.4488732525875823
vol_12h_cs_rank,1.3941787816443703
oi_change_12h_cs,1.3913217508677935
fng_ma7,1.3473173638680216
fng_momentum,1.3342919593315257
mom_accel_12h,1.3255249404520237
btc_ret_4h,1.3061359556207326
global_long_pct,1.2393723833836856
bb_high_20,1.2340244642304607
ret_std_48h,1.216719255909894
btc_ret_1h,1.1348219748112824
global_ls_ratio,1.1051292728912752
cci_48,1.10068681968187
regime_btc_dd_720,1.0758408621658768
top_long_pct,1.072518557651419
market_dispersion,1.0040128383457603
btc_ret_12h,0.998962726466244
vol_price_corr_24h,0.9726381988988798
atr_48,0.9365074263157573
regime_composite,0.9171986626585523
ret_sharpe_24h,0.8983909838108882
fng_value,0.888935263803215
vol_price_corr_168h,0.8771677840876181
vol_trend_12_48,0.8636998808019724
top_ls_ratio,0.8510507707217924
bb_width_48,0.8495867072632243
btc_beta_48h,0.821606073196893
reversal_12v48,0.7945790786947972
regime_breadth_bullish,0.7795756580392332
eth_ret_1h,0.6664335059866957
close_ma24_ratio,0.655140083378177
ret_kurt_48h,0.6337920481135659
low_close_ratio,0.6323096752566326
ret_2h,0.6286370521274544
btc_ret_168h,0.6246985429761248
close_ma168_ratio,0.5960138072000672
eth_ret_4h,0.5819602899084413
reversal_24v168,0.5758680089471504
btc_ret_24h,0.5464828872146492
adx,0.5346009122196879
atr_24,0.5192431135389245
ret_skew_168h_cs,0.4958044523750346
is_asian_session,0.4947753277612435
bb_high_48,0.4940065349660366
top_ls_zscore,0.4921837754696053
ret_skew_168h,0.4920205530402932
bb_width_20,0.4558269191352944
macd,0.45175058893992304
close_open_ratio,0.438786263371353
regime_btc_ma720_slope,0.43188775530803214
adx_neg,0.4300735492029646
ret_kurt_168h,0.4285320243757665
atr_14,0.42358161720386045
vol_ma720_ratio,0.3988241397249472
ret_std_24h,0.39615425395690473
vol_mom_24h,0.3893798913851583
btc_regime_24,0.3782726314817387
macd_diff,0.36558474953580294
mom_12h_zscore,0.3616453531342734
regime_low_vol,0.35971444154602866
ret_mean_168h,0.33390307007434666
ret_mean_24h,0.31937163528036167
mom_7d,0.3074589388547469
eth_ret_12h,0.30354821514057984
ret_168h,0.29614990928517015
reversal_4v24,0.29355761587692913
eth_ret_24h,0.2795508864195354
close_ma48_ratio,0.2630120821277163
ls_divergence,0.26266023263555527
ret_1h,0.25909444851530233
btc_ret_48h,0.2519362745484471
bb_low_48,0.2391022445611962
ret_6h,0.23904272477595387
rsi_24,0.23790675128310432
ret_vs_btc_24h,0.2371762947864486
close_ma72_ratio,0.2361771410936228
mom_3d,0.23525141153371487
bb_pband_48,0.23227939172099257
vol_ma48_ratio,0.22679121470768937
ret_72h,0.21846251424573687
oi_zscore_7d,0.21153647329737368
ret_kurt_24h,0.19926167976438683
range_expansion_12h,0.19853227841502755
rsi_14,0.19692779949785516
ret_sharpe_48h,0.18762062750081376
eth_btc_ret_24h,0.17388883686724085
ret_24h,0.17224689442728283
ret_skew_48h,0.16909245114165666
ret_skew_48h_cs,0.16698369062264024
vol_ma24_ratio,0.15623364492289457
ret_12h_cs_rank,0.15492533555488555
ret_48h,0.1513188302990268
btc_regime_168,0.14757589334373064
regime_btc_above_ma336,0.14341528170060247
vwap_12h_dist,0.140471431562886
vwap_dev_48h,0.1391310225504934
fng_extreme_greed,0.13814930819860557
taker_cvd_12h,0.13809361614016002
rsi_12,0.1293861659445635
oi_change_12h,0.1292910923330913
regime_btc_not_crashed,0.1281873415318093
fng_extreme_fear,0.12312794731891391
ret_12h,0.12289993863322787
vwap_dev_12h,0.12168719111510859
oi_change_24h,0.11786592821580454
btc_regime_72,0.11645786655673143
taker_cvd_24h,0.11184538430891142
adx_pos,0.11125211113783873
bb_low_20,0.11012836361977908
rsi_6,0.10674195176378774
top_ls_change_24h,0.1020615613477311
ret_mean_48h,0.09826625450367135
vol_ma72_ratio,0.09279118371859668
obv_ma_ratio_48,0.08846506559621324
high_close_ratio,0.07966713064516388
gk_vol_12h,0.0792631322444389
vol_mom_48h,0.07653234699833526
buy_pressure,0.07028499970178825
ret_4h,0.06541099009162629
regime_btc_above_ma720,0.05535235872435499
top_ls_change_12h,0.054193278478795716
ret_skew_24h,0.04061378785093746
bb_pband_20,0.03151592273932026
