feature,importance
btc_vol_24h,858
fng_ma30,786
fng_momentum,739
close_ma720_ratio,709
close_ma336_ratio,692
funding_rate_binance,660
fng_ma7,629
oi_value_usd,626
news_count_7d,620
ret_sharpe_168h,576
breadth_pct_positive,571
vol_12h_cs_rank,558
gk_vol_168h,548
btc_beta_168h,539
ret_std_168h,427
fng_value,424
ret_sharpe_24h,406
btc_beta_48h,406
vol_trend_12_48,405
global_ls_ratio,397
macd_signal,390
ret_skew_168h,387
market_news_count_24h,382
ls_divergence,381
vol_price_corr_168h,380
atr_48,378
gk_vol_48h,374
top_long_pct,369
ret_kurt_168h,365
news_count_24h,361
regime_btc_dd_720,351
top_ls_ratio,348
news_sentiment_7d,344
vol_price_corr_48h,341
vol_price_corr_24h,328
cci_48,324
adx,309
gk_vol_24h,304
market_dispersion,302
market_news_sentiment_24h,300
btc_ret_168h,294
bb_width_48,290
mom_accel_12h,290
macd,287
oi_zscore_7d,286
close_ma168_ratio,283
news_volume_zscore,283
close_ma12_ratio,280
reversal_24v168,279
news_sentiment_momentum,278
bb_high_20,271
close_ma6_ratio,271
top_ls_zscore,267
reversal_12v48,261
ret_std_48h,260
ret_kurt_48h,255
atr_24,246
oi_change_24h,236
ret_skew_48h,232
close_ma24_ratio,230
taker_cvd_24h,226
bb_width_20,223
ret_std_24h,211
ret_mean_168h,206
macd_diff,204
bb_high_48,197
global_long_pct,197
mom_7d,192
ret_skew_168h_cs,189
ret_168h,184
ret_kurt_24h,166
btc_ret_24h,162
mom_3d,162
close_ma72_ratio,161
gk_vol_12h,157
atr_14,157
ret_72h,156
vwap_dev_48h,152
ret_vs_btc_24h,151
range_expansion_12h,149
rsi_24,140
ret_sharpe_48h,140
top_ls_change_24h,140
close_open_ratio,136
btc_ret_12h,134
btc_ret_1h,134
news_sentiment_24h,133
ret_2h,132
funding_rate,132
close_ma48_ratio,127
ret_skew_24h,126
ret_48h,124
oi_change_12h,123
regime_composite,123
bb_low_48,120
obv_ma_ratio_48,118
adx_neg,116
eth_ret_1h,115
ret_mean_48h,114
btc_ret_48h,114
bb_pband_48,114
ret_24h,112
low_close_ratio,111
ret_mean_24h,110
taker_cvd_12h,110
vol_ma720_ratio,105
eth_ret_24h,102
mom_12h_zscore,100
news_count_1h,100
ret_6h,99
adx_pos,96
btc_ret_4h,93
oi_change_4h,93
ret_skew_48h_cs,93
eth_ret_12h,93
top_ls_change_12h,89
reversal_4v24,88
vol_mom_24h,86
regime_breadth_bullish,81
high_close_ratio,80
rsi_14,79
bb_low_20,78
oi_change_12h_cs,78
eth_btc_ret_24h,77
vwap_dev_24h,73
vwap_dev_12h,69
market_funding_std,68
eth_ret_4h,68
obv_ma_ratio_24,67
vwap_12h_dist,66
vol_ma24_ratio,66
ret_12h_cs_rank,63
ret_1h,59
ret_4h,57
oi_ret_interaction_12h,55
ret_12h,53
rsi_12,51
is_asian_session,51
mfi_14,45
bb_pband_20,45
funding_vs_market,44
lower_shadow,42
obv_ma_ratio_12,37
dispersion_regime,37
stoch_d,36
btc_regime_24,35
rsi_6,34
regime_low_vol,33
vol_ma336_ratio,31
vol_ma168_ratio,19
buy_pressure,19
cci_14,14
