feature,importance
btc_vol_24h,612
close_ma720_ratio,546
fng_ma30,465
close_ma336_ratio,460
news_count_7d,453
breadth_pct_positive,436
fng_momentum,430
oi_value_usd,410
gk_vol_168h,397
ret_sharpe_168h,387
fng_ma7,378
btc_beta_168h,342
ret_sharpe_24h,340
funding_rate_binance,338
vol_12h_cs_rank,334
gk_vol_48h,288
market_dispersion,286
atr_48,282
ret_std_168h,277
vol_trend_12_48,271
global_ls_ratio,264
top_long_pct,261
vol_price_corr_48h,261
macd_signal,261
btc_beta_48h,257
close_ma6_ratio,255
close_ma12_ratio,254
gk_vol_24h,244
cci_48,243
bb_high_20,241
vol_price_corr_168h,236
fng_value,230
market_news_count_24h,229
top_ls_ratio,225
ret_skew_168h,225
news_count_24h,219
reversal_24v168,216
ret_kurt_168h,213
mom_accel_12h,209
vol_price_corr_24h,207
regime_btc_dd_720,205
bb_width_48,198
btc_ret_168h,196
adx,195
global_long_pct,190
macd,186
oi_change_12h_cs,185
news_sentiment_7d,176
close_ma168_ratio,167
ret_std_48h,163
bb_width_20,159
ret_kurt_48h,158
mom_12h_zscore,151
market_news_sentiment_24h,151
reversal_12v48,149
close_ma24_ratio,147
ls_divergence,137
atr_24,132
oi_zscore_7d,131
ret_skew_48h,129
bb_high_48,125
market_funding_std,125
ret_mean_168h,122
btc_ret_1h,122
btc_ret_12h,119
range_expansion_12h,119
ret_2h,118
eth_ret_1h,117
top_ls_zscore,116
close_open_ratio,115
btc_ret_24h,114
btc_ret_48h,111
ret_skew_168h_cs,111
ret_std_24h,110
mom_7d,109
ret_vs_btc_24h,109
close_ma72_ratio,106
ret_168h,105
low_close_ratio,104
news_sentiment_momentum,103
eth_ret_24h,102
macd_diff,100
rsi_24,96
adx_neg,95
news_volume_zscore,95
taker_cvd_24h,95
regime_composite,93
close_ma48_ratio,92
ret_sharpe_48h,92
mom_3d,90
eth_ret_12h,86
bb_pband_48,85
vol_ma720_ratio,83
vol_mom_24h,80
ret_72h,79
eth_btc_ret_24h,78
ret_24h,78
atr_14,76
top_ls_change_24h,74
btc_ret_4h,73
ret_kurt_24h,73
oi_change_24h,73
eth_ret_4h,73
vwap_12h_dist,72
regime_breadth_bullish,72
vwap_dev_48h,72
reversal_4v24,70
ret_6h,69
obv_ma_ratio_48,68
news_count_1h,68
taker_cvd_12h,65
gk_vol_12h,65
ret_mean_48h,60
ret_mean_24h,60
rsi_14,59
ret_1h,59
long_short_ratio,58
high_close_ratio,56
ret_skew_48h_cs,56
ret_48h,54
ret_skew_24h,54
bb_low_48,52
news_sentiment_24h,49
oi_change_12h,49
vol_ma24_ratio,49
adx_pos,48
rsi_12,46
top_ls_change_12h,45
ret_12h_cs_rank,43
bb_low_20,43
ret_4h,40
oi_ret_interaction_12h,38
ret_12h,37
bb_pband_20,36
rsi_6,34
vol_ma72_ratio,34
vwap_dev_12h,33
btc_regime_24,33
is_asian_session,31
news_sentiment_1h,30
obv_ma_ratio_24,28
vol_ma336_ratio,26
vol_mom_48h,26
regime_low_vol,26
cross_coin_dispersion,25
vwap_dev_24h,22
vol_ma48_ratio,22
mfi_14,19
obv_ma_ratio_12,19
lower_shadow,17
vol_ma168_ratio,17
oi_ret_interaction,17
