feature,importance
close_ma6_ratio,48
close_ma720_ratio,46
fng_ma7,41
global_ls_ratio,35
macd,32
fng_value,30
ret_sharpe_168h,29
close_ma168_ratio,23
btc_vol_24h,23
fng_ma30,23
news_count_7d,22
ls_divergence,22
rsi_24,20
vol_12h_cs_rank,19
btc_ret_168h,19
btc_beta_168h,19
close_ma336_ratio,18
high_close_ratio,17
bb_width_20,17
gk_vol_48h,15
macd_signal,15
close_ma48_ratio,15
reversal_12v48,15
news_volume_zscore,15
breadth_pct_positive,15
rsi_14,14
market_dispersion,14
global_long_pct,14
close_ma12_ratio,13
ret_2h,13
top_ls_ratio,13
fng_momentum,13
vol_price_corr_48h,13
bb_high_20,13
top_long_pct,13
news_count_24h,13
funding_rate_binance,13
oi_value_usd,12
bb_width_48,12
cci_48,12
market_news_count_24h,11
eth_ret_12h,11
mom_accel_12h,11
news_sentiment_7d,11
macd_diff,11
ret_std_168h,11
eth_ret_24h,11
ret_48h,11
ret_mean_48h,10
ret_kurt_48h,10
ret_sharpe_48h,10
ret_kurt_168h,10
bb_high_48,10
atr_24,10
gk_vol_24h,10
ret_std_48h,10
ret_sharpe_24h,9
btc_ret_12h,9
ret_4h,9
vol_price_corr_168h,9
mom_12h_zscore,8
regime_btc_dd_720,8
rsi_12,8
ret_skew_48h,8
atr_14,7
vol_trend_12_48,7
mom_7d,7
gk_vol_168h,7
bb_pband_48,7
close_open_ratio,7
ret_skew_168h_cs,7
reversal_24v168,7
stoch_d,7
vwap_dev_48h,6
btc_ret_24h,6
close_ma24_ratio,6
close_ma72_ratio,6
ret_kurt_24h,6
top_ls_change_24h,5
mom_3d,5
bb_low_48,5
ret_skew_168h,5
taker_cvd_24h,5
ret_skew_48h_cs,5
vol_price_corr_24h,5
obv_ma_ratio_24,5
eth_btc_ret_24h,5
ret_1h,4
eth_ret_1h,4
ret_skew_24h,4
gk_vol_12h,4
adx,4
obv_ma_ratio_12,4
btc_beta_48h,4
top_ls_zscore,4
oi_change_24h,4
news_sentiment_momentum,4
mfi_14,4
funding_rate,4
ret_168h,3
ret_72h,3
btc_ret_4h,3
btc_ret_1h,3
vol_ma168_ratio,3
vol_mom_24h,3
taker_cvd_12h,3
market_news_sentiment_24h,3
ret_12h_cs_rank,3
oi_change_12h,3
news_sentiment_24h,3
ret_std_24h,3
vol_ma24_ratio,2
regime_low_vol,2
news_count_1h,2
oi_ret_interaction_12h,2
oi_change_4h,2
oi_change_12h_cs,2
oi_zscore_7d,2
obv_ma_ratio_48,2
eth_ret_4h,2
bb_low_20,2
adx_neg,2
regime_composite,2
ret_mean_168h,2
regime_breadth_bullish,2
btc_regime_24,2
vol_ma336_ratio,1
ret_24h,1
range_expansion_12h,1
is_asian_session,1
market_funding_std,1
reversal_4v24,1
vwap_dev_12h,1
vol_ma720_ratio,1
ret_mean_24h,1
btc_ret_48h,1
dispersion_regime,1
bb_pband_20,1
atr_48,1
ret_vs_btc_24h,1
low_close_ratio,0
lower_shadow,0
ret_6h,0
ret_12h,0
cci_14,0
adx_pos,0
buy_pressure,0
rsi_6,0
vwap_dev_24h,0
vwap_12h_dist,0
funding_vs_market,0
top_ls_change_12h,0
