feature,importance
btc_vol_24h,591
close_ma720_ratio,485
fng_ma30,482
close_ma336_ratio,437
news_count_7d,427
btc_beta_168h,413
oi_value_usd,410
gk_vol_168h,402
breadth_pct_positive,370
ret_sharpe_168h,368
funding_rate_binance,364
vol_12h_cs_rank,350
global_ls_ratio,333
fng_ma7,324
fng_momentum,319
ret_std_168h,296
macd_signal,286
regime_btc_dd_720,282
close_ma12_ratio,275
close_ma6_ratio,269
cci_48,268
vol_price_corr_48h,265
ret_sharpe_24h,262
fng_value,253
market_dispersion,251
top_long_pct,251
gk_vol_48h,244
mom_accel_12h,240
vol_price_corr_168h,240
atr_48,236
bb_high_20,231
news_count_24h,229
vol_trend_12_48,229
gk_vol_24h,228
top_ls_ratio,224
btc_beta_48h,221
market_news_count_24h,221
oi_change_12h_cs,214
ret_skew_168h,202
ret_kurt_168h,197
macd,195
vol_price_corr_24h,194
btc_ret_168h,185
close_ma168_ratio,184
news_sentiment_7d,182
adx,181
reversal_12v48,179
bb_width_48,172
reversal_24v168,171
ret_kurt_48h,165
ret_std_48h,163
news_sentiment_momentum,154
mom_12h_zscore,149
range_expansion_12h,149
close_ma24_ratio,147
btc_ret_1h,146
global_long_pct,143
bb_width_20,143
market_funding_std,142
macd_diff,133
top_ls_zscore,133
bb_high_48,132
btc_ret_12h,127
oi_zscore_7d,123
low_close_ratio,120
regime_composite,119
ls_divergence,119
ret_2h,114
btc_ret_24h,113
adx_neg,112
ret_skew_48h,109
mom_7d,108
market_news_sentiment_24h,108
eth_ret_24h,107
ret_mean_168h,107
ret_sharpe_48h,104
btc_ret_48h,104
eth_ret_1h,103
bb_pband_48,103
ret_std_24h,102
vol_ma720_ratio,102
news_volume_zscore,100
ret_vs_btc_24h,98
ret_skew_168h_cs,98
close_ma72_ratio,97
ret_168h,94
atr_24,94
reversal_4v24,93
close_open_ratio,93
ret_72h,92
rsi_24,92
close_ma48_ratio,89
vwap_dev_48h,87
taker_cvd_24h,85
eth_ret_12h,84
mom_3d,83
ret_mean_24h,82
btc_ret_4h,82
ret_kurt_24h,81
ret_skew_48h_cs,79
vol_mom_24h,79
news_sentiment_24h,77
ret_24h,76
atr_14,76
gk_vol_12h,76
oi_change_24h,75
news_count_1h,74
ret_1h,73
bb_low_48,72
ret_48h,67
ret_6h,67
top_ls_change_24h,64
long_short_ratio,63
obv_ma_ratio_48,62
oi_ret_interaction_12h,59
vwap_dev_12h,56
ret_mean_48h,56
eth_btc_ret_24h,54
eth_ret_4h,53
stoch_d,52
rsi_14,52
vwap_12h_dist,52
oi_change_12h,50
regime_breadth_bullish,49
ret_skew_24h,47
bb_low_20,46
high_close_ratio,44
taker_cvd_12h,41
vol_ma24_ratio,41
ret_12h,40
adx_pos,39
rsi_12,38
bb_pband_20,37
ret_4h,36
vol_ma72_ratio,35
top_ls_change_12h,35
obv_ma_ratio_24,34
vwap_dev_24h,34
cross_coin_dispersion,33
ret_12h_cs_rank,33
oi_ret_interaction,29
is_asian_session,28
vol_ma336_ratio,26
vol_ma48_ratio,24
mfi_14,24
buy_pressure,23
dispersion_regime,22
news_sentiment_1h,22
vol_mom_48h,19
rsi_6,18
regime_btc_ma720_slope,10
