feature,importance
btc_vol_24h,734
close_ma720_ratio,581
fng_ma30,564
close_ma336_ratio,535
news_count_7d,526
oi_value_usd,517
gk_vol_168h,463
ret_sharpe_168h,457
vol_12h_cs_rank,450
breadth_pct_positive,450
fng_ma7,444
funding_rate_binance,444
btc_beta_168h,435
fng_momentum,434
global_ls_ratio,390
ret_std_168h,374
regime_btc_dd_720,343
macd_signal,341
gk_vol_48h,333
top_long_pct,319
vol_price_corr_168h,314
news_count_24h,313
fng_value,313
btc_beta_48h,308
cci_48,304
ret_sharpe_24h,304
vol_price_corr_48h,294
vol_trend_12_48,290
close_ma12_ratio,286
market_dispersion,275
top_ls_ratio,275
gk_vol_24h,269
bb_high_20,265
ret_kurt_168h,265
mom_accel_12h,264
close_ma6_ratio,262
ret_skew_168h,261
adx,259
atr_48,249
oi_change_12h_cs,249
vol_price_corr_24h,239
macd,231
news_sentiment_7d,228
btc_ret_168h,227
close_ma168_ratio,226
ret_std_48h,210
global_long_pct,196
news_sentiment_momentum,195
reversal_24v168,193
ret_kurt_48h,192
bb_width_48,189
btc_ret_1h,179
bb_high_48,177
macd_diff,175
oi_zscore_7d,171
bb_width_20,170
top_ls_zscore,168
ret_skew_168h_cs,168
mom_12h_zscore,164
range_expansion_12h,163
atr_24,163
ls_divergence,158
reversal_12v48,154
close_ma24_ratio,150
ret_skew_48h,146
btc_ret_12h,143
news_volume_zscore,141
mom_7d,141
ret_vs_btc_24h,138
ret_sharpe_48h,137
ret_std_24h,137
ret_168h,132
ret_mean_168h,132
ret_kurt_24h,131
close_ma72_ratio,131
ret_72h,130
regime_composite,128
market_funding_std,126
btc_ret_48h,125
ret_2h,125
bb_pband_48,125
low_close_ratio,123
adx_neg,121
btc_ret_24h,120
eth_ret_1h,118
vol_ma720_ratio,115
close_open_ratio,112
rsi_24,111
oi_change_24h,108
news_sentiment_24h,107
top_ls_change_24h,106
news_count_1h,105
taker_cvd_24h,102
eth_ret_24h,102
close_ma48_ratio,101
mom_3d,97
ret_mean_48h,97
vol_mom_24h,94
reversal_4v24,93
atr_14,91
vwap_dev_48h,90
ret_mean_24h,89
obv_ma_ratio_48,88
btc_ret_4h,86
gk_vol_12h,84
bb_low_48,81
eth_ret_12h,80
taker_cvd_12h,79
oi_change_12h,75
top_ls_change_12h,75
ret_48h,73
ret_24h,73
ret_6h,68
ret_skew_48h_cs,66
long_short_ratio,65
ret_1h,64
eth_btc_ret_24h,62
vwap_12h_dist,59
rsi_14,59
eth_ret_4h,58
ret_skew_24h,57
vwap_dev_12h,57
rsi_12,55
stoch_d,53
bb_low_20,53
ret_12h,52
oi_ret_interaction_12h,51
ret_4h,48
adx_pos,48
vol_ma24_ratio,48
regime_breadth_bullish,47
obv_ma_ratio_24,47
vol_ma72_ratio,42
high_close_ratio,41
cross_coin_dispersion,40
ret_12h_cs_rank,40
bb_pband_20,39
is_asian_session,38
vwap_dev_24h,36
mfi_14,34
oi_change_4h,31
buy_pressure,31
news_sentiment_1h,30
vol_mom_48h,28
oi_ret_interaction,27
regime_low_vol,26
rsi_6,24
btc_regime_24,22
dispersion_regime,22
vol_ma48_ratio,19
