feature,importance
btc_vol_24h,704
close_ma720_ratio,557
oi_value_usd,532
fng_ma30,520
close_ma336_ratio,517
funding_rate_binance,444
ret_sharpe_168h,442
vol_12h_cs_rank,437
fng_momentum,422
breadth_pct_positive,418
gk_vol_168h,408
fng_ma7,401
btc_beta_168h,396
global_ls_ratio,354
ret_std_168h,347
macd_signal,309
ret_sharpe_24h,293
top_long_pct,292
ret_skew_168h,289
regime_btc_dd_720,288
gk_vol_48h,283
vol_trend_12_48,282
fng_value,278
cci_48,277
market_news_count_24h,267
market_dispersion,267
top_ls_ratio,265
close_ma12_ratio,264
vol_price_corr_168h,264
btc_beta_48h,262
vol_price_corr_48h,254
gk_vol_24h,252
mom_accel_12h,249
bb_high_20,245
atr_48,243
oi_change_12h_cs,241
close_ma6_ratio,241
adx,221
ret_kurt_168h,218
ret_kurt_48h,213
ret_std_48h,213
bb_width_48,211
macd,209
vol_price_corr_24h,208
btc_ret_168h,202
close_ma168_ratio,195
reversal_12v48,194
reversal_24v168,192
mom_12h_zscore,186
global_long_pct,180
top_ls_zscore,172
range_expansion_12h,166
btc_ret_1h,164
bb_high_48,161
bb_width_20,160
close_ma24_ratio,157
regime_composite,152
atr_24,150
ret_2h,150
btc_ret_12h,148
ret_skew_48h,144
macd_diff,144
oi_zscore_7d,141
ls_divergence,141
market_news_sentiment_24h,137
market_funding_std,132
ret_168h,128
eth_ret_1h,126
low_close_ratio,125
ret_std_24h,125
btc_ret_48h,124
taker_cvd_24h,120
btc_ret_24h,119
ret_skew_168h_cs,119
ret_mean_168h,118
eth_ret_24h,118
adx_neg,118
bb_pband_48,115
mom_7d,114
ret_sharpe_48h,112
close_ma72_ratio,112
ret_72h,109
mom_3d,107
atr_14,106
close_open_ratio,105
ret_kurt_24h,105
vol_ma720_ratio,103
rsi_24,103
obv_ma_ratio_48,100
ret_24h,99
close_ma48_ratio,96
bb_low_48,94
ret_vs_btc_24h,94
btc_ret_4h,93
vol_mom_24h,91
reversal_4v24,91
vwap_dev_48h,89
ret_skew_48h_cs,87
gk_vol_12h,81
ret_mean_48h,80
ret_1h,80
taker_cvd_12h,79
ret_6h,77
ret_48h,75
ret_mean_24h,73
vwap_12h_dist,72
rsi_14,71
long_short_ratio,71
eth_ret_12h,68
top_ls_change_24h,67
vwap_dev_12h,64
oi_change_24h,62
oi_change_12h,60
ret_skew_24h,58
eth_btc_ret_24h,58
top_ls_change_12h,57
oi_ret_interaction_12h,55
eth_ret_4h,53
ret_4h,47
adx_pos,47
vol_ma24_ratio,47
high_close_ratio,46
regime_breadth_bullish,43
rsi_12,43
bb_low_20,41
cross_coin_dispersion,40
vol_ma72_ratio,39
stoch_d,39
vwap_dev_24h,38
bb_pband_20,37
ret_12h,34
rsi_6,33
ret_12h_cs_rank,33
vol_mom_48h,33
dispersion_regime,31
is_asian_session,30
vol_ma48_ratio,30
obv_ma_ratio_24,30
oi_change_4h,30
lower_shadow,26
btc_regime_24,25
regime_low_vol,24
vol_ma336_ratio,23
obv_ma_ratio_12,16
vol_ma168_ratio,14
