feature,importance
btc_vol_24h,676
close_ma720_ratio,505
news_count_7d,497
close_ma336_ratio,467
fng_ma30,456
fng_ma7,419
breadth_pct_positive,408
vol_12h_cs_rank,405
ret_sharpe_168h,404
btc_beta_168h,386
gk_vol_168h,371
ret_std_168h,334
fng_momentum,318
market_dispersion,310
fng_value,302
macd_signal,302
close_ma12_ratio,287
regime_btc_dd_720,286
cci_48,285
vol_price_corr_48h,283
gk_vol_48h,277
close_ma6_ratio,273
ret_sharpe_24h,264
btc_beta_48h,263
news_count_24h,257
market_news_count_24h,256
atr_48,249
mom_accel_12h,244
vol_trend_12_48,243
gk_vol_24h,237
bb_high_20,229
vol_price_corr_24h,219
btc_ret_168h,215
macd,213
vol_price_corr_168h,207
news_sentiment_7d,205
ret_skew_168h,201
ret_kurt_168h,197
adx,193
btc_ret_1h,186
range_expansion_12h,184
bb_width_48,181
reversal_24v168,180
ret_kurt_48h,174
close_ma168_ratio,174
bb_width_20,171
ret_std_48h,166
close_ma24_ratio,165
bb_high_48,165
reversal_12v48,161
btc_ret_12h,157
mom_12h_zscore,157
market_funding_std,154
macd_diff,152
news_sentiment_momentum,145
ret_skew_48h,136
eth_ret_1h,135
btc_ret_48h,135
regime_composite,131
mom_7d,127
news_volume_zscore,125
ret_168h,125
ret_2h,122
ret_std_24h,122
eth_ret_24h,121
market_news_sentiment_24h,119
btc_ret_24h,119
ret_mean_168h,119
low_close_ratio,117
atr_24,117
rsi_24,114
close_ma72_ratio,113
bb_pband_48,110
ret_sharpe_48h,110
ret_skew_168h_cs,108
news_count_1h,106
ret_vs_btc_24h,101
btc_ret_4h,97
close_open_ratio,97
adx_neg,96
close_ma48_ratio,95
vol_ma720_ratio,94
ret_72h,92
reversal_4v24,91
mom_3d,88
atr_14,87
vol_mom_24h,87
eth_btc_ret_24h,87
ret_kurt_24h,86
ret_mean_24h,85
vwap_dev_48h,83
ret_24h,83
eth_ret_12h,80
long_short_ratio,79
bb_low_48,77
news_sentiment_24h,76
eth_ret_4h,76
ret_1h,74
ret_48h,70
ret_skew_24h,69
ret_6h,68
ret_mean_48h,68
ret_skew_48h_cs,63
gk_vol_12h,59
rsi_14,57
vwap_dev_12h,55
obv_ma_ratio_48,54
stoch_d,50
regime_breadth_bullish,50
vwap_12h_dist,47
adx_pos,46
cross_coin_dispersion,46
rsi_12,42
ret_4h,40
bb_low_20,40
vol_ma72_ratio,40
bb_pband_20,40
high_close_ratio,38
vol_ma24_ratio,37
vwap_dev_24h,36
news_sentiment_1h,35
vol_ma336_ratio,34
ret_12h,34
ret_12h_cs_rank,33
rsi_6,32
is_asian_session,31
obv_ma_ratio_24,30
buy_pressure,28
vol_mom_48h,25
vol_ma48_ratio,24
regime_low_vol,22
