feature,importance
btc_vol_24h,774
oi_value_usd,702
close_ma720_ratio,660
close_ma336_ratio,586
fng_ma30,560
fng_momentum,534
vol_12h_cs_rank,531
btc_beta_168h,508
ret_sharpe_168h,505
fng_ma7,501
funding_rate_binance,454
gk_vol_168h,446
breadth_pct_positive,437
global_ls_ratio,393
fng_value,392
ret_std_168h,384
macd_signal,384
regime_btc_dd_720,375
top_long_pct,356
btc_beta_48h,342
ret_skew_168h,332
vol_price_corr_168h,328
top_ls_ratio,317
gk_vol_48h,315
market_dispersion,313
cci_48,312
atr_48,306
ret_sharpe_24h,306
vol_trend_12_48,303
vol_price_corr_48h,301
gk_vol_24h,294
adx,284
ret_kurt_168h,284
close_ma12_ratio,280
bb_high_20,269
close_ma6_ratio,267
btc_ret_168h,261
bb_width_48,259
ret_std_48h,256
oi_change_12h_cs,253
mom_accel_12h,251
ret_kurt_48h,247
macd,247
bb_width_20,226
close_ma168_ratio,215
vol_price_corr_24h,215
reversal_24v168,209
ls_divergence,208
range_expansion_12h,204
top_ls_zscore,203
ret_skew_48h,198
global_long_pct,193
mom_12h_zscore,188
bb_high_48,178
close_ma24_ratio,174
btc_ret_24h,168
ret_sharpe_48h,167
reversal_12v48,166
mom_7d,166
oi_zscore_7d,158
ret_mean_168h,158
btc_ret_1h,153
macd_diff,151
ret_168h,149
atr_24,149
ret_std_24h,148
close_ma72_ratio,147
bb_pband_48,146
btc_ret_48h,145
regime_composite,144
btc_ret_12h,143
adx_neg,141
ret_skew_168h_cs,138
market_funding_std,135
mom_3d,135
ret_2h,134
ret_72h,130
vol_ma720_ratio,130
ret_kurt_24h,127
low_close_ratio,126
taker_cvd_24h,124
eth_ret_1h,121
ret_mean_48h,120
close_open_ratio,118
close_ma48_ratio,116
eth_ret_24h,116
reversal_4v24,114
vwap_dev_48h,113
ret_vs_btc_24h,111
rsi_24,106
gk_vol_12h,106
top_ls_change_24h,104
obv_ma_ratio_48,103
ret_mean_24h,102
oi_change_24h,101
vol_mom_24h,99
atr_14,96
eth_ret_12h,95
bb_low_48,92
btc_ret_4h,91
ret_48h,90
ret_24h,87
ret_6h,85
ret_skew_48h_cs,82
ret_skew_24h,81
taker_cvd_12h,80
top_ls_change_12h,78
eth_ret_4h,77
eth_btc_ret_24h,76
oi_ret_interaction_12h,76
vwap_dev_12h,71
stoch_d,70
vwap_12h_dist,69
adx_pos,67
ret_1h,65
long_short_ratio,64
rsi_14,59
oi_change_12h,56
regime_breadth_bullish,55
bb_low_20,55
bb_pband_20,53
rsi_12,53
vwap_dev_24h,52
ret_12h_cs_rank,51
obv_ma_ratio_24,51
vol_ma24_ratio,48
cross_coin_dispersion,47
is_asian_session,43
ret_4h,42
high_close_ratio,41
vol_ma72_ratio,37
ret_12h,35
oi_change_4h,34
obv_ma_ratio_12,34
mfi_14,34
rsi_6,33
vol_mom_48h,32
regime_low_vol,31
vol_ma168_ratio,29
buy_pressure,24
lower_shadow,22
cross_coin_disp_ma24,19
