feature,importance
btc_vol_24h,664
close_ma720_ratio,522
close_ma336_ratio,480
fng_ma30,443
breadth_pct_positive,432
ret_sharpe_168h,412
fng_ma7,388
vol_12h_cs_rank,384
btc_beta_168h,367
fng_momentum,353
gk_vol_168h,348
market_dispersion,329
cci_48,317
macd_signal,308
fng_value,294
close_ma12_ratio,290
ret_std_168h,281
vol_price_corr_48h,266
close_ma6_ratio,257
regime_btc_dd_720,252
vol_trend_12_48,250
ret_sharpe_24h,249
gk_vol_48h,248
btc_ret_168h,234
vol_price_corr_168h,230
gk_vol_24h,229
bb_high_20,229
atr_48,229
btc_beta_48h,218
mom_accel_12h,216
macd,208
ret_skew_168h,202
vol_price_corr_24h,189
adx,181
ret_kurt_168h,180
range_expansion_12h,176
ret_std_48h,176
bb_width_48,164
bb_width_20,162
reversal_12v48,161
mom_12h_zscore,161
reversal_24v168,156
ret_kurt_48h,156
btc_ret_1h,155
btc_ret_12h,150
bb_high_48,149
btc_ret_24h,149
btc_ret_48h,142
market_funding_std,138
close_ma168_ratio,134
macd_diff,129
low_close_ratio,127
mom_7d,126
close_ma24_ratio,124
ret_std_24h,123
regime_composite,121
eth_ret_1h,120
close_ma72_ratio,119
ret_2h,118
bb_pband_48,118
atr_24,116
adx_neg,115
ret_mean_168h,110
ret_skew_48h,110
rsi_24,109
close_ma48_ratio,105
eth_ret_24h,104
close_open_ratio,102
reversal_4v24,98
long_short_ratio,98
btc_ret_4h,96
ret_168h,95
eth_ret_12h,94
ret_skew_168h_cs,93
ret_sharpe_48h,93
ret_72h,90
bb_low_48,88
ret_vs_btc_24h,87
vol_ma720_ratio,87
vol_mom_24h,87
ret_24h,86
vwap_dev_48h,85
ret_mean_24h,84
mom_3d,81
eth_btc_ret_24h,80
obv_ma_ratio_48,80
eth_ret_4h,79
atr_14,78
ret_kurt_24h,75
ret_mean_48h,74
ret_6h,66
ret_1h,60
rsi_14,60
vwap_dev_12h,59
ret_skew_48h_cs,57
ret_48h,56
gk_vol_12h,56
stoch_d,55
vwap_12h_dist,50
bb_low_20,49
high_close_ratio,49
vol_ma24_ratio,48
ret_skew_24h,48
vol_ma72_ratio,47
regime_breadth_bullish,45
rsi_12,44
obv_ma_ratio_24,43
rsi_6,42
ret_12h,41
ret_4h,40
cross_coin_dispersion,40
vwap_dev_24h,37
adx_pos,36
vol_ma336_ratio,36
bb_pband_20,34
ret_12h_cs_rank,32
is_asian_session,31
vol_mom_48h,30
mfi_14,30
btc_regime_24,22
dispersion_regime,19
vol_surge_24h,16
