feature,importance
btc_vol_24h,665
close_ma720_ratio,524
fng_ma30,521
close_ma336_ratio,513
funding_rate_binance,483
oi_value_usd,477
vol_12h_cs_rank,462
news_count_7d,447
fng_ma7,427
ret_sharpe_168h,423
breadth_pct_positive,419
btc_beta_168h,400
gk_vol_168h,394
fng_momentum,352
vol_trend_12_48,341
top_long_pct,332
ret_std_168h,316
global_ls_ratio,313
macd_signal,309
vol_price_corr_168h,301
cci_48,293
close_ma12_ratio,287
ls_divergence,281
market_dispersion,281
gk_vol_48h,278
gk_vol_24h,272
ret_sharpe_24h,270
regime_btc_dd_720,261
close_ma6_ratio,261
btc_beta_48h,261
ret_skew_168h,259
atr_48,258
vol_price_corr_48h,256
mom_accel_12h,252
market_news_count_24h,250
fng_value,246
news_count_24h,241
ret_kurt_168h,239
vol_price_corr_24h,233
top_ls_ratio,232
oi_zscore_7d,217
bb_width_48,212
news_sentiment_7d,211
top_ls_zscore,207
bb_high_20,206
close_ma168_ratio,206
reversal_24v168,203
btc_ret_168h,203
news_volume_zscore,200
macd,198
adx,195
ret_std_48h,194
macd_diff,185
news_sentiment_momentum,177
oi_change_24h,174
taker_cvd_24h,170
close_ma24_ratio,168
ret_kurt_48h,167
bb_width_20,167
reversal_12v48,166
funding_rate,154
btc_ret_1h,153
atr_24,152
market_news_sentiment_24h,146
ret_skew_48h,139
regime_composite,135
mom_7d,130
ret_168h,130
bb_high_48,127
ret_skew_168h_cs,127
ret_2h,124
close_ma72_ratio,123
btc_ret_12h,123
ret_std_24h,119
low_close_ratio,118
global_long_pct,118
adx_neg,117
btc_ret_24h,113
btc_ret_48h,110
close_open_ratio,110
ret_kurt_24h,107
ret_sharpe_48h,107
vwap_dev_48h,104
ret_mean_168h,102
atr_14,101
bb_pband_48,101
vol_ma720_ratio,100
oi_change_12h,100
range_expansion_12h,100
eth_ret_1h,97
rsi_24,95
ret_vs_btc_24h,94
ret_24h,92
mom_3d,91
ret_48h,88
reversal_4v24,88
bb_low_48,86
ret_72h,84
ret_mean_48h,84
news_sentiment_24h,83
ret_mean_24h,83
btc_ret_4h,82
gk_vol_12h,82
eth_ret_24h,82
news_count_1h,80
vol_mom_24h,77
close_ma48_ratio,76
ret_skew_24h,76
taker_cvd_12h,75
top_ls_change_24h,73
eth_ret_12h,72
ret_6h,71
obv_ma_ratio_48,71
oi_change_4h,68
ret_1h,68
vwap_dev_24h,65
vwap_12h_dist,63
ret_skew_48h_cs,63
eth_ret_4h,62
market_funding_std,62
vwap_dev_12h,61
eth_btc_ret_24h,58
regime_breadth_bullish,57
ret_12h_cs_rank,56
oi_change_12h_cs,56
mom_12h_zscore,54
rsi_14,52
ret_12h,48
bb_low_20,48
top_ls_change_12h,47
rsi_12,46
adx_pos,41
vol_ma24_ratio,39
oi_ret_interaction_12h,39
high_close_ratio,39
ret_4h,38
stoch_d,38
vol_surge_24h,36
obv_ma_ratio_24,36
bb_pband_20,30
is_asian_session,25
funding_vs_market,25
rsi_6,24
buy_pressure,23
mfi_14,23
lower_shadow,22
vol_ma336_ratio,20
dispersion_regime,18
btc_regime_24,17
obv_ma_ratio_12,16
news_sentiment_1h,15
oi_change_1h,14
