feature,importance
btc_vol_24h,810
fng_ma30,699
close_ma720_ratio,628
oi_value_usd,579
close_ma336_ratio,567
fng_ma7,536
btc_beta_168h,508
vol_12h_cs_rank,499
fng_momentum,497
funding_rate_binance,474
ret_sharpe_168h,474
gk_vol_168h,446
breadth_pct_positive,411
global_ls_ratio,411
regime_btc_dd_720,406
ret_std_168h,403
close_ma6_ratio,389
fng_value,372
macd_signal,370
ret_skew_168h,352
cci_48,350
top_long_pct,344
top_ls_ratio,341
vol_price_corr_168h,338
close_ma12_ratio,331
gk_vol_48h,329
atr_48,317
ret_kurt_168h,284
vol_price_corr_48h,283
btc_beta_48h,281
market_dispersion,279
gk_vol_24h,267
btc_ret_168h,243
ret_kurt_48h,238
ret_sharpe_24h,232
global_long_pct,227
adx,219
close_ma168_ratio,219
bb_width_48,214
macd,212
oi_change_12h_cs,212
vol_price_corr_24h,209
top_ls_zscore,200
vol_trend_12_48,193
vol_ma720_ratio,189
bb_high_20,188
oi_zscore_7d,186
bb_high_48,182
ret_std_48h,177
close_open_ratio,177
btc_ret_48h,173
mom_accel_12h,171
btc_ret_1h,167
ret_std_24h,164
mom_7d,164
mom_12h_zscore,164
atr_24,163
reversal_24v168,160
ls_divergence,158
ret_mean_168h,153
vol_crush_ratio,152
btc_ret_12h,151
macd_diff,151
close_ma24_ratio,151
regime_composite,148
ret_skew_48h,147
ret_skew_168h_cs,147
bb_width_20,147
mom_3d,142
reversal_12v48,136
ret_168h,134
market_funding_std,134
adx_neg,133
close_ma72_ratio,131
btc_ret_24h,128
ret_72h,126
bb_pband_48,124
eth_ret_1h,119
ret_sharpe_48h,117
ret_mean_48h,116
close_ma48_ratio,112
eth_ret_24h,106
atr_14,106
eth_ret_12h,95
rsi_24,93
low_close_ratio,93
bb_low_48,91
vwpc_12h,87
ret_48h,85
oi_change_24h,83
vwap_dev_48h,83
ret_24h,82
ret_vs_btc_24h,82
eth_btc_ret_24h,80
ret_mean_24h,79
ret_skew_48h_cs,77
long_short_ratio,77
btc_ret_4h,74
eth_ret_4h,69
regime_low_vol,34
btc_regime_24,33
regime_btc_ma720_slope,26
regime_breadth_bullish,26
is_asian_session,24
cross_coin_dispersion,23
btc_regime_168,19
regime_btc_above_ma336,16
btc_regime_72,13
regime_btc_above_ma720,8
regime_btc_not_crashed,7
fng_extreme_fear,3
fng_extreme_greed,1
