feature,importance
market_funding_std,0.0329765
nx_high_vol_positive,0.030443728
gk_vol_24h,0.029728139
market_dispersion,0.025953867
nx_high_vol_negative,0.01896906
eth_ret_1h,0.018676039
long_short_ratio,0.018459707
btc_ret_1h,0.018268337
close_ma12_ratio,0.017924301
btc_ret_12h,0.017853793
close_ma6_ratio,0.016836848
eth_ret_4h,0.013434082
eth_ret_12h,0.012424127
ret_std_48h,0.011958462
nx_high_volume,0.011865539
gk_vol_48h,0.011723729
low_close_ratio,0.011629152
ret_2h,0.010533684
eth_ret_24h,0.010266212
btc_ret_24h,0.0097435
vol_ma24_ratio,0.009269462
btc_ret_4h,0.009083967
regime_breadth_bullish,0.008941636
vol_price_corr_48h,0.00862037
nx_is_burst,0.008087232
close_open_ratio,0.007964242
btc_ret_48h,0.0072250795
breadth_pct_positive,0.007063745
ret_std_168h,0.0069685103
ret_1h,0.0069608223
vol_ma48_ratio,0.006653165
gk_vol_168h,0.0065827984
btc_vol_24h,0.006468561
close_ma336_ratio,0.0063215303
nx_burst_x_sent,0.0060197227
regime_composite,0.0058591887
reversal_4v24,0.0057538683
bb_low_20,0.0057266112
nx_burst_ratio,0.005658324
eth_btc_ret_24h,0.0056285886
mom_accel_12h,0.005620107
btc_ret_168h,0.0053255796
atr_48,0.0052130762
vol_ma72_ratio,0.0052035274
vol_mom_24h,0.0051458855
oi_change_12h_cs,0.0050536036
vol_price_corr_24h,0.0050398377
close_ma48_ratio,0.004915603
vwap_12h_dist,0.004906164
close_ma72_ratio,0.0048658294
nx_sent_ret_product,0.004848274
close_ma24_ratio,0.0047620935
ret_sharpe_168h,0.0047453004
reversal_12v48,0.004721054
funding_rate_binance,0.0046868646
ret_vs_btc_24h,0.0046659517
reversal_24v168,0.004606248
bb_high_48,0.00456762
fng_ma30,0.004526498
bb_high_20,0.004521626
close_ma720_ratio,0.004519511
atr_24,0.004469158
news_count_7d,0.004456053
oi_ret_interaction_12h,0.0044419854
vwap_dev_12h,0.0044363015
cci_48,0.004420194
macd,0.004321345
mom_12h_zscore,0.0043208376
rsi_24,0.0042862324
ret_sharpe_24h,0.0042759106
vol_trend_12_48,0.0042719296
close_ma168_ratio,0.004267667
top_ls_zscore,0.0042464747
macd_signal,0.0042333584
fng_ma7,0.0042304574
ret_6h,0.004188283
oi_value_usd,0.0041878885
bb_low_48,0.0041720434
regime_btc_ma720_slope,0.0041711186
market_news_count_24h,0.004170462
vol_12h_cs_rank,0.004147943
news_count_24h,0.0041463613
nx_news_in_dispersion,0.004143558
nx_count_vs_market,0.004104023
is_asian_session,0.004098538
regime_low_vol,0.0040933397
nx_sent_price_div,0.0040588398
ret_mean_24h,0.0040502516
fng_value,0.0040440997
vol_price_corr_168h,0.004030522
vol_ma720_ratio,0.004008179
nx_sent_price_div_24h,0.003989848
global_ls_ratio,0.0039893477
ret_24h,0.0039868746
top_long_pct,0.0039575784
high_close_ratio,0.0039097415
nx_sent_vs_market,0.0038959126
nx_sent_x_count_7d,0.0038898776
ret_12h_cs_rank,0.003878514
regime_btc_dd_720,0.0038778512
oi_ret_interaction,0.0038768973
fng_momentum,0.0038516512
top_ls_ratio,0.0038490896
btc_beta_168h,0.003829738
news_event,0.003828842
ret_4h,0.0038149967
news_sentiment_momentum,0.003814649
vwap_dev_48h,0.0037983304
vol_ma168_ratio,0.0037631954
rsi_14,0.0037568777
news_sentiment_7d,0.0037493065
bb_pband_20,0.0037395451
news_sentiment_24h,0.0037256514
oi_zscore_7d,0.0037245254
ret_std_24h,0.0037244137
regime_btc_not_crashed,0.0037087898
global_long_pct,0.0037080722
adx_neg,0.0037073658
btc_beta_48h,0.003693363
rsi_12,0.0036907718
mom_7d,0.0036715579
bb_pband_48,0.0036676836
bb_width_20,0.00364154
ret_mean_168h,0.0036405886
bb_width_48,0.0036277752
ret_mean_48h,0.003623349
ret_kurt_48h,0.0036170073
ls_divergence,0.003615901
btc_regime_24,0.0036091583
nx_sent_accel_7d,0.0036053688
nx_sent_x_count_24h,0.0035963869
taker_cvd_24h,0.0035885377
regime_btc_above_ma336,0.0035763048
ret_168h,0.0035697264
ret_skew_168h,0.0035682046
atr_14,0.0035614825
range_expansion_12h,0.0035543446
ret_skew_168h_cs,0.003545233
market_news_sentiment_24h,0.003544716
macd_diff,0.0035337168
rsi_6,0.0035209483
taker_cvd_12h,0.0035058958
top_ls_change_24h,0.003490871
adx,0.0034634417
oi_change_24h,0.0034391526
ret_sharpe_48h,0.003438965
news_volume_zscore,0.003387062
news_count_1h,0.003371352
gk_vol_12h,0.003370392
oi_change_12h,0.0033636705
ret_kurt_168h,0.0033547387
nx_sent_x_fear,0.003320038
ret_48h,0.0032857973
ret_72h,0.0032288088
ret_skew_48h,0.0032202383
ret_12h,0.003219782
top_ls_change_12h,0.0032179048
vol_surge_24h,0.0032014614
fng_extreme_fear,0.0031982271
obv_ma_ratio_48,0.0031961564
ret_skew_48h_cs,0.0031440014
ret_kurt_24h,0.0031345277
nx_sent_x_vol,0.003128027
vwap_dev_24h,0.003102759
nx_sent_mom_align,0.0029937106
news_sentiment_1h,0.002934041
nx_sent_mom_3d,0.002912971
nx_sent_accel,0.002669439
vol_surge_48h,0.0026323178
btc_regime_168,0.0024771357
nx_sent_x_count_1h,0.0019061691
news_coverage_ok,0.0
cross_coin_dispersion,0.0
