feature,importance
gk_vol_24h,0.03202293
market_funding_std,0.031182686
market_dispersion,0.029145647
long_short_ratio,0.024444103
btc_ret_1h,0.023001203
close_ma6_ratio,0.022332676
close_ma12_ratio,0.021814551
btc_ret_12h,0.019839752
eth_ret_1h,0.017736126
eth_ret_12h,0.016206507
gk_vol_48h,0.014787107
low_close_ratio,0.013722683
btc_ret_4h,0.013711254
ret_2h,0.013228325
eth_ret_24h,0.012948671
ret_std_48h,0.012840436
regime_breadth_bullish,0.011646863
vol_ma24_ratio,0.010874681
eth_ret_4h,0.010818665
vol_price_corr_48h,0.010275953
btc_ret_24h,0.010006387
close_open_ratio,0.009458605
ret_1h,0.008878615
btc_ret_48h,0.0085806195
breadth_pct_positive,0.008572935
vol_ma48_ratio,0.00812755
bb_low_20,0.008010731
ret_std_168h,0.007870933
btc_vol_24h,0.007576104
close_ma336_ratio,0.0075702625
gk_vol_168h,0.007541051
regime_composite,0.007341256
eth_btc_ret_24h,0.0071528945
reversal_4v24,0.007019464
atr_48,0.0068684816
close_ma48_ratio,0.0067943903
mom_accel_12h,0.0066683395
btc_ret_168h,0.006346945
vol_mom_24h,0.0063089
vol_ma72_ratio,0.0062506977
vwap_dev_12h,0.0061626895
vol_price_corr_24h,0.006023005
oi_change_12h_cs,0.005980189
bb_high_48,0.005856421
ret_sharpe_168h,0.0058178203
funding_rate_binance,0.005794379
close_ma24_ratio,0.005757447
atr_24,0.0056582573
close_ma720_ratio,0.0056242687
fng_ma30,0.005612384
vol_trend_12_48,0.005562201
close_ma72_ratio,0.005536192
reversal_12v48,0.005520096
macd_signal,0.005455204
ret_sharpe_24h,0.005436131
close_ma168_ratio,0.0054320213
cci_48,0.005392116
fng_ma7,0.0053207087
mom_12h_zscore,0.0053076157
bb_high_20,0.0053075957
reversal_24v168,0.0053059044
vwap_12h_dist,0.005283899
rsi_6,0.005280737
oi_ret_interaction_12h,0.005257084
global_ls_ratio,0.0052087237
top_ls_zscore,0.0052070124
global_long_pct,0.005190688
regime_low_vol,0.005189668
oi_value_usd,0.0051679667
vol_12h_cs_rank,0.005160259
top_long_pct,0.0051507587
fng_value,0.005146717
macd,0.0051253936
bb_low_48,0.0051015527
ret_vs_btc_24h,0.0050786394
vol_price_corr_168h,0.0050530387
rsi_24,0.0050404165
bb_pband_20,0.005019183
regime_btc_dd_720,0.005011684
bb_pband_48,0.004950767
vol_ma720_ratio,0.0049118917
fng_momentum,0.0049007405
is_asian_session,0.004861269
btc_beta_168h,0.0048465924
ret_mean_24h,0.0048448066
btc_regime_24,0.0048391065
high_close_ratio,0.0048108245
top_ls_ratio,0.0047885915
ret_24h,0.0047871587
ret_mean_168h,0.004771447
adx_neg,0.0047607967
oi_zscore_7d,0.0047597745
regime_btc_not_crashed,0.004747979
ret_std_24h,0.0047345264
regime_btc_ma720_slope,0.0047207037
bb_width_48,0.0047169435
ls_divergence,0.004671738
rsi_12,0.004661468
ret_skew_168h_cs,0.0046392623
vol_ma168_ratio,0.0046205074
ret_skew_168h,0.0046197018
vol_ma336_ratio,0.004595961
vwap_dev_48h,0.0045675966
ret_12h_cs_rank,0.0045392294
btc_beta_48h,0.004530117
taker_cvd_24h,0.0045253877
atr_14,0.004520645
range_expansion_12h,0.004504515
ret_kurt_48h,0.0045001293
rsi_14,0.0044818176
ret_mean_48h,0.0044672904
bb_width_20,0.0044654887
ret_4h,0.004460161
ret_168h,0.0044450685
ret_sharpe_48h,0.0044121114
oi_change_24h,0.004403149
taker_cvd_12h,0.0043923394
oi_change_12h,0.0043887515
ret_6h,0.004379593
ret_kurt_168h,0.0043526357
ret_skew_48h_cs,0.004339998
oi_ret_interaction,0.0043135765
top_ls_change_24h,0.0042663566
adx,0.0042544375
gk_vol_12h,0.0042511625
regime_btc_above_ma336,0.0042218673
mom_7d,0.0042142104
ret_72h,0.004142255
macd_diff,0.004135687
obv_ma_ratio_48,0.0041156854
ret_48h,0.004078773
ret_skew_48h,0.0040592956
ret_kurt_24h,0.0040333127
vol_surge_24h,0.0039757756
top_ls_change_12h,0.003894732
btc_regime_72,0.0037964033
dispersion_regime,0.0037772276
vwap_dev_24h,0.003753102
ret_12h,0.0035612395
fng_extreme_fear,0.0034896364
taker_buy_sell_ratio,0.003364597
cross_coin_dispersion,0.0
