feature,importance
btc_vol_24h,779
vol_12h_cs_rank,758
funding_rate_binance,551
btc_ret_12h,509
ret_12h,452
breadth_pct_positive,441
oi_change_24h,342
top_long_pct,316
taker_cvd_24h,302
global_ls_ratio,278
oi_zscore_7d,275
ls_divergence,267
top_ls_ratio,229
top_ls_zscore,178
regime_composite,174
top_ls_change_24h,170
oi_change_1h,151
oi_change_4h,136
oi_change_12h,93
oi_change_12h_cs,86
taker_cvd_12h,85
global_long_pct,85
oi_ret_interaction_12h,73
oi_ret_interaction,66
top_ls_change_12h,45
taker_buy_sell_ratio,17
taker_flow_zscore,14
taker_imbalance,1
taker_imbalance_cs,1
