feature,importance
btc_vol_24h,819
vol_12h_cs_rank,794
funding_rate_binance,574
btc_ret_12h,526
ret_12h,471
breadth_pct_positive,461
oi_change_24h,355
top_long_pct,331
taker_cvd_24h,313
global_ls_ratio,289
oi_zscore_7d,286
ls_divergence,276
top_ls_ratio,247
regime_composite,187
top_ls_zscore,185
top_ls_change_24h,184
oi_change_1h,156
oi_change_4h,138
oi_change_12h,97
oi_change_12h_cs,92
taker_cvd_12h,90
global_long_pct,87
oi_ret_interaction_12h,77
oi_ret_interaction,70
top_ls_change_12h,53
taker_buy_sell_ratio,19
taker_flow_zscore,17
taker_imbalance,1
taker_imbalance_cs,1
