feature,importance
dow_sin,226
hour_cos,215
hour_sin,158
dow_cos,107
gk_vol_168h,67
close_ma720_ratio,63
ret_168h,60
ret_6h,53
gk_vol_48h,53
ret_24h,53
bb_width_48,52
bb_width_20,52
close_ma168_ratio,50
gk_vol_12h,50
close_ma336_ratio,50
cci_48,49
ret_4h,48
ret_2h,48
ret_72h,47
bb_high_48,47
ret_sharpe_24h,46
atr_48,45
ret_std_24h,44
ret_12h,42
gk_vol_24h,42
cci_14,41
atr_14,40
ret_mean_48h,39
bb_low_20,38
vol_price_corr_24h,38
ret_std_168h,36
ret_mean_168h,36
vol_mom_48h,36
ret_48h,35
bb_high_20,35
ret_kurt_24h,35
ret_mean_24h,33
ret_kurt_168h,33
ret_kurt_48h,29
rsi_6,28
bb_pband_20,28
ret_skew_48h,28
bb_low_48,28
close_ma6_ratio,27
vol_mom_12h,27
close_ma72_ratio,27
ret_sharpe_168h,26
bb_pband_48,26
vwap_dev_48h,24
ret_sharpe_48h,24
ret_skew_24h,23
ret_std_48h,23
vol_ma6_ratio,22
vwap_dev_24h,22
ret_skew_168h,22
high_close_ratio,19
macd_signal,19
vol_mom_6h,18
rsi_24,18
atr_24,18
stoch_d,17
vol_ma720_ratio,17
close_ma24_ratio,17
vol_ma12_ratio,17
vol_price_corr_168h,16
adx_neg,16
vol_price_corr_48h,15
stoch_k,15
adx_pos,15
macd_diff,15
vol_mom_24h,15
high_low_ratio,14
adx,14
vwap_dev_12h,14
mfi_14,14
low_close_ratio,13
rsi_14,11
close_ma48_ratio,11
upper_shadow,11
willr_14,11
rsi_12,10
buy_pressure,10
vol_ma336_ratio,10
vol_ma48_ratio,9
lower_shadow,9
macd,9
obv_ma_ratio_24,9
close_open_ratio,8
vol_ma72_ratio,7
body,7
ret_1h,5
vol_ma24_ratio,4
vol_ma168_ratio,4
obv_ma_ratio_48,2
obv_ma_ratio_12,2
close_ma12_ratio,1
