feature,importance
btc_vol_24h,3.9321104430163176
close_ma336_ratio,3.3284104640149654
close_ma720_ratio,3.1038099427261736
close_ma12_ratio,2.928155290911889
breadth_pct_positive,2.752660790857845
close_ma6_ratio,2.7154003775446074
gk_vol_168h,2.5526398878874628
market_funding_std,2.1095757395274153
gk_vol_24h,2.0623632711299673
funding_rate_binance,1.8963150616355338
gk_vol_48h,1.8517638190039427
ret_std_48h,1.7372764791120017
vol_price_corr_48h,1.689060065448892
ret_sharpe_168h,1.6786423724302486
oi_zscore_7d,1.4962504107007075
news_count_7d,1.4936871612871574
oi_value_usd,1.4620047607896671
funding_vs_market,1.3928182374523175
atr_48,1.364023094998274
funding_surprise,1.3349391961063006
btc_ret_4h,1.2564855588156303
ret_sharpe_24h,1.2412559069867615
regime_breadth_bullish,1.215038369099422
btc_beta_168h,1.209148907857377
fng_momentum,1.1891726202218946
vol_trend_12_48,1.1831634926017236
fng_ma30,1.1227047513257131
news_coverage_ok,1.1121290347541164
funding_rate,1.0907819415434443
close_ma24_ratio,1.0881309351585793
market_dispersion,1.074243316692405
ret_std_168h,1.0157086348537796
close_ma168_ratio,0.9953777477317108
mom_accel_12h,0.980322790630498
ls_divergence,0.9172771140971913
top_ls_zscore,0.9151373790236029
eth_ret_1h,0.8972586981547284
macd_signal,0.8962885165041764
btc_ret_1h,0.8867938171108409
low_close_ratio,0.881066381643348
ret_std_24h,0.838172168062734
global_long_pct,0.823923846909536
global_ls_ratio,0.8132761952119374
btc_beta_48h,0.8116340090603253
ret_2h,0.8032425759692576
news_count_24h,0.7822564904443345
cross_coin_dispersion,0.779233762522201
vol_price_corr_24h,0.7789101648816381
bb_low_48,0.7704959873874786
atr_24,0.7628116003707678
news_count_1h,0.746938552708939
vol_12h_cs_rank,0.7386228758385939
oi_change_12h,0.7264730640359365
close_ma72_ratio,0.7186291311626907
eth_ret_4h,0.6551963439061069
atr_14,0.6529009239768809
close_open_ratio,0.651649513986759
gk_vol_12h,0.6398126674249943
oi_change_24h,0.6347467517482127
bb_high_20,0.628476728064104
fng_ma7,0.6197493146571302
range_expansion_12h,0.6038346328385477
vol_ma720_ratio,0.5932272407970334
top_long_pct,0.5880570234323815
reversal_24v168,0.5866880195039591
bb_high_48,0.5495033228197436
market_news_sentiment_24h,0.5481108449900305
vol_price_corr_168h,0.5460166520305
fng_value,0.5448171673201344
mom_12h_zscore,0.5371940378594762
regime_composite,0.5368503355615563
regime_btc_dd_720,0.514528726582299
btc_ret_12h,0.5000827472826109
bb_width_20,0.47592655196252426
cci_48,0.47470151065405264
top_ls_ratio,0.4616650212215377
market_news_count_24h,0.4529390918701503
macd,0.44315949912496466
adx,0.4394733101704771
ret_kurt_168h,0.4374352916554897
adx_neg,0.3987915099356779
long_short_ratio,0.39594296414442465
ret_24h,0.39205124634575006
btc_ret_168h,0.3854453931317078
reversal_12v48,0.3747442476152593
ret_skew_168h_cs,0.33820221120647515
news_sentiment_7d,0.3198472102566515
rsi_24,0.2957212416443856
reversal_4v24,0.29265090325782367
ret_72h,0.29002509975844903
btc_regime_24,0.27648882044450496
ret_mean_24h,0.2706705053293046
close_ma48_ratio,0.2582113043857288
mom_3d,0.2504947249236068
rsi_14,0.2456372126894558
ret_kurt_48h,0.23764138769976298
ret_skew_168h,0.2352506439301718
eth_ret_24h,0.22679695521360713
ret_168h,0.22515784666973784
ret_1h,0.21770067734999546
eth_ret_12h,0.21467222560526386
btc_ret_48h,0.1991972472892009
ret_vs_btc_24h,0.193370494553957
ret_6h,0.1898806131702218
btc_ret_24h,0.1795161764868523
eth_btc_ret_24h,0.17687167020088
ret_mean_168h,0.1694055003648793
regime_low_vol,0.16683261870074256
regime_btc_not_crashed,0.1576181046985371
regime_btc_above_ma336,0.15260042992570927
is_asian_session,0.1519135403128382
bb_pband_48,0.14926603948807024
bb_width_48,0.14234583387083644
taker_cvd_24h,0.1335741175357645
news_volume_zscore,0.12708610286057007
ret_4h,0.1225428638870782
vol_mom_24h,0.11857159849394075
bb_low_20,0.11824307311934404
news_event,0.10563326482254415
news_sentiment_momentum,0.10120443749034229
vol_ma24_ratio,0.09851170142017557
oi_change_12h_cs,0.09799178362027096
vwap_dev_48h,0.09532200536174443
vol_surge_24h,0.09502111289342567
top_ls_change_24h,0.0907755803192606
vol_ma72_ratio,0.08323682858829047
mom_7d,0.0747285734612837
rsi_12,0.06924334616239267
taker_cvd_12h,0.06817295024916314
vol_ma336_ratio,0.06525959098963155
fng_extreme_greed,0.06401544180306
oi_change_4h,0.06374493398061304
regime_btc_ma720_slope,0.05874979827705208
vwap_dev_12h,0.05846597622985899
ret_sharpe_48h,0.05520318213493151
btc_regime_168,0.05493030830931532
ret_mean_48h,0.053423841574018215
buy_pressure,0.05259756460417235
high_close_ratio,0.050112227242807145
vol_ma168_ratio,0.0485593000446232
vwap_12h_dist,0.046563797055801624
regime_btc_above_ma720,0.041340376246297286
bb_pband_20,0.04068809948457884
ret_skew_48h,0.03592323077330409
ret_kurt_24h,0.03374161815283305
news_sentiment_1h,0.03310363728869839
rsi_6,0.03136362845770393
ret_48h,0.02657505159114055
top_ls_change_12h,0.022734206521712014
ret_skew_48h_cs,0.02019517035399617
ret_12h,0.011130600601144203
vol_surge_48h,0.0
