feature,importance
btc_vol_24h,2594
vol_12h_cs_rank,2311
funding_rate_binance,1830
top_ls_ratio,1465
ls_divergence,1317
breadth_pct_positive,1251
ret_12h,1217
global_ls_ratio,1181
btc_ret_12h,1169
taker_cvd_24h,1160
oi_zscore_7d,1089
top_long_pct,1065
oi_change_24h,1024
top_ls_zscore,980
regime_composite,911
top_ls_change_24h,734
taker_cvd_12h,475
top_ls_change_12h,459
oi_ret_interaction_12h,458
oi_change_4h,427
oi_change_12h,417
global_long_pct,365
oi_change_12h_cs,343
oi_change_1h,313
oi_ret_interaction,257
taker_flow_zscore,156
taker_buy_sell_ratio,76
taker_imbalance,30
taker_imbalance_cs,28
