feature,importance
btc_vol_24h,587
oi_value_usd,558
close_ma720_ratio,512
close_ma336_ratio,457
breadth_pct_positive,443
btc_beta_168h,418
fng_ma30,409
funding_rate_binance,393
ret_sharpe_168h,361
gk_vol_168h,353
vol_12h_cs_rank,332
fng_momentum,332
ret_sharpe_24h,310
fng_ma7,303
market_dispersion,266
global_ls_ratio,261
vol_price_corr_48h,260
fng_value,249
top_ls_zscore,244
btc_beta_48h,243
close_ma6_ratio,242
ls_divergence,238
macd_signal,228
regime_btc_dd_720,225
top_ls_ratio,225
top_long_pct,222
atr_48,217
close_ma12_ratio,216
ret_std_168h,215
vol_trend_12_48,207
ret_kurt_168h,203
btc_ret_168h,196
gk_vol_48h,194
gk_vol_24h,187
oi_zscore_7d,179
bb_high_20,178
reversal_24v168,177
macd,176
close_ma168_ratio,172
mom_accel_12h,172
adx,170
ret_std_48h,170
ret_skew_168h,170
bb_width_20,166
vol_price_corr_168h,164
cci_48,163
ret_std_24h,159
global_long_pct,159
atr_24,157
close_ma24_ratio,153
vol_price_corr_24h,152
range_expansion_12h,151
funding_rate,147
btc_ret_12h,144
oi_change_24h,144
btc_ret_24h,139
vol_ma720_ratio,136
close_ma72_ratio,135
btc_ret_1h,134
bb_width_48,134
top_ls_change_24h,134
ret_skew_48h,130
oi_change_12h,125
ret_2h,121
vwap_dev_48h,120
low_close_ratio,119
gk_vol_12h,118
reversal_12v48,117
mom_3d,115
atr_14,113
ret_72h,113
bb_high_48,113
ret_kurt_48h,108
eth_ret_24h,107
regime_composite,107
ret_mean_168h,104
eth_ret_1h,100
ret_168h,100
mom_7d,100
close_open_ratio,99
btc_ret_48h,99
ret_vs_btc_24h,94
taker_cvd_24h,92
eth_ret_12h,88
macd_diff,88
reversal_4v24,85
top_ls_change_12h,85
btc_ret_4h,84
ret_kurt_24h,81
rsi_24,79
ret_sharpe_48h,79
adx_neg,76
eth_ret_4h,74
close_ma48_ratio,72
ret_skew_168h_cs,68
ret_mean_24h,66
bb_pband_48,64
market_funding_std,62
oi_change_12h_cs,59
rsi_14,58
bb_low_48,57
mom_12h_zscore,57
ret_48h,56
ret_24h,55
ret_6h,55
high_close_ratio,55
bb_low_20,53
ret_skew_48h_cs,50
regime_breadth_bullish,49
taker_cvd_12h,49
adx_pos,47
eth_btc_ret_24h,44
obv_ma_ratio_48,43
ret_4h,39
oi_ret_interaction_12h,39
vol_mom_24h,37
vwap_12h_dist,37
ret_1h,36
oi_change_4h,36
funding_vs_market,35
ret_mean_48h,34
rsi_12,33
ret_skew_24h,32
vwap_dev_24h,32
vwap_dev_12h,31
stoch_d,31
vol_ma24_ratio,30
ret_12h_cs_rank,28
bb_pband_20,28
btc_regime_24,28
buy_pressure,27
vol_ma168_ratio,24
cross_coin_disp_ma24,23
ret_12h,23
vol_ma72_ratio,23
vol_ma336_ratio,21
rsi_6,21
high_low_ratio,20
dispersion_regime,20
vol_ma48_ratio,17
regime_low_vol,17
mfi_14,15
