feature,importance
gk_vol_24h,0.025539177
bb_low_48,0.0247367
nx_high_vol_positive,0.024710836
funding_rate,0.024061488
ret_std_48h,0.018765625
market_dispersion,0.018564643
close_ma12_ratio,0.018090604
atr_14,0.017682767
low_close_ratio,0.017239464
btc_ret_1h,0.017214376
close_ma6_ratio,0.016858676
eth_ret_4h,0.0151769295
btc_ret_12h,0.015045659
btc_ret_4h,0.013179087
nx_is_burst,0.012819456
eth_ret_12h,0.012114084
ret_2h,0.012035517
btc_ret_24h,0.011706807
eth_ret_1h,0.011513652
close_ma48_ratio,0.010693531
eth_ret_24h,0.010001779
nx_burst_ratio,0.009794932
news_count_1h,0.009545454
close_open_ratio,0.009253752
regime_breadth_bullish,0.008739741
market_funding_std,0.0086439615
nx_high_volume,0.008617183
vol_price_corr_48h,0.00732738
btc_vol_24h,0.007172744
breadth_pct_positive,0.007137835
close_ma336_ratio,0.007058011
ret_vs_btc_24h,0.0069085304
gk_vol_168h,0.006654785
bb_low_20,0.006527683
close_ma72_ratio,0.0063664853
close_ma24_ratio,0.0063112434
ret_std_24h,0.006212752
reversal_4v24,0.0061340267
vol_surge_48h,0.006127221
atr_24,0.0060213394
oi_change_12h,0.005941396
vol_ma72_ratio,0.0059012286
gk_vol_48h,0.0058854385
btc_ret_48h,0.0058564735
nx_high_vol_negative,0.005716097
news_sentiment_1h,0.005698817
ret_mean_24h,0.005647049
btc_ret_168h,0.005480626
atr_48,0.0053991894
eth_btc_ret_24h,0.005327768
vol_ma24_ratio,0.005322886
nx_burst_x_sent,0.00529381
ret_4h,0.0051958505
range_expansion_12h,0.0051452946
mom_accel_12h,0.0051219575
ret_std_168h,0.0050266553
vwap_dev_12h,0.0050253123
nx_sent_price_div,0.004991198
high_low_ratio,0.0049861674
ret_1h,0.004953774
vol_price_corr_24h,0.0048274966
oi_zscore_7d,0.0048079435
close_ma168_ratio,0.004765611
vol_surge_24h,0.004744295
vol_trend_12_48,0.0047144857
close_ma720_ratio,0.00455035
vol_ma720_ratio,0.0044775535
oi_value_usd,0.0044387537
rsi_24,0.004434298
nx_news_in_dispersion,0.0044091
reversal_12v48,0.0043935035
adx_neg,0.004366714
rsi_6,0.004346652
mom_3d,0.0043322593
bb_high_20,0.0043227756
ret_6h,0.0043114317
ls_divergence,0.0042972206
macd,0.0042941896
rsi_14,0.0042727124
reversal_24v168,0.004214674
news_count_24h,0.0041919057
oi_change_24h,0.004182136
vwap_dev_48h,0.0041732355
bb_high_48,0.004144895
ret_sharpe_24h,0.0041383673
fng_extreme_greed,0.0041198046
gk_vol_12h,0.0040847254
news_count_7d,0.00400983
nx_count_vs_market,0.0039930693
market_news_sentiment_24h,0.0039617224
btc_regime_24,0.0039535295
regime_low_vol,0.003947408
macd_signal,0.00393187
ret_72h,0.003927436
funding_rate_binance,0.0039224606
vwap_12h_dist,0.0039002334
ret_sharpe_168h,0.0038813122
nx_sent_mom_align,0.0038208629
top_ls_zscore,0.0037968191
nx_sent_x_count_7d,0.0037955667
nx_sent_vs_market,0.0037747563
fng_ma30,0.0037722567
high_close_ratio,0.003760417
global_ls_ratio,0.0037538323
regime_btc_dd_720,0.003747457
nx_sent_x_count_24h,0.0037402194
fng_ma7,0.0037373109
top_long_pct,0.0037364648
fng_value,0.0037206328
fng_momentum,0.0037150942
vol_12h_cs_rank,0.0037042953
regime_btc_above_ma336,0.003687711
cci_48,0.0036782387
oi_change_12h_cs,0.003664492
top_ls_ratio,0.00366013
bb_width_20,0.0036487414
oi_change_4h,0.0036473235
ret_24h,0.0036436806
taker_cvd_24h,0.0036101844
news_event,0.0036098538
is_asian_session,0.0036052282
vol_ma168_ratio,0.0035916227
news_volume_zscore,0.0035322527
btc_beta_168h,0.0035231067
bb_pband_48,0.0035223663
news_sentiment_7d,0.0035095073
btc_beta_48h,0.0034723978
ret_mean_168h,0.0034667826
vol_price_corr_168h,0.0034428616
market_news_count_24h,0.0034239106
top_ls_change_24h,0.0034173415
regime_composite,0.0033865354
mom_12h_zscore,0.0033854297
global_long_pct,0.0033660254
ret_skew_168h,0.0033276463
ret_sharpe_48h,0.00330483
news_sentiment_momentum,0.0032985047
adx,0.0032919461
vol_ma48_ratio,0.0032725055
news_sentiment_24h,0.0032550946
ret_kurt_48h,0.0032380775
vol_mom_24h,0.0032304171
ret_kurt_168h,0.0031940588
nx_sent_price_div_24h,0.0031922676
bb_width_48,0.0031905358
buy_pressure,0.0031657899
ret_skew_48h,0.0031553463
top_ls_change_12h,0.003154485
nx_sent_x_vol,0.0031127073
cross_coin_disp_ma24,0.0031066632
ret_skew_168h_cs,0.0031028483
ret_168h,0.003095234
nx_sent_x_fear,0.0030751482
mom_7d,0.0030367202
adx_pos,0.00303401
nx_sent_accel_7d,0.0030163787
taker_flow_zscore,0.0029364077
taker_cvd_12h,0.002935668
macd_diff,0.0028734477
vol_ma336_ratio,0.0028610367
ret_mean_48h,0.002860865
nx_sent_ret_product,0.0028411313
ret_12h_cs_rank,0.0028109811
ret_12h,0.0027526873
ret_skew_48h_cs,0.0027394446
vol_mom_48h,0.002690598
rsi_12,0.0026516917
vwap_dev_24h,0.002631978
nx_sent_mom_3d,0.0025939678
nx_sent_accel,0.002580803
fng_extreme_fear,0.002366293
nx_sent_x_count_1h,0.00094120746
funding_vs_market,0.0
