feature,importance
close_ma336_ratio,4.2650801268978045
vol_12h_cs_rank,3.382551677998243
close_ma720_ratio,3.1685722321886476
breadth_pct_positive,3.1655402606966474
gk_vol_24h,3.0605063576091722
fng_momentum,2.8193270922893103
ret_sharpe_168h,2.732587325682099
gk_vol_168h,2.6150921585474967
fng_ma30,2.4524913201784275
ret_std_168h,2.3394932584886274
close_ma12_ratio,2.2148109888405405
btc_beta_168h,2.13360715240021
fng_ma7,2.1118245318179873
btc_vol_24h,2.0059029141894396
atr_14,1.9689331388583204
macd_signal,1.853181812681176
vol_price_corr_168h,1.730417855283021
gk_vol_48h,1.6864093170386578
vol_price_corr_48h,1.6457002513306296
ret_sharpe_24h,1.6029784062872567
atr_48,1.6028318471163947
ret_std_48h,1.541522359937983
vol_trend_12_48,1.5244132706415454
atr_24,1.4564405798226259
mom_accel_12h,1.4456730824771142
regime_breadth_bullish,1.3864312685492872
fng_value,1.3787369983518727
regime_btc_dd_720,1.3500531286675017
vol_price_corr_24h,1.3074081651452605
btc_beta_48h,1.2123735743152246
close_ma6_ratio,1.1593411479268665
close_ma24_ratio,1.1232953501496423
cci_48,1.1125524114357779
reversal_24v168,1.0056412194644873
reversal_12v48,0.93470063853215
close_ma168_ratio,0.8222236587161955
bb_width_20,0.7978515405469062
ret_kurt_168h,0.7950966293076226
adx,0.7647476082241446
ret_skew_168h_cs,0.7550863396279891
ret_skew_168h,0.6721128354925714
bb_high_20,0.6413609843536302
adx_neg,0.6412530368591456
btc_ret_168h,0.6400625384194816
regime_composite,0.5854641969886695
mom_7d,0.5753081036010442
ret_168h,0.5611125345596496
low_close_ratio,0.5536437033136989
macd,0.5529048779187701
vol_ma720_ratio,0.544666661873282
bb_width_48,0.5409111917069023
range_expansion_12h,0.5406441841880649
ret_2h,0.5261368026794282
reversal_4v24,0.518281515643807
is_asian_session,0.5104397045661708
btc_ret_1h,0.5087468203495236
btc_ret_12h,0.49563571872335155
eth_ret_24h,0.4937293162018799
btc_ret_24h,0.4909735730207467
eth_btc_ret_24h,0.4839431307076517
long_short_ratio,0.4665580152419307
ret_skew_24h,0.4634840751400139
ret_vs_btc_24h,0.45084625253069616
ret_std_24h,0.44439473288098386
funding_vs_market,0.43901525238315764
funding_rate,0.4369636426640031
market_dispersion,0.4288564201824093
ret_mean_168h,0.4237017945192506
market_funding_std,0.41955602869296765
ret_kurt_48h,0.4062807219151179
ret_mean_24h,0.3998118725669587
close_ma48_ratio,0.3927151959808338
eth_ret_12h,0.3880044518384381
cross_coin_dispersion,0.3830771189232719
gk_vol_12h,0.38106881328463016
btc_ret_48h,0.38079935541914983
eth_ret_1h,0.3777197759558279
close_ma72_ratio,0.36624368714418315
ret_1h,0.3627572041263325
ret_24h,0.34364363016892274
ret_kurt_24h,0.330422625991782
bb_pband_48,0.31357158956461667
ret_4h,0.3068681286549803
eth_ret_4h,0.2940540407583429
vol_ma24_ratio,0.2927445217177435
bb_high_48,0.28992625715865594
bb_low_20,0.28774671817701747
ret_skew_48h,0.2872470009600499
btc_regime_24,0.28466981046048057
btc_ret_4h,0.2820792535761346
vol_surge_24h,0.2819739114244965
bb_low_48,0.2804452141822102
close_open_ratio,0.2801221664179846
mom_3d,0.24395803314898973
ret_skew_48h_cs,0.23001666927998646
obv_ma_ratio_12,0.2250528488596869
ret_6h,0.2224152009734154
ret_48h,0.2180332200814202
regime_btc_ma720_slope,0.20660196767486633
obv_ma_ratio_24,0.20397124356754032
mfi_14,0.20392619259740494
ret_mean_48h,0.20386852242907977
adx_pos,0.19303544741018452
mom_12h_zscore,0.18795261751746264
macd_diff,0.18198072230218154
regime_btc_not_crashed,0.18137145346294015
rsi_24,0.16850727785319625
ret_12h,0.16190612220807807
cross_coin_disp_ma24,0.14965096644073045
ret_72h,0.14348364756160606
vwap_dev_24h,0.14174145610761538
ret_12h_cs_rank,0.11642572331092177
regime_btc_above_ma336,0.1132084580432635
cci_14,0.10878129210154291
vol_ma336_ratio,0.10440484636020775
vol_mom_24h,0.1042675391013964
bb_pband_20,0.10407415160840851
ret_sharpe_48h,0.09259751909974395
obv_ma_ratio_48,0.0924759708812058
regime_btc_above_ma720,0.0815446054765252
regime_low_vol,0.07165866021912244
rsi_14,0.06695791428995117
