symbol,side,gross_contribution,mean_fwd_ret,appearances,new_entries
XTZ/USDT,short,-0.06371898596880482,0.017183715562670513,22,6
UNI/USDT,short,-0.05198633830866207,0.017027995321100716,22,8
OP/USDT,short,-0.05139792484017324,0.005949567417527518,54,11
DOGE/USDT,short,-0.027950185224702502,0.01210860365466376,15,2
XRP/USDT,long,-0.02771459217102296,-0.004208816001536277,74,10
ADA/USDT,long,-0.022293628167725867,-0.004861656441269532,58,12
MANA/USDT,short,-0.020298347006898438,0.01028916202483803,14,5
AAVE/USDT,short,-0.019620174182463142,0.005752887022744267,24,8
SAND/USDT,long,-0.018808419577921585,-0.008547094021970991,27,8
APT/USDT,long,-0.017124387803702193,-0.004769520357529306,44,8
RUNE/USDT,short,-0.014619892478386196,0.00988882121242328,8,4
RUNE/USDT,long,-0.013659304642611156,-0.0097095884352153,16,5
LTC/USDT,short,-0.013551308178936978,0.02710261635787396,3,2
EGLD/USDT,long,-0.012951198339185257,-0.005405409199653562,30,10
FLOW/USDT,long,-0.01138209160430533,-0.006111579066562133,22,6
SNX/USDT,long,-0.009152924775926333,-0.015793503188972626,7,4
LINK/USDT,short,-0.006893132100838555,0.0024918597932359968,16,3
XTZ/USDT,long,-0.005727509777578475,-0.002114021466202477,39,10
BTC/USDT,long,-0.004580972362237548,-0.0004920856158855876,82,13
MANA/USDT,long,-0.0045097123204576916,-0.0027547454964530578,23,8
CRV/USDT,long,-0.0043894651778569604,-0.017557860711427842,3,2
ALGO/USDT,long,-0.0029764776636301946,-0.004582393787668264,9,2
ETH/USDT,short,-0.002919122726937269,0.02018782933535146,1,1
XRP/USDT,short,-0.0022376062937340562,0.0013581851910783316,10,2
FIL/USDT,long,-0.002168901404099652,-0.005205363369839166,5,3
OP/USDT,long,-0.0019960079840319334,-0.0239520958083832,1,1
FLOW/USDT,short,-0.0019152054636899568,0.006672721605373799,7,3
ATOM/USDT,long,-0.0010262691069122293,-9.27421314200835e-05,119,8
EGLD/USDT,short,-0.000959600261192961,0.002878800783578883,2,2
CHZ/USDT,long,8.302293229619248e-05,0.00019942737297893643,53,12
FIL/USDT,short,0.00021997360316762987,-0.0013198416190057793,1,1
ALGO/USDT,short,0.0009310734776547718,-0.0011030196001498604,17,7
LDO/USDT,long,0.00106713232440823,0.012805587892898762,1,1
AXS/USDT,long,0.0019763255959627784,0.0008997068769226121,33,7
APT/USDT,short,0.002067575606939301,-0.0013783837379595346,9,2
DOT/USDT,long,0.00313953183087203,0.0012933469258988842,55,11
ETH/USDT,long,0.003916186379231793,0.0021814291458928455,22,8
SAND/USDT,short,0.00446651802867819,-0.00865731622282632,3,1
AAVE/USDT,long,0.004493790234782893,0.010183190454009193,11,4
DOGE/USDT,long,0.004914480870782632,0.00600540176591835,12,7
LINK/USDT,long,0.005054485295698334,0.0037869754432081396,24,5
BNB/USDT,long,0.005234371848724789,0.0010191141429165135,88,9
INJ/USDT,long,0.005281116648750768,0.03168669989250461,2,1
SOL/USDT,short,0.0063958042144112,-0.0024627307419944505,14,3
CRV/USDT,short,0.006930292072050439,-0.00196360056446283,32,9
LTC/USDT,long,0.007955150282436778,0.01001842747791179,12,7
AVAX/USDT,short,0.01232206867115513,-0.011324824247373225,6,2
AVAX/USDT,long,0.014371827777775202,0.00802637341331497,23,6
ARB/USDT,short,0.015701198948884845,-0.0009133118258459558,35,11
CHZ/USDT,short,0.01701206114820595,-0.01020723668892357,10,2
ADA/USDT,short,0.01768243043178944,-0.007944391477862932,13,1
THETA/USDT,short,0.02029685105008272,-0.01353123403338848,9,6
SOL/USDT,long,0.020730479454632564,0.005034515395642078,59,13
NEAR/USDT,short,0.02572313076798293,-0.007281877418907746,18,8
AXS/USDT,short,0.025815101395891073,-0.020120437040834882,8,3
SNX/USDT,short,0.02756093822514415,-0.005475013725527329,28,7
INJ/USDT,short,0.05666021072343066,-0.010717843400429859,31,8
LDO/USDT,short,0.11507283580651938,-0.01551898378490053,45,14
