bundle,window,n_new_features,market_level_features,features,sharpe,sharpe_gross,equity,cost_pct,avg_turnover
r35a_cs_second_order,ALL,5,ret_dispersion_12h,"ret_dispersion_12h,cs_rank_ma_5,oi_chg_12h_cs,taker_cvd_12h_cs,cum_funding_24h_cs",0.64,1.36,122.0,18.56,4.3
r35c_temporal,ALL,4,,"ret_autocorr_24h,ret_accel_12h,funding_momentum,vol_concentration_4of12",0.62,1.33,116.0,19.02,4.4
top3_plus_market,ALL,5,"ret_dispersion_12h,mkt_funding_dispersion","ret_168h_x_disp,cum_funding_24h_cs,oi_chg_12h_cs,ret_dispersion_12h,mkt_funding_dispersion",0.17,0.95,66.0,20.44,4.8
r35b_interactions,ALL,4,,"oi_ret_divergence,funding_ret_cross,vol_ret_confirm,ret_168h_x_disp",-0.0,0.76,49.0,20.79,4.9
r35d_market,ALL,5,"mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct","mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct",-0.13,0.54,42.0,17.86,4.1
r35a_cs_second_order,W1,5,ret_dispersion_12h,"ret_dispersion_12h,cs_rank_ma_5,oi_chg_12h_cs,taker_cvd_12h_cs,cum_funding_24h_cs",-0.45,0.32,60.0,6.4,4.6
r35c_temporal,W1,4,,"ret_autocorr_24h,ret_accel_12h,funding_momentum,vol_concentration_4of12",-0.5,0.28,56.0,6.74,4.9
r35b_interactions,W1,4,,"oi_ret_divergence,funding_ret_cross,vol_ret_confirm,ret_168h_x_disp",-0.93,-0.11,47.0,7.17,5.3
top3_plus_market,W1,5,"ret_dispersion_12h,mkt_funding_dispersion","ret_168h_x_disp,cum_funding_24h_cs,oi_chg_12h_cs,ret_dispersion_12h,mkt_funding_dispersion",-1.87,-0.88,37.0,7.65,5.7
r35d_market,W1,5,"mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct","mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct",-3.01,-2.16,20.0,7.16,5.3
r35a_cs_second_order,W2,5,ret_dispersion_12h,"ret_dispersion_12h,cs_rank_ma_5,oi_chg_12h_cs,taker_cvd_12h_cs,cum_funding_24h_cs",3.03,4.34,204.0,7.28,4.9
r35b_interactions,W2,4,,"oi_ret_divergence,funding_ret_cross,vol_ret_confirm,ret_168h_x_disp",2.55,3.82,180.0,7.28,4.9
r35d_market,W2,5,"mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct","mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct",1.91,2.92,151.0,5.78,3.6
top3_plus_market,W2,5,"ret_dispersion_12h,mkt_funding_dispersion","ret_168h_x_disp,cum_funding_24h_cs,oi_chg_12h_cs,ret_dispersion_12h,mkt_funding_dispersion",1.66,2.76,143.0,7.19,4.8
r35c_temporal,W2,4,,"ret_autocorr_24h,ret_accel_12h,funding_momentum,vol_concentration_4of12",0.85,1.85,109.0,6.68,4.4
r35b_interactions,W3,4,,"oi_ret_divergence,funding_ret_cross,vol_ret_confirm,ret_168h_x_disp",3.34,4.38,234.0,6.46,4.7
r35a_cs_second_order,W3,5,ret_dispersion_12h,"ret_dispersion_12h,cs_rank_ma_5,oi_chg_12h_cs,taker_cvd_12h_cs,cum_funding_24h_cs",1.91,2.82,150.0,5.57,3.9
r35c_temporal,W3,4,,"ret_autocorr_24h,ret_accel_12h,funding_momentum,vol_concentration_4of12",1.9,2.78,151.0,5.51,3.9
r35d_market,W3,5,"mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct","mkt_funding_mean,mkt_funding_pct_pos,mkt_funding_dispersion,mkt_oi_chg_sum,mkt_oi_extreme_pct",0.64,1.4,101.0,4.96,3.4
top3_plus_market,W3,5,"ret_dispersion_12h,mkt_funding_dispersion","ret_168h_x_disp,cum_funding_24h_cs,oi_chg_12h_cs,ret_dispersion_12h,mkt_funding_dispersion",-0.37,0.64,75.0,6.1,4.4
