config,window,sharpe,sharpe_gross,equity,cost_pct,avg_turnover
expert_stability,ALL,0.92,1.55,173.0,16.88,3.8
expert_stable_flow,ALL,0.37,1.08,83.0,19.01,4.4
expert_base,ALL,0.32,1.02,77.0,18.78,4.3
gate_stable_base_vs_flow,ALL,0.29,1.02,77.0,18.77,4.3
gate_rvol_base_vs_stability,ALL,0.27,0.95,70.0,18.72,4.3
gate_tri_regime,ALL,0.15,0.87,63.0,18.75,4.3
expert_stability,W1,-0.47,0.18,55.0,5.87,4.1
expert_stable_flow,W1,-0.61,0.28,54.0,7.68,5.7
gate_rvol_base_vs_stability,W1,-1.13,-0.4,43.0,6.33,4.5
expert_base,W1,-1.18,-0.42,45.0,6.22,4.4
gate_stable_base_vs_flow,W1,-1.33,-0.48,43.0,6.85,5.0
gate_tri_regime,W1,-1.9,-1.08,30.0,7.09,5.2
gate_stable_base_vs_flow,W2,3.72,4.9,251.0,6.71,4.4
gate_tri_regime,W2,3.17,4.22,220.0,6.29,4.1
expert_stable_flow,W2,2.76,3.83,195.0,6.34,4.1
expert_stability,W2,1.06,1.85,116.0,5.4,3.3
expert_base,W2,0.54,1.53,98.0,6.71,4.4
gate_rvol_base_vs_stability,W2,0.49,1.49,97.0,6.71,4.4
expert_stability,W3,2.84,3.76,197.0,5.43,3.8
gate_tri_regime,W3,2.24,3.23,161.0,5.38,3.7
gate_rvol_base_vs_stability,W3,2.15,3.09,160.0,5.55,3.9
gate_stable_base_vs_flow,W3,2.06,3.0,154.0,5.23,3.6
expert_stable_flow,W3,1.97,3.0,148.0,5.37,3.7
expert_base,W3,1.95,2.87,153.0,5.59,3.9
