config,window,liquidity_floor,edge_multiplier,hysteresis,sharpe,sharpe_gross,equity,cost_pct,avg_turnover,max_dd_pct
baseline_ema05_h3,ALL,,,3,0.74,1.41,135.0,18.4,4.2,-53.2
band_k3,ALL,,,3,0.74,1.41,135.0,18.4,4.2,-53.2
edge_x1,ALL,,1.0,3,0.64,1.16,124.0,13.3,2.8,-52.4
edge_x2,ALL,,2.0,3,0.51,0.92,100.0,10.84,2.1,-76.6
band_k1,ALL,,,1,0.46,1.32,92.0,23.29,5.6,-58.4
band_k2,ALL,,,2,0.41,1.15,85.0,20.52,4.8,-58.3
liq60,ALL,0.6,,3,0.2,0.74,69.0,13.95,2.3,-67.5
liq70,ALL,0.7,,3,-0.04,0.45,57.0,11.39,1.5,-63.5
combo_liq60_edge2,ALL,0.6,2.0,3,-0.05,0.32,43.0,10.56,1.5,-82.5
baseline_ema05_h3,W1,,,3,0.05,0.77,72.0,6.17,4.4,-46.9
band_k3,W1,,,3,0.05,0.77,72.0,6.17,4.4,-46.9
band_k1,W1,,,1,-0.11,0.86,70.0,7.83,5.9,-52.2
edge_x1,W1,,1.0,3,-0.21,0.36,68.0,4.61,3.0,-47.1
band_k2,W1,,,2,-0.36,0.45,61.0,6.92,5.1,-50.7
liq60,W1,0.6,,3,-1.01,-0.47,44.0,4.82,2.5,-62.8
combo_liq60_edge2,W1,0.6,2.0,3,-1.11,-0.72,37.0,3.79,1.6,-77.0
edge_x2,W1,,2.0,3,-1.52,-1.1,35.0,3.72,2.2,-70.7
liq70,W1,0.7,,3,-1.57,-1.04,41.0,4.11,1.7,-62.7
liq70,W2,0.7,,3,1.47,2.19,131.0,3.86,1.4,-23.9
edge_x1,W2,,1.0,3,1.21,1.93,124.0,4.8,2.8,-37.2
liq60,W2,0.6,,3,1.13,1.81,120.0,4.52,2.0,-36.6
combo_liq60_edge2,W2,0.6,2.0,3,0.39,0.91,95.0,3.29,1.2,-33.0
baseline_ema05_h3,W2,,,3,0.21,1.24,89.0,6.74,4.4,-57.9
band_k3,W2,,,3,0.21,1.24,89.0,6.74,4.4,-57.9
edge_x2,W2,,2.0,3,0.06,0.66,84.0,3.99,2.1,-48.2
band_k2,W2,,,2,-0.21,0.89,77.0,7.24,4.8,-65.2
band_k1,W2,,,1,-0.8,0.41,63.0,8.16,5.6,-71.3
liq70,W3,0.7,,3,2.87,3.81,171.0,4.05,1.7,-18.4
edge_x2,W3,,2.0,3,2.86,3.43,196.0,3.36,1.9,-33.8
baseline_ema05_h3,W3,,,3,2.38,3.35,172.0,5.73,4.0,-27.9
band_k3,W3,,,3,2.38,3.35,172.0,5.73,4.0,-27.9
band_k2,W3,,,2,2.08,3.14,159.0,6.44,4.7,-33.3
band_k1,W3,,,1,1.81,2.95,147.0,7.08,5.2,-34.9
edge_x1,W3,,1.0,3,1.36,2.01,127.0,3.98,2.5,-47.7
combo_liq60_edge2,W3,0.6,2.0,3,1.02,1.55,115.0,3.07,1.3,-38.3
liq60,W3,0.6,,3,0.3,1.13,94.0,4.61,2.4,-44.5
