config,window,sharpe,sharpe_gross,equity,cost_pct,avg_turnover
baseline_p0,ALL,0.71,1.45,133.0,19.37,4.5
excess_vs_btc,ALL,-0.56,0.16,28.0,17.61,4.0
decay_180d,ALL,-0.75,0.01,18.0,20.49,4.8
p_gt_010,ALL,-0.79,-0.23,18.0,15.24,3.3
decay_90d,ALL,-0.79,-0.01,18.0,20.53,4.8
p_gt_020,ALL,-1.63,-1.24,6.0,10.7,2.0
p_gt_015,ALL,-1.76,-1.34,5.0,11.37,2.2
p_gt_005,ALL,-1.94,-1.17,5.0,18.93,4.4
p_gt_010,W1,1.16,1.66,117.0,4.71,3.1
baseline_p0,W1,1.03,1.8,110.0,6.64,4.8
p_gt_020,W1,0.05,0.43,69.0,3.59,2.1
p_gt_015,W1,-0.06,0.31,66.0,3.45,2.0
excess_vs_btc,W1,-0.22,0.46,69.0,5.27,3.6
p_gt_005,W1,-0.4,0.28,63.0,5.75,4.0
decay_90d,W1,-0.84,-0.18,47.0,5.75,4.0
decay_180d,W1,-1.53,-0.9,33.0,5.83,4.1
decay_180d,W2,1.08,2.68,118.0,8.67,6.0
decay_90d,W2,0.8,2.22,109.0,8.25,5.6
baseline_p0,W2,0.42,1.48,95.0,7.0,4.6
p_gt_020,W2,-2.95,-2.3,32.0,4.19,2.4
p_gt_015,W2,-3.49,-2.74,26.0,4.9,2.9
p_gt_010,W2,-3.8,-2.85,27.0,5.79,3.7
excess_vs_btc,W2,-3.99,-2.68,34.0,6.34,4.1
p_gt_005,W2,-5.06,-3.7,23.0,7.21,4.8
baseline_p0,W3,1.29,2.2,124.0,5.43,3.8
decay_180d,W3,0.67,1.64,102.0,6.04,4.3
p_gt_005,W3,0.53,1.69,100.0,6.63,4.8
excess_vs_btc,W3,-0.13,0.96,84.0,6.04,4.3
decay_90d,W3,-0.25,0.73,75.0,6.38,4.6
p_gt_010,W3,-1.36,-0.31,68.0,4.57,3.0
p_gt_015,W3,-3.34,-2.71,42.0,2.93,1.6
p_gt_020,W3,-3.48,-2.92,39.0,2.72,1.4
