config,window,liquidity_floor,sharpe,sharpe_gross,equity,cost_pct,avg_turnover,max_dd_pct,baseline_sharpe,delta_vs_baseline
A_28f,ALL,,0.74,1.41,135.0,18.4,4.2,-53.2,0.74,0.0
blend_r35a_d30f,ALL,,0.7,1.35,128.0,17.37,3.9,-56.6,0.74,-0.040000000000000036
A_28f+r35a,ALL,,0.64,1.36,122.0,18.56,4.3,-58.9,0.74,-0.09999999999999998
D_30f+r35a,ALL,,0.44,1.11,89.0,18.23,4.2,-66.3,0.74,-0.3
D_30f,ALL,,0.31,0.91,71.0,16.97,3.8,-70.9,0.74,-0.43
D_30f+r35a+liq70,ALL,0.7,0.23,0.75,78.0,12.23,1.6,-68.8,0.74,-0.51
D_30f+liq70,ALL,0.7,0.01,0.51,60.0,11.57,1.5,-73.4,0.74,-0.73
A_28f+liq70,ALL,0.7,-0.04,0.45,57.0,11.39,1.5,-63.5,0.74,-0.78
A_28f+r35a+liq70,ALL,0.7,-0.06,0.47,59.0,11.86,1.6,-60.1,0.74,-0.8
blend_r35a_d30f+liq70,ALL,0.7,-0.18,0.31,50.0,11.02,1.4,-63.7,0.74,-0.9199999999999999
blend_r35a_d30f,W1,,0.06,0.81,75.0,6.07,4.3,-56.6,0.05,0.009999999999999995
A_28f,W1,,0.05,0.77,72.0,6.17,4.4,-46.9,0.05,0.0
A_28f+r35a,W1,,-0.45,0.32,60.0,6.4,4.6,-54.5,0.05,-0.5
D_30f+r35a,W1,,-0.9,-0.16,49.0,6.23,4.5,-65.8,0.05,-0.9500000000000001
D_30f,W1,,-1.08,-0.41,42.0,5.92,4.2,-69.5,0.05,-1.1300000000000001
A_28f+r35a+liq70,W1,0.7,-1.16,-0.58,52.0,4.18,1.8,-60.1,0.05,-1.21
D_30f+r35a+liq70,W1,0.7,-1.46,-0.91,42.0,4.34,1.9,-68.0,0.05,-1.51
A_28f+liq70,W1,0.7,-1.57,-1.04,41.0,4.11,1.7,-62.7,0.05,-1.62
blend_r35a_d30f+liq70,W1,0.7,-1.71,-1.19,41.0,3.92,1.6,-63.7,0.05,-1.76
D_30f+liq70,W1,0.7,-2.18,-1.64,32.0,4.21,1.8,-73.3,0.05,-2.23
A_28f+r35a,W2,,3.03,4.34,204.0,7.28,4.9,-23.4,0.21,2.82
D_30f,W2,,1.8,2.61,151.0,5.66,3.5,-52.2,0.21,1.59
D_30f+liq70,W2,0.7,1.62,2.34,135.0,3.73,1.3,-26.2,0.21,1.4100000000000001
blend_r35a_d30f,W2,,1.54,2.46,138.0,6.16,4.0,-44.5,0.21,1.33
A_28f+r35a+liq70,W2,0.7,1.49,2.28,131.0,4.25,1.6,-30.8,0.21,1.28
A_28f+liq70,W2,0.7,1.47,2.19,131.0,3.86,1.4,-23.9,0.21,1.26
D_30f+r35a,W2,,1.39,2.42,131.0,6.96,4.6,-46.4,0.21,1.18
blend_r35a_d30f+liq70,W2,0.7,1.09,1.72,118.0,3.58,1.2,-34.3,0.21,0.8800000000000001
D_30f+r35a+liq70,W2,0.7,0.3,1.06,97.0,3.84,1.4,-33.0,0.21,0.09
A_28f,W2,,0.21,1.24,89.0,6.74,4.4,-57.9,0.21,0.0
A_28f+liq70,W3,0.7,2.81,3.74,168.0,4.04,1.7,-18.4,2.35,0.45999999999999996
blend_r35a_d30f+liq70,W3,0.7,2.49,3.39,158.0,3.94,1.6,-22.5,2.35,0.14000000000000012
A_28f,W3,,2.35,3.33,171.0,5.73,4.1,-27.9,2.35,0.0
A_28f+r35a+liq70,W3,0.7,2.35,3.28,150.0,3.82,1.6,-24.4,2.35,0.0
D_30f,W3,,2.32,3.2,170.0,5.37,3.7,-37.2,2.35,-0.03000000000000025
blend_r35a_d30f,W3,,2.1,2.91,161.0,5.07,3.5,-39.7,2.35,-0.25
D_30f+r35a+liq70,W3,0.7,2.02,2.83,144.0,3.74,1.5,-25.2,2.35,-0.33000000000000007
A_28f+r35a,W3,,1.91,2.82,150.0,5.57,3.9,-35.2,2.35,-0.44000000000000017
D_30f+r35a,W3,,1.76,2.61,145.0,5.31,3.7,-43.5,2.35,-0.5900000000000001
D_30f+liq70,W3,0.7,1.14,1.99,118.0,3.87,1.6,-25.0,2.35,-1.2100000000000002
