config,subset_size,features,feature_count,contains_dispersion,W1_sh,W1_sh_gross,W1_eq,W1_cost,W1_turn,W1_dd,W2_sh,W2_sh_gross,W2_eq,W2_cost,W2_turn,W2_dd,W3_sh,W3_sh_gross,W3_eq,W3_cost,W3_turn,W3_dd,ALL_sh,ALL_sh_gross,ALL_eq,ALL_cost,ALL_turn,ALL_dd,passes_target,passes_strict,delta_all_vs_baseline
A_28f+dispersion+rankma,2,ret_dispersion_12h|cs_rank_ma_5,30,True,0.01,0.8,72.0,6.61,4.8,-53.2,3.22,4.52,215.0,7.11,4.7,-23.5,2.5,3.47,176.0,5.51,3.9,-27.6,1.13,1.89,228.0,19.22,4.5,-54.2,True,True,0.3899999999999999
A_28f+dispersion+funding_cs,2,ret_dispersion_12h|cum_funding_24h_cs,30,True,0.21,0.99,79.0,6.51,4.7,-49.0,3.09,4.46,205.0,7.36,4.9,-22.5,2.89,3.88,202.0,5.88,4.2,-35.3,0.98,1.73,189.0,19.26,4.5,-51.6,True,True,0.24
A_28f+rankma+taker_cs+funding_cs,3,cs_rank_ma_5|taker_cvd_12h_cs|cum_funding_24h_cs,31,False,0.1,0.83,73.0,6.38,4.6,-46.7,1.34,2.39,129.0,6.61,4.3,-46.5,2.92,3.86,205.0,5.76,4.1,-29.3,0.95,1.63,180.0,18.56,4.3,-60.2,True,True,0.20999999999999996
A_28f+dispersion+rankma+taker_cs,3,ret_dispersion_12h|cs_rank_ma_5|taker_cvd_12h_cs,31,True,-0.65,0.12,54.0,6.53,4.7,-59.7,3.74,5.02,247.0,6.97,4.6,-22.0,3.03,3.95,207.0,5.34,3.7,-33.3,0.91,1.66,172.0,18.88,4.4,-62.2,True,True,0.17000000000000004
A_28f+oi_cs+funding_cs,2,oi_chg_12h_cs|cum_funding_24h_cs,30,False,-0.11,0.64,69.0,6.27,4.5,-45.9,0.17,1.11,86.0,6.57,4.3,-63.5,2.89,3.81,203.0,5.63,4.0,-27.3,0.91,1.63,171.0,18.63,4.3,-45.9,True,False,0.17000000000000004
A_28f+dispersion+oi_cs+taker_cs,3,ret_dispersion_12h|oi_chg_12h_cs|taker_cvd_12h_cs,31,True,-0.24,0.54,64.0,6.65,4.8,-55.0,3.27,4.6,217.0,7.16,4.8,-22.9,3.37,4.35,223.0,5.59,3.9,-32.6,0.63,1.35,118.0,19.07,4.4,-65.5,True,False,-0.10999999999999999
A_28f+funding_cs,1,cum_funding_24h_cs,29,False,-0.46,0.3,58.0,6.42,4.6,-61.8,0.05,0.97,83.0,6.32,4.1,-65.4,2.76,3.72,190.0,5.46,3.8,-29.8,0.62,1.31,115.0,18.43,4.2,-73.3,True,False,-0.12
A_28f+taker_cs,1,taker_cvd_12h_cs,29,False,-0.59,0.18,56.0,6.45,4.7,-58.4,0.22,1.25,90.0,6.54,4.3,-52.5,2.61,3.57,184.0,5.59,3.9,-27.4,0.58,1.28,110.0,18.79,4.3,-65.4,True,False,-0.16000000000000003
A_28f+dispersion+taker_cs+funding_cs,3,ret_dispersion_12h|taker_cvd_12h_cs|cum_funding_24h_cs,31,True,-0.91,-0.14,48.0,6.57,4.8,-65.1,3.57,4.86,242.0,7.25,4.8,-20.3,3.0,3.92,209.0,5.55,3.9,-28.9,0.55,1.31,108.0,19.43,4.5,-68.3,True,False,-0.18999999999999995
A_28f+dispersion+oi_cs+funding_cs,3,ret_dispersion_12h|oi_chg_12h_cs|cum_funding_24h_cs,31,True,-0.83,-0.03,50.0,6.78,4.9,-61.2,2.91,4.24,195.0,7.14,4.7,-22.3,2.94,3.88,204.0,5.55,3.9,-26.7,0.52,1.25,102.0,19.33,4.5,-66.5,True,False,-0.21999999999999997
A_28f+dispersion+taker_cs,2,ret_dispersion_12h|taker_cvd_12h_cs,30,True,-0.44,0.33,60.0,6.43,4.6,-63.6,3.37,4.71,219.0,7.11,4.7,-19.9,2.89,3.93,196.0,5.8,4.1,-28.5,0.47,1.19,96.0,18.84,4.4,-65.9,True,False,-0.27
A_28f+dispersion+oi_cs,2,ret_dispersion_12h|oi_chg_12h_cs,30,True,-0.84,-0.08,50.0,6.4,4.6,-68.1,3.2,4.58,202.0,7.0,4.6,-22.6,2.69,3.62,189.0,5.56,3.9,-41.0,0.41,1.1,86.0,18.67,4.3,-76.2,True,False,-0.33
A_28f+dispersion+rankma+oi_cs,3,ret_dispersion_12h|cs_rank_ma_5|oi_chg_12h_cs,31,True,-0.62,0.21,57.0,6.76,4.9,-54.9,2.06,3.26,159.0,7.14,4.7,-43.6,2.89,3.82,200.0,5.5,3.9,-35.9,0.35,1.07,82.0,18.81,4.3,-70.2,True,False,-0.39
