window,symbol,side,mean_selected_ret,appearances
W1,AAVE/USDT,long,-0.004521286477712605,14
W1,AAVE/USDT,short,-0.010418917960351565,45
W1,ADA/USDT,long,0.0005685351346184304,61
W1,ADA/USDT,short,0.004880096714980277,16
W1,ALGO/USDT,long,-0.0018679883660293977,42
W1,ALGO/USDT,short,0.004545422127768825,19
W1,APT/USDT,long,0.0010961330901907182,9
W1,APT/USDT,short,-0.0010994815757868388,24
W1,ARB/USDT,long,0.0017122502922325494,31
W1,ARB/USDT,short,0.015502895803124484,27
W1,ATOM/USDT,long,-0.0011942299475727167,115
W1,ATOM/USDT,short,0.03200023956505177,4
W1,AVAX/USDT,long,-0.008363849303661634,28
W1,AVAX/USDT,short,-0.007524872075887317,22
W1,AXS/USDT,long,0.002151881312456845,66
W1,AXS/USDT,short,0.011268701641883844,20
W1,BNB/USDT,long,-0.0018227452552564232,99
W1,BNB/USDT,short,-0.00971983990851899,1
W1,BTC/USDT,long,0.002579806451056935,108
W1,BTC/USDT,short,0.03448803823176863,4
W1,CHZ/USDT,long,0.002103750297222339,47
W1,CHZ/USDT,short,0.009014479452829228,15
W1,CRV/USDT,long,0.00817127905197502,12
W1,CRV/USDT,short,-0.0021526603394806977,67
W1,DOGE/USDT,long,-0.0007492383609382955,45
W1,DOGE/USDT,short,-0.004076287808416216,15
W1,DOT/USDT,long,-0.0010545309861242351,81
W1,DOT/USDT,short,-0.012787592113290978,7
W1,EGLD/USDT,long,-0.0018077928059849618,24
W1,EGLD/USDT,short,-0.010338419919284155,12
W1,ETH/USDT,long,0.0016228261660674126,107
W1,ETH/USDT,short,-0.02821195666817372,2
W1,FIL/USDT,long,-0.00835455969219067,18
W1,FIL/USDT,short,0.008111292827912045,21
W1,FLOW/USDT,long,0.0006940490926505582,26
W1,FLOW/USDT,short,0.0047981302792225,21
W1,FTM/USDT,long,0.05179551735313585,10
W1,FTM/USDT,short,0.007656244107061963,48
W1,INJ/USDT,long,0.031702219483684964,7
W1,INJ/USDT,short,0.011729066250440278,73
W1,LDO/USDT,long,-0.015544437852812277,10
W1,LDO/USDT,short,0.0022920633106892807,50
W1,LINK/USDT,long,0.0006166723221531477,35
W1,LINK/USDT,short,-0.0038681009346895334,6
W1,LTC/USDT,long,-0.0021494132040702236,94
W1,LTC/USDT,short,0.008551745195853186,3
W1,MANA/USDT,long,-0.0050673994590135244,46
W1,MANA/USDT,short,0.006120670567559444,11
W1,MATIC/USDT,long,-0.0014326770599553567,89
W1,MATIC/USDT,short,-0.02349939461209738,4
W1,NEAR/USDT,long,0.027192760551693194,11
W1,NEAR/USDT,short,-0.006859412161147859,28
W1,OP/USDT,long,-0.01715762500141176,5
W1,OP/USDT,short,-0.0020161133929605785,35
W1,RUNE/USDT,long,0.007160004573317588,11
W1,RUNE/USDT,short,0.016324804875863082,20
W1,SAND/USDT,long,-0.005732132912619428,39
W1,SAND/USDT,short,-0.0017283939289676692,9
W1,SNX/USDT,long,-0.005415394965989224,23
W1,SNX/USDT,short,-0.008763373805474643,15
W1,SOL/USDT,long,0.006015216156526723,23
W1,SOL/USDT,short,-0.011488940115434162,15
W1,THETA/USDT,short,-0.004628956665748213,23
W1,UNI/USDT,long,-0.001056405092349358,22
W1,UNI/USDT,short,0.002276886272754525,20
W1,XRP/USDT,long,0.0007892363413513244,64
W1,XRP/USDT,short,-0.0019857122177652127,21
W1,XTZ/USDT,long,0.0032886009819815603,36
W1,XTZ/USDT,short,0.007821161899353243,6
W2,AAVE/USDT,long,-0.03601251239547458,5
W2,AAVE/USDT,short,0.000913153274026028,28
W2,ADA/USDT,long,-0.0008796301223021168,31
W2,ADA/USDT,short,-0.006257522721518634,28
W2,ALGO/USDT,long,-0.010755156238438503,9
W2,ALGO/USDT,short,-0.0040509063001222395,64
W2,APT/USDT,long,0.0031394850929833363,52
W2,APT/USDT,short,0.015756363827426834,31
W2,ARB/USDT,long,-0.0046117990831196975,41
W2,ARB/USDT,short,0.004040987410747247,18
W2,ATOM/USDT,long,-0.0038993666908802432,69
W2,ATOM/USDT,short,0.01585386361651466,10
W2,AVAX/USDT,long,6.621274492137309e-05,34
W2,AVAX/USDT,short,0.006162569019493133,25
W2,AXS/USDT,long,-0.006493004846557286,92
W2,AXS/USDT,short,0.009137020023930872,6
W2,BNB/USDT,long,0.0003324284657378736,150
W2,BNB/USDT,short,0.012844065507874425,1
W2,BTC/USDT,long,-7.636759652341455e-05,116
W2,CHZ/USDT,long,-0.00012465198135466944,60
W2,CHZ/USDT,short,0.0070631927738174175,15
W2,CRV/USDT,long,-0.03276085365401266,9
