config,window,sharpe,sharpe_gross,equity,cost_pct,avg_turnover,max_dd_pct
expert_stability,ALL,0.92,1.55,173.0,16.88,3.8,-66.2
soft_tri,ALL,0.61,1.28,115.0,17.75,4.0,-53.0
soft_r42_vs_flow,ALL,0.6,1.29,114.0,18.17,4.2,-51.5
expert_r42,ALL,0.5,1.24,101.0,19.11,4.4,-63.0
expert_stable_flow,ALL,0.37,1.08,83.0,19.01,4.4,-65.8
soft_r42_vs_stability,ALL,0.19,0.85,66.0,17.47,4.0,-64.1
soft_r42_vs_flow,W1,-0.25,0.61,67.0,6.78,4.9,-47.1
expert_r42,W1,-0.32,0.46,64.0,6.39,4.6,-53.7
expert_stability,W1,-0.47,0.18,55.0,5.87,4.1,-66.2
soft_tri,W1,-0.54,0.24,58.0,6.4,4.6,-52.1
expert_stable_flow,W1,-0.61,0.28,54.0,7.68,5.7,-57.2
soft_r42_vs_stability,W1,-0.97,-0.26,47.0,6.01,4.3,-62.8
expert_r42,W2,3.02,4.38,199.0,7.21,4.8,-20.6
soft_r42_vs_flow,W2,2.84,3.91,204.0,6.52,4.2,-31.8
expert_stable_flow,W2,2.76,3.83,195.0,6.34,4.1,-34.3
soft_tri,W2,2.76,3.81,200.0,6.52,4.2,-32.2
soft_r42_vs_stability,W2,1.69,2.59,146.0,6.16,4.0,-47.6
expert_stability,W2,1.06,1.85,116.0,5.4,3.3,-55.4
expert_r42,W3,3.42,4.39,237.0,5.74,4.1,-26.9
expert_stability,W3,2.84,3.76,197.0,5.43,3.8,-28.8
soft_r42_vs_flow,W3,2.14,3.15,155.0,5.32,3.7,-40.6
expert_stable_flow,W3,1.97,3.0,148.0,5.37,3.7,-34.1
soft_r42_vs_stability,W3,1.9,2.82,150.0,5.43,3.8,-31.3
soft_tri,W3,1.35,2.21,127.0,5.13,3.5,-37.0
