config,window,sharpe,sharpe_gross,equity,cost_pct,avg_turnover,max_dd_pct
expert_stability,ALL,0.92,1.55,173.0,16.88,3.8,-66.2
soft_tri,ALL,0.91,1.56,171.0,17.42,3.9,-56.6
soft_r42_vs_flow,ALL,0.83,1.52,156.0,17.89,4.1,-58.1
soft_r42_vs_stability,ALL,0.68,1.31,122.0,17.69,4.0,-57.8
expert_r42,ALL,0.48,1.17,95.0,18.25,4.2,-65.0
expert_stable_flow,ALL,0.37,1.08,83.0,19.01,4.4,-65.8
soft_tri,W1,-0.17,0.57,66.0,6.31,4.5,-56.6
soft_r42_vs_stability,W1,-0.3,0.36,59.0,5.92,4.2,-55.5
expert_stability,W1,-0.47,0.18,55.0,5.87,4.1,-66.2
expert_r42,W1,-0.54,0.22,58.0,6.25,4.5,-53.5
expert_stable_flow,W1,-0.61,0.28,54.0,7.68,5.7,-57.2
soft_r42_vs_flow,W1,-0.91,-0.09,49.0,6.85,5.0,-57.7
soft_r42_vs_flow,W2,3.09,4.18,213.0,6.3,4.1,-22.3
expert_stable_flow,W2,2.76,3.83,195.0,6.34,4.1,-34.3
soft_tri,W2,2.2,3.2,169.0,6.3,4.1,-34.6
expert_stability,W2,1.06,1.85,116.0,5.4,3.3,-55.4
soft_r42_vs_stability,W2,0.57,1.47,99.0,6.27,4.0,-61.2
expert_r42,W2,-0.03,0.93,82.0,6.4,4.1,-62.6
expert_stability,W3,2.84,3.76,197.0,5.43,3.8,-28.8
soft_r42_vs_stability,W3,2.72,3.66,191.0,5.66,4.0,-28.0
expert_stable_flow,W3,1.97,3.0,148.0,5.37,3.7,-34.1
soft_tri,W3,1.91,2.76,152.0,5.27,3.6,-37.7
soft_r42_vs_flow,W3,1.69,2.5,142.0,4.98,3.4,-38.7
expert_r42,W3,1.6,2.52,138.0,5.57,3.9,-31.1
