feature,importance_share_long_r42_candidate,importance_share_short_r42_candidate,importance_gap
cum_funding_24h,0.06404934852295482,0.023619505922926047,0.04042984260002878
pct_coins_up_12h,0.07509879244347839,0.040521144278804995,0.034577648164673395
mom_z_24h,0.049673185409616856,0.01797337291271464,0.031699812496902215
rel_volume_cs,0.057559699980086004,0.02653959107738995,0.031020108902696054
ret_skew_168h,0.059862111737524974,0.029796667717839186,0.030065444019685788
ls_divergence,0.05043878755766794,0.021339722404412242,0.029099065153255697
ret_dispersion_12h,0.029580149489097426,0.012973720999125238,0.016606428489972187
oi_zscore,0.02634666209133187,0.012251385557800224,0.014095276533531645
taker_cvd_24h,0.02295833962786787,0.009497778374504448,0.013460561253363422
oi_chg_24h,0.020785448442916292,0.00749814124612494,0.013287307196791352
ret_48h,0.03735188074025914,0.0255123280392174,0.011839552701041742
ret_168h,0.06887301238393403,0.05816492313753661,0.010708089246397427
gk_vol_24h,0.08744937890728209,0.07681180984275454,0.01063756906452755
cs_rank_ma_5,0.018913622496948064,0.00942991445291829,0.009483708044029773
ret_24h,0.041935608751905336,0.034278480057421956,0.00765712869448338
taker_cvd_12h,0.011493077623189739,0.004627355366182196,0.006865722257007542
iv_rv_spread,0.02901020447794103,0.022589902542512485,0.0064203019354285434
pct_coins_up_1h,0.013409833342730338,0.007039396698577089,0.006370436644153249
residual_12h,0.024913323000134862,0.0205353023619208,0.004378020638214061
residual_24h,0.015381940506790781,0.01108896242747584,0.004292978079314941
oi_chg_12h,0.008140420650226908,0.004133726916392711,0.004006693733834197
hour_sin,0.0027699175244913347,0.0013526187026992947,0.00141729882179204
rvol_12h,0.012026432141916654,0.01148111369242409,0.0005453184494925642
hour_cos,0.0002650988190031076,0.00013740554245215685,0.00012769327655095074
dow_cos,0.0,0.0,0.0
dow_sin,4.963805076694463e-05,5.0976538861855807e-05,-1.3384880949111747e-06
dist_from_high_24h,0.012199214148444652,0.015132817691376768,-0.002933603542932116
ret_12h,0.04238727793442901,0.06658672750530818,-0.024199449570879175
rvol_24h,0.023963068171673686,0.1351394342844311,-0.11117636611275741
atr_14,0.09311452502538989,0.2938957737078947,-0.20078124868250483
