config,extra_feats,W1_sh,W1_sh_gr,W1_dd,W1_cost,W1_turn,W2_sh,W2_sh_gr,W2_dd,W2_cost,W2_turn,W3_sh,W3_sh_gr,W3_dd,W3_cost,W3_turn,ALL_sh,ALL_sh_gr,ALL_dd,ALL_cost,ALL_turn,delta_all
champion+cg_taker_imb,cg_taker_imb,0.6,1.41,-52.5,6.54,4.7,2.86,4.18,-24.5,7.14,4.7,2.03,2.96,-34.2,5.8,4.1,1.31,2.03,-52.5,19.16,4.4,0.18000000000000016
champion_30f,,0.01,0.8,-53.2,6.61,4.8,3.22,4.52,-23.5,7.11,4.7,2.5,3.47,-27.6,5.51,3.9,1.13,1.89,-54.2,19.22,4.5,0.0
champion+t_cg_liq_log+cg_liq_total,mkt_cg_liq_log|mkt_cg_liq_total,-0.6,0.35,-51.3,7.3,5.4,2.33,3.68,-25.7,8.05,5.5,1.76,2.81,-47.5,5.63,4.0,1.03,1.85,-51.3,20.85,4.9,-0.09999999999999987
champion+t_cg_liq_log+g_liq_zscore,mkt_cg_liq_log|cg_liq_zscore,-0.25,0.56,-50.7,6.64,4.8,0.05,1.27,-47.5,7.97,5.4,0.65,1.51,-40.0,5.26,3.6,0.79,1.55,-50.7,19.88,4.7,-0.33999999999999986
champion+cg_liq_total+g_liq_zscore,mkt_cg_liq_total|cg_liq_zscore,-0.25,0.56,-50.7,6.64,4.8,0.05,1.27,-47.5,7.97,5.4,0.65,1.51,-40.0,5.26,3.6,0.79,1.55,-50.7,19.88,4.7,-0.33999999999999986
champion+cg_ls_zscore,cg_ls_zscore,-0.91,-0.15,-67.9,6.54,4.7,4.03,5.32,-24.7,7.05,4.7,2.17,3.2,-26.7,5.76,4.1,0.54,1.26,-77.3,19.15,4.4,-0.5899999999999999
champion+cg_taker_imb_z,cg_taker_imb_z,-0.72,0.07,-60.6,6.62,4.8,3.06,4.3,-23.3,7.08,4.7,2.97,3.88,-26.8,5.34,3.7,0.28,0.99,-69.9,19.26,4.5,-0.8499999999999999
champion+mkt_cg_liq_log,mkt_cg_liq_log,-1.5,-0.63,-68.9,7.24,5.3,-0.56,0.63,-59.9,7.62,5.1,1.77,2.66,-39.9,5.67,4.0,0.07,0.85,-73.5,20.92,4.9,-1.0599999999999998
champion+mkt_cg_liq_total,mkt_cg_liq_total,-1.5,-0.63,-68.9,7.24,5.3,-0.56,0.63,-59.9,7.62,5.1,1.77,2.66,-39.9,5.67,4.0,0.07,0.85,-73.5,20.92,4.9,-1.0599999999999998
champion+cg_liq_zscore,cg_liq_zscore,-1.49,-0.67,-63.0,6.43,4.6,2.79,4.01,-25.5,6.97,4.6,2.33,3.27,-29.4,5.71,4.0,-0.04,0.69,-75.4,19.24,4.5,-1.17
