rvol_thresh,gross_reduction,tier1_only,sharpe,max_dd_pct,cost_pct,pct_in_crash
0.8,0.3,True,6.054,-9.1,48.3,26.4
0.8,0.3,False,7.422,-10.1,38.1,26.4
0.8,0.5,True,5.937,-9.2,47.7,26.4
0.8,0.5,False,7.402,-10.0,37.1,26.4
0.85,0.3,True,8.206,-8.2,40.1,22.0
0.85,0.3,False,8.984,-9.4,33.2,22.0
0.85,0.5,True,7.908,-8.9,40.1,22.0
0.85,0.5,False,8.458,-9.5,33.6,22.0
0.9,0.3,True,5.984,-9.7,46.3,16.4
0.9,0.3,False,7.289,-10.1,36.9,16.4
0.9,0.5,True,5.762,-9.2,46.5,16.4
0.9,0.5,False,7.271,-10.0,36.2,16.4
