dd_threshold,gross_reduction,tier1_only,sharpe,max_dd_pct,cost_pct,pct_in_reduced
-0.1,0.4,True,1.777,-15.1,64.4,46.0
-0.1,0.4,False,3.937,-10.9,50.2,28.9
-0.1,0.5,True,1.627,-15.6,66.1,46.0
-0.1,0.5,False,5.535,-10.9,41.0,14.0
-0.1,0.6,True,1.477,-16.1,67.8,46.0
-0.1,0.6,False,6.052,-10.9,38.4,11.6
-0.12,0.4,True,6.876,-10.9,34.7,0.0
-0.12,0.4,False,6.876,-10.9,34.7,0.0
-0.12,0.5,True,6.876,-10.9,34.7,0.0
-0.12,0.5,False,6.876,-10.9,34.7,0.0
-0.12,0.6,True,6.876,-10.9,34.7,0.0
-0.12,0.6,False,6.876,-10.9,34.7,0.0
-0.15,0.4,True,6.876,-10.9,34.7,0.0
-0.15,0.4,False,6.876,-10.9,34.7,0.0
-0.15,0.5,True,6.876,-10.9,34.7,0.0
-0.15,0.5,False,6.876,-10.9,34.7,0.0
-0.15,0.6,True,6.876,-10.9,34.7,0.0
-0.15,0.6,False,6.876,-10.9,34.7,0.0
