feature,importance
btc_ret_1h,438.8
fng_ma30,294.0
fng_ma7,276.6
close_ma720_ratio,271.4
close_ma336_ratio,263.6
gk_vol_168h,261.4
breadth_pct_positive,254.2
btc_ret_4h,241.8
fng_momentum,239.4
ret_sharpe_168h,223.0
btc_beta_168h,213.8
macd_signal,204.0
fng_value,194.4
ret_std_168h,193.4
atr_48,191.8
btc_ret_12h,178.6
btc_beta_48h,175.2
regime_btc_dd_720,172.4
ret_sharpe_24h,170.0
macd,160.2
vol_trend_12_48,154.8
gk_vol_48h,149.2
vol_price_corr_168h,143.6
vol_price_corr_48h,142.2
ret_kurt_168h,140.2
ret_skew_168h,139.4
gk_vol_24h,137.6
close_ma6_ratio,135.6
cci_48,129.2
bb_width_48,123.6
bb_high_20,123.2
btc_ret_24h,123.2
mom_accel_12h,122.4
close_ma12_ratio,118.0
ret_std_48h,117.6
vol_price_corr_24h,117.0
close_ma168_ratio,116.0
adx,114.4
reversal_24v168,109.4
atr_24,109.2
reversal_12v48,106.2
ret_mean_168h,100.4
bb_width_20,99.4
ret_168h,98.8
ret_kurt_48h,97.4
close_ma24_ratio,95.6
ret_skew_168h_cs,94.6
ret_24h,89.8
bb_high_48,88.2
mom_7d,85.6
ret_skew_48h,85.4
ret_std_24h,84.0
range_expansion_12h,83.8
vol_12h_cs_rank,83.4
ret_72h,79.8
close_ma72_ratio,79.2
macd_diff,76.8
rsi_24,72.8
ret_2h,71.8
regime_composite,70.2
atr_14,69.2
mom_3d,67.6
btc_ret_48h,67.0
close_open_ratio,66.2
gk_vol_12h,66.2
ret_mean_24h,65.4
adx_neg,65.2
ret_kurt_24h,64.8
ret_sharpe_48h,63.2
ret_mean_48h,62.4
bb_pband_48,61.0
vwap_dev_48h,60.2
low_close_ratio,56.6
close_ma48_ratio,56.6
ret_48h,52.8
mom_12h_zscore,52.6
btc_ret_168h,51.8
ret_vs_btc_24h,49.8
ret_skew_24h,49.4
obv_ma_ratio_48,47.0
vol_ma720_ratio,46.8
ret_skew_48h_cs,46.8
ret_1h,46.4
ret_6h,44.2
reversal_4v24,43.6
bb_low_48,43.4
vwap_dev_12h,40.6
vwap_12h_dist,40.4
bb_low_20,38.4
rsi_14,37.2
rsi_12,35.0
ret_4h,33.8
obv_ma_ratio_24,32.2
vol_mom_24h,31.4
ret_12h,30.0
vol_ma24_ratio,28.8
high_close_ratio,27.2
eth_ret_1h,27.2
ret_12h_cs_rank,26.4
adx_pos,26.4
vwap_dev_24h,26.4
bb_pband_20,22.0
rsi_6,21.8
stoch_d,20.4
vol_ma336_ratio,20.2
vol_ma72_ratio,17.4
mfi_14,16.6
eth_ret_4h,16.2
vol_ma168_ratio,16.2
vol_surge_24h,15.8
obv_ma_ratio_12,14.2
stoch_k,13.6
cci_14,13.4
high_low_ratio,13.0
vol_mom_48h,12.4
eth_ret_24h,12.4
regime_breadth_bullish,10.8
regime_low_vol,9.4
willr_14,9.2
buy_pressure,8.8
vol_ma48_ratio,8.8
eth_ret_12h,8.6
btc_vol_24h,8.0
vol_surge_48h,6.4
btc_regime_24,6.2
lower_shadow,6.2
regime_btc_not_crashed,4.8
eth_btc_ret_24h,3.6
market_dispersion,3.6
vol_ma6_ratio,3.0
vol_ma12_ratio,2.4
btc_regime_72,2.2
vol_mom_6h,2.0
vol_mom_12h,1.8
fng_extreme_greed,1.8
is_asian_session,1.6
funding_rate,1.6
regime_btc_ma720_slope,1.4
funding_vs_market,1.2
btc_regime_168,1.0
vol_surge_12h,1.0
cross_coin_disp_ma24,0.8
regime_btc_above_ma336,0.8
regime_btc_above_ma720,0.6
long_short_ratio,0.6
market_funding_std,0.6
fng_extreme_fear,0.2
upper_shadow,0.0
body,0.0
market_avg_funding,0.0
market_funding_skew,0.0
dispersion_regime,0.0
cross_coin_dispersion,0.0
