step,ts,pnl,eq,dd,nL,nS,turn,stopped
19,2026-01-26 07:00:00+00:00,-28.21,471.79,-0.0564,5,5,10,
20,2026-01-27 07:00:00+00:00,8.66,480.45,-0.0391,5,5,14,
21,2026-01-28 07:00:00+00:00,30.23,510.67,0.0,5,5,18,
22,2026-01-29 07:00:00+00:00,-9.33,501.35,-0.0183,5,5,18,
23,2026-01-30 07:00:00+00:00,-11.69,489.66,-0.0412,5,5,12,
24,2026-01-31 07:00:00+00:00,6.64,496.3,-0.0282,5,5,14,
25,2026-02-01 07:00:00+00:00,8.69,504.98,-0.0111,5,5,14,
27,2026-02-03 07:00:00+00:00,0.0,437.08,-0.1441,0,0,0,True
28,2026-02-04 07:00:00+00:00,0.0,452.36,-0.1142,0,0,0,True
29,2026-02-05 07:00:00+00:00,0.0,432.77,-0.1525,0,0,0,True
30,2026-02-06 07:00:00+00:00,0.0,458.98,-0.1012,0,0,0,True
31,2026-02-07 07:00:00+00:00,0.0,467.11,-0.0853,0,0,0,True
32,2026-02-08 07:00:00+00:00,0.0,441.71,-0.135,0,0,0,True
33,2026-02-09 07:00:00+00:00,45.46,487.17,-0.046,5,5,10,
34,2026-02-10 07:00:00+00:00,-10.64,476.53,-0.0669,5,5,14,
35,2026-02-11 07:00:00+00:00,23.93,500.46,-0.02,5,5,12,
36,2026-02-12 07:00:00+00:00,19.61,520.07,0.0,5,5,16,
37,2026-02-13 07:00:00+00:00,-13.02,507.05,-0.025,5,5,8,
38,2026-02-14 07:00:00+00:00,8.57,515.62,-0.0086,5,5,12,
39,2026-02-15 07:00:00+00:00,25.99,541.61,0.0,5,5,14,
40,2026-02-16 07:00:00+00:00,3.75,545.36,0.0,5,5,12,
41,2026-02-17 07:00:00+00:00,8.52,553.88,0.0,5,5,12,
42,2026-02-18 07:00:00+00:00,5.22,559.1,0.0,5,5,12,
43,2026-02-19 07:00:00+00:00,-55.04,504.06,-0.0984,5,5,14,
44,2026-02-20 07:00:00+00:00,1.87,505.94,-0.0951,5,5,12,
45,2026-02-21 07:00:00+00:00,-14.23,491.7,-0.1206,5,5,8,
46,2026-02-22 07:00:00+00:00,0.64,492.34,-0.1194,5,5,10,
47,2026-02-23 07:00:00+00:00,26.31,518.65,-0.0723,5,5,16,
48,2026-02-24 07:00:00+00:00,-6.9,511.76,-0.0847,5,5,16,
49,2026-02-25 07:00:00+00:00,35.21,546.96,-0.0217,5,5,14,
50,2026-02-26 07:00:00+00:00,12.37,559.33,0.0,5,5,16,
51,2026-02-27 07:00:00+00:00,13.42,572.75,0.0,5,5,12,
52,2026-02-28 07:00:00+00:00,36.95,609.7,0.0,5,5,16,
53,2026-03-01 07:00:00+00:00,27.61,637.32,0.0,5,5,16,
54,2026-03-02 07:00:00+00:00,27.07,664.39,0.0,5,5,16,
55,2026-03-03 07:00:00+00:00,1.89,666.28,0.0,5,5,18,
56,2026-03-04 07:00:00+00:00,28.1,694.38,0.0,5,5,12,
57,2026-03-05 07:00:00+00:00,-5.96,688.42,-0.0086,5,5,10,
58,2026-03-06 07:00:00+00:00,-32.35,656.07,-0.0552,5,5,10,
